type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.1.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39105913;-71.52870505;-1940246.412;2839288.294;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39111194;-71.5286708;-1940253.048;2839291.489;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39108462;-71.52840592;-1940253.175;2839321.881;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39106808;-71.52814913;-1940254.467;2839351.215;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.3910174;-71.52796255;-1940250.864;2839373.035;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39060189;-71.52824899;-1940198.446;2839345.975;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-1;-16.39087216;-71.52852308;-1940226.741;2839311.368;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39074651;-71.52789206;-1940219.929;2839384.562;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39071414;-71.52782256;-1940217.003;2839392.866;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.3906619;-71.52763743;-1940213.199;2839414.541;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39057609;-71.52751025;-1940204.72;2839430.083;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39035513;-71.52719605;-1940182.723;2839468.595;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39021109;-71.52687238;-1940169.879;2839507.178;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39006087;-71.52655829;-1940156.189;2839544.755;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.38996888;-71.52660747;-1940144.764;2839540.379;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.3901635;-71.52691984;-1940163.691;2839502.416;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.3901875;-71.52697632;-1940165.798;2839495.699;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39013934;-71.52703565;-1940159.394;2839489.6;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39010133;-71.52696406;-1940155.831;2839498.214;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39013258;-71.52693913;-1940159.816;2839500.633;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39006661;-71.52685664;-1940153.105;2839510.848;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.38994272;-71.52661823;-1940141.554;2839539.5;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.38983293;-71.52668394;-1940127.83;2839533.481;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.38969312;-71.52692142;-1940108.414;2839508.376;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.38978946;-71.52708304;-1940117.695;2839488.791;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39002626;-71.52738374;-1940141.725;2839451.603;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39029651;-71.52777705;-1940168.517;2839403.477;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39060722;-71.52818708;-1940199.851;2839352.926;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-2;-16.39085299;-71.52801875;-1940230.842;2839368.807;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38991676;-71.52616223;-1940144.25;2839591.547;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38985945;-71.52552113;-1940145.594;2839664.994;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38983903;-71.5246919;-1940153.642;2839759.294;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38966049;-71.52436612;-1940136.773;2839798.567;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38901417;-71.52357222;-1940070.85;2839897.03;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38883879;-71.52372493;-1940048.324;2839882.002;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.3896196;-71.52475073;-1940127.124;2839755.486;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38954301;-71.52504507;-1940114.419;2839723.108;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38954648;-71.5252635;-1940112.074;2839698.294;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38962959;-71.52552699;-1940118.518;2839667.33;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38976591;-71.52595136;-1940129.186;2839617.428;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.389862;-71.52616222;-1940137.817;2839592.263;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38992912;-71.5264968;-1940141.487;2839553.447;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-3;-16.38996409;-71.52650563;-1940145.484;2839551.989;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-4;-16.38910881;-71.52416749;-1940074.468;2839828.292;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-4;-16.38882344;-71.52376051;-1940046.072;2839878.167;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-4;-16.38840345;-71.52408941;-1939992.59;2839846.352;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-4;-16.38862081;-71.52435785;-1940014.742;2839813.074;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-4;-16.38901836;-71.52485581;-1940055.171;2839751.417;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-4;-16.38939277;-71.52455438;-1940102.951;2839780.713;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38989371;-71.52653041;-1940136.904;2839550.097;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38989071;-71.52639132;-1940138.303;2839565.909;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.3898433;-71.5261588;-1940135.663;2839592.895;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38973905;-71.52594207;-1940126.148;2839618.832;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38965015;-71.52568427;-1940118.952;2839649.226;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38957305;-71.52541844;-1940113.244;2839680.376;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38951791;-71.52523981;-1940109.017;2839701.353;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38951296;-71.52506018;-1940110.698;2839721.787;False; ; ;0; ; ; ; ; ; 
