type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.1.1.1,-16.39090887303819,-71.52830142223294,-1940233.84613355,2839336.02405831, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.2,-16.39075193059902,-71.52797644745327,-1940219.50373583,2839374.92270187, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.3,-16.39063455816727,-71.52805148139773,-1940204.77074476,2839367.94586605, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.4,-16.39056853332535,-71.52799682043597,-1940197.70333252,2839375.00576956, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.5,-16.39051578836969,-71.52790210944492,-1940192.70041776,2839386.43387814, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.6,-16.39046141930926,-71.52782350634845,-1940187.30380785,2839396.05662531, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.7,-16.39042641528771,-71.52774398090726,-1940184.19363927,2839405.53126353, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.8,-16.39038790175398,-71.52770396602369,-1940180.17349315,2839410.57137304, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.9,-16.39034330069896,-71.52764493219375,-1940175.67782109,2839417.84759579, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.10,-16.39028116732845,-71.52757492577891,-1940169.26083379,2839426.59686162, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.11,-16.39022848232402,-71.5275056433556,-1940163.94463129,2839435.14073812, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.12,-16.39018351647191,-71.52745005822921,-1940159.362658,2839442.03066729, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.13,-16.39014095152756,-71.527401602486,-1940154.97291132,2839448.08082426, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
