type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;;;;;;;;;;;;
TRACK;1.3.78-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-1;-16.34655447;-71.55004149;-1934750.32;2837448.307;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-1;-16.34652192;-71.54998612;-1934747.192;2837455.01;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-1;-16.34636253;-71.54974933;-1934731.442;2837483.937;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-1;-16.34620084;-71.54993019;-1934710.179;2837465.527;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-1;-16.34646839;-71.55013857;-1934738.991;2837438.415;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-2;-16.34630421;-71.54941009;-1934728.85;2837523.17;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-2;-16.34619227;-71.54918521;-1934718.523;2837550.13;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-2;-16.3457994;-71.54966476;-1934666.357;2837500.849;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-2;-16.3461529;-71.54985448;-1934705.498;2837474.737;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-2;-16.34633661;-71.54963793;-1934729.796;2837496.909;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-3;-16.34616201;-71.54915904;-1934715.298;2837553.492;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-3;-16.34586106;-71.54890798;-1934683.099;2837585.878;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-3;-16.34548578;-71.54941224;-1934632.687;2837533.565;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-3;-16.34578707;-71.54963202;-1934665.319;2837504.722;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.34570029;-71.54903016;-1934662.68;2837574.111;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.34581153;-71.54890314;-1934677.341;2837587.07;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.34569256;-71.54889079;-1934663.522;2837590.018;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.3455672;-71.54890352;-1934648.636;2837590.204;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.34545092;-71.54901027;-1934633.637;2837579.608;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.34507253;-71.54872385;-1934592.786;2837617.012;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.34487322;-71.54901675;-1934565.698;2837586.383;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-4;-16.3454519;-71.5493919;-1934628.962;2837536.313;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.34544236;-71.54894875;-1934633.404;2837586.696;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.34549969;-71.54891124;-1934640.609;2837590.206;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.34544001;-71.54877796;-1934635.273;2837606.098;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.34542851;-71.54867488;-1934635.215;2837617.938;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.34535968;-71.54853634;-1934628.868;2837634.545;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.3452576;-71.54843562;-1934618.142;2837647.295;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-5;-16.34509505;-71.54867528;-1934596.04;2837622.228;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-6; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-6;-16.34505995;-71.54863874;-1934592.376;2837626.828;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-6;-16.34521042;-71.54841202;-1934612.897;2837650.586;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-6;-16.34511705;-71.54830795;-1934603.235;2837663.603;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-6;-16.34492777;-71.54823841;-1934581.875;2837673.95;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-6;-16.34480396;-71.54846891;-1934564.439;2837649.418;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-7; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-7;-16.34476107;-71.54843738;-1934559.795;2837653.551;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-7;-16.34490488;-71.54821487;-1934579.481;2837676.917;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-7;-16.34458066;-71.54808846;-1934542.984;2837695.47;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.78-7;-16.34448356;-71.54824676;-1934529.591;2837678.778;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
