type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.3.78-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-1,-16.34655446793557,-71.5500414860736,-1934750.32037164,2837448.3071229,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.34652192266914,-71.5499861194098,-1934747.19246335,2837455.00956945,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.3463625303566,-71.54974933237834,-1934731.44188341,2837483.93669162,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.34620083632814,-71.54993019172352,-1934710.17870653,2837465.52664252,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.34646839211386,-71.55013857158897,-1934738.991069,2837438.41523498,False, , ,0, , , , , , 
TRACK,1.3.78-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-2,-16.34630421453877,-71.54941008535779,-1934728.85014751,2837523.170342,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34619226847175,-71.54918521007757,-1934718.5232477,2837550.12984685,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34579940311414,-71.54966476045311,-1934666.35670529,2837500.8489432,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34615289998095,-71.54985447596035,-1934705.49831759,2837474.73706431,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34633661185417,-71.54963792603957,-1934729.79577906,2837496.90872023,False, , ,0, , , , , , 
TRACK,1.3.78-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-3,-16.3461620113514,-71.54915903638303,-1934715.29767756,2837553.49168534,False, , ,0, , , , , , 
TRACK,1.3.78-3,-16.34586106457162,-71.54890797910643,-1934683.09869518,2837585.87776517,False, , ,0, , , , , , 
TRACK,1.3.78-3,-16.34548577745727,-71.54941224356061,-1934632.68667122,2837533.5651768,False, , ,0, , , , , , 
TRACK,1.3.78-3,-16.34578707287264,-71.54963202337068,-1934665.31925748,2837504.72210426,False, , ,0, , , , , , 
TRACK,1.3.78-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-4,-16.34570029151528,-71.54903015974932,-1934662.68007898,2837574.11068208,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34581153323581,-71.54890314303924,-1934677.34126291,2837587.07016848,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34569256276552,-71.5488907853775,-1934663.5216604,2837590.01835523,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34556719825855,-71.5489035223668,-1934648.63599852,2837590.20353325,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34545091621564,-71.54901027449219,-1934633.63713319,2837579.60784545,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34507253321138,-71.54872384514727,-1934592.78601264,2837617.01236661,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34487322327949,-71.54901674940331,-1934565.6978769,2837586.38329415,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34545189503835,-71.54939189686472,-1934628.96210773,2837536.31326058,False, , ,0, , , , , , 
TRACK,1.3.78-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-5,-16.34544236051491,-71.54894875371775,-1934633.40434715,2837586.69648186,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34549968633118,-71.54891123670898,-1934640.60896278,2837590.20626258,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34544001491616,-71.54877795851265,-1934635.27263086,2837606.09782226,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34542850987197,-71.54867488098822,-1934635.21503321,2837617.93800173,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34535967598461,-71.54853634411508,-1934628.86845382,2837634.54512705,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34525760043217,-71.54843562353725,-1934618.14249632,2837647.29544786,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34509504692014,-71.54867528150869,-1934596.04012331,2837622.22758656,False, , ,0, , , , , , 
TRACK,1.3.78-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-6,-16.3450599507684,-71.548638742667,-1934592.37621746,2837626.8279221,False, , ,0, , , , , , 
TRACK,1.3.78-6,-16.34521042341892,-71.54841202216005,-1934612.89713553,2837650.58553128,False, , ,0, , , , , , 
TRACK,1.3.78-6,-16.34511704595238,-71.54830794706967,-1934603.23498632,2837663.60324907,False, , ,0, , , , , , 
TRACK,1.3.78-6,-16.34492776925734,-71.54823841115513,-1934581.87455509,2837673.95037187,False, , ,0, , , , , , 
TRACK,1.3.78-6,-16.34480396394209,-71.5484689072179,-1934564.43869422,2837649.41779796,False, , ,0, , , , , , 
TRACK,1.3.78-7, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.3.78-7,-16.34476106500094,-71.54843737719291,-1934559.79536223,2837653.55149636,False, , ,0, , , , , , 
TRACK,1.3.78-7,-16.34490488076614,-71.54821487467537,-1934579.48140431,2837676.91734704,False, , ,0, , , , , , 
TRACK,1.3.78-7,-16.34458065910453,-71.54808845796858,-1934542.98367807,2837695.46997433,False, , ,0, , , , , , 
TRACK,1.3.78-7,-16.34448356038036,-71.54824676400966,-1934529.59100537,2837678.77767984,False, , ,0, , , , , , 
TRACK,Los Sauces y Pampita Zeballos, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,Los Sauces y Pampita Zeballos,-16.39140814308942,-71.54744213011504,-1940051.5075479,2837159.17105584,False, , ,0, , , , , , 
TRACK,Los Sauces y Pampita Zeballos,-16.39237949802362,-71.5471220780277,-1940169.62794426,2837182.79643506,False, , ,0, , , , , , 
