type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.3.99.1,-16.32658934546435,-71.54015436569264,-1932529.13330855,2838829.21795528, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.2,-16.32641255172619,-71.54001710448482,-1932510.08689995,2838847.08515436, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.3,-16.32646108197265,-71.53988706555087,-1932517.41930515,2838861.20566352, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.4,-16.32655894076502,-71.53979030244088,-1932530.12902318,2838870.91061646, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.5,-16.32663382669801,-71.5396815272903,-1932540.29077311,2838882.2766217, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.6,-16.32669509664209,-71.53956329349954,-1932548.97169968,2838894.89247206, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.7,-16.32688117917865,-71.5395207272975,-1932571.36541377,2838897.30325984, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.8,-16.32684487333623,-71.53981867536193,-1932563.36236511,2838863.97714143, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.9,-16.32676091025535,-71.53994163859852,-1932551.95630058,2838851.11967314, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.10,-16.32668375488998,-71.54005041371525,-1932541.52798032,2838839.78317812, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.11,-16.32708995375128,-71.53938593899881,-1932597.58189574,2838909.88041288, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.12,-16.32690613830764,-71.5392393321051,-1932577.82792538,2838928.89916301, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.13,-16.32697421608183,-71.53913292116775,-1932587.16032739,2838940.08540261, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.14,-16.32706725645761,-71.53904542704639,-1932599.18784117,2838948.80144754, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.15,-16.32723518450332,-71.53899576636319,-1932619.53798072,2838952.25277047, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.16,-16.32727376508261,-71.53918730436458,-1932621.66697462,2838930.02428732, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.17,-16.3271943406886,-71.53929608028841,-1932610.97196622,2838918.71724445, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.18,-16.32696583777908,-71.53843634048332,-1932594.91598461,2839019.2114517, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.19,-16.32688237918054,-71.53848852181349,-1932584.45707461,2839014.37664231, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.20,-16.32679613661457,-71.53841315245738,-1932575.27149961,2839024.04685203, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.21,-16.32672380436839,-71.53836387281362,-1932567.3926697,2839030.57680473, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.22,-16.32663617112107,-71.5383087957054,-1932557.78910935,2839037.96321821, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.23,-16.32655827486878,-71.53826096561578,-1932549.23845818,2839044.40104083, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.24,-16.32650680645034,-71.53816240462739,-1932544.42890228,2839056.25021171, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.25,-16.32638857129465,-71.53811892349833,-1932531.08490457,2839062.71885801, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
