type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.5.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.5.1-1;-16.4825686;-71.46883485;-1951754.45;2844877.01;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48261695;-71.46883589;-1951760.118;2844876.256;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.482703;-71.46883378;-1951770.254;2844875.363;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.4828199;-71.46878474;-1951784.612;2844879.383;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48308173;-71.46890682;-1951813.826;2844862.098;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48331208;-71.46840052;-1951847.322;2844916.461;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48356571;-71.46785783;-1951884.015;2844974.644;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48362789;-71.46757816;-1951894.872;2845005.531;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48353901;-71.46744802;-1951886.083;2845021.454;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48330716;-71.46731667;-1951860.51;2845039.396;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48299722;-71.46711642;-1951826.637;2845066.179;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48289696;-71.4672133;-1951813.626;2845056.515;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48308805;-71.46740571;-1951833.635;2845032.187;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48341353;-71.46771188;-1951867.988;2844993.194;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48329918;-71.46791497;-1951851.973;2844971.675;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.4829186;-71.46862829;-1951798.196;2844895.819;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48284242;-71.46859971;-1951789.609;2844900.062;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48241538;-71.4683712;-1951742.336;2844931.59;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48233785;-71.46781735;-1951740.261;2844995.398;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48195003;-71.46780563;-1951694.842;2845001.831;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48190479;-71.46796214;-1951687.538;2844984.684;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-1;-16.48242213;-71.46853313;-1951741.072;2844913.143;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48048154;-71.47195719;-1951469.582;2844550.517;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48057016;-71.47201536;-1951479.256;2844542.755;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48060348;-71.47212004;-1951481.842;2844530.45;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48108837;-71.47234969;-1951535.897;2844498.035;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48088464;-71.47164463;-1951520.913;2844580.644;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48083453;-71.47145456;-1951517.438;2844602.851;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48098929;-71.47128199;-1951537.813;2844620.378;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48113385;-71.47137979;-1951553.556;2844607.388;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48155575;-71.47125273;-1951604.74;2844616.24;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48184157;-71.47099763;-1951641.561;2844641.398;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.1-2;-16.48200449;-71.4708232;-1951662.918;2844659.028;False; ; ;0; ; ; ; ; ; 
