type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.5.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.5.1-1,-16.48256860422259,-71.46883485456996,-1951754.4499011,2844877.01008464,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48261695453042,-71.46883588975899,-1951760.11767446,2844876.25627623,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48270300016471,-71.46883377795494,-1951770.25442937,2844875.3630231,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48281989918754,-71.46878474025795,-1951784.61229898,2844879.3833634,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48308173311998,-71.46890681548264,-1951813.82600665,2844862.09766368,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48331208411796,-71.46840051953689,-1951847.32166091,2844916.46132034,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4835657136501,-71.46785783397949,-1951884.01498992,2844974.64376757,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4836278864926,-71.46757815878854,-1951894.87249182,2845005.53058957,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48353901409204,-71.46744801796764,-1951886.08344388,2845021.45401601,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48330715986,-71.46731667248682,-1951860.5099125,2845039.39640568,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48299722219542,-71.46711641501587,-1951826.63717753,2845066.1790285,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48289695671159,-71.46721330165428,-1951813.62571393,2845056.51539763,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48308805104001,-71.46740571353405,-1951833.63451279,2845032.18679545,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48341353086585,-71.46771187557272,-1951867.98814735,2844993.19378703,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48329918208022,-71.46791496896798,-1951851.97300096,2844971.67548934,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48291860281839,-71.46862829442586,-1951798.19649436,2844895.81949726,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48284242180066,-71.46859971480905,-1951789.60858504,2844900.06224954,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48241538061805,-71.46837119764297,-1951742.33564815,2844931.58954627,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48233785307479,-71.46781734792894,-1951740.26096749,2844995.39754678,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48195002599468,-71.46780563030583,-1951694.84174689,2845001.83121259,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48190478600263,-71.46796214004316,-1951687.53842737,2844984.68385719,False, , ,0, , , , , , 
