type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.5.9.1,-16.46915202558748,-71.49486795877428,-1949847.89418112,2842102.26600447, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.2,-16.46907489666746,-71.49479939628886,-1949839.70196811,2842111.05111967, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.3,-16.46902629673343,-71.49476681317046,-1949834.4053724,2842115.38298628, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.4,-16.46898001103565,-71.49473664357944,-1949829.35006508,2842119.41086599, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.5,-16.46893488250642,-71.49470647407382,-1949824.43069934,2842123.42353915, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.6,-16.4688897539597,-71.49467630458828,-1949819.51132981,2842127.43621135, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.7,-16.46884809716571,-71.49464130855762,-1949815.06098684,2842131.95041803, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.8,-16.4687902393104,-71.4946195851746,-1949808.5391374,2842135.1728365, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.9,-16.46875552804978,-71.49453390880662,-1949805.54701924,2842145.34088267, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.10,-16.46878793517064,-71.49440479531566,-1949810.99046402,2842159.55139903, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.11,-16.46887868497067,-71.49444550341126,-1949821.13587764,2842153.74488819, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.12,-16.46892478224685,-71.49446629298032,-1949826.28792807,2842150.7827752, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.13,-16.46897031105289,-71.4945000745396,-1949831.20854486,2842146.35537494, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.14,-16.46903385038034,-71.49453255784175,-1949838.26149155,2842141.83859628, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.15,-16.46909988017527,-71.49459362375548,-1949845.24478596,2842134.04902869, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.16,-16.46918335264658,-71.49465469067917,-1949854.27723039,2842126.03026098, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.17,-16.46918240047677,-71.49449666264594,-1949856.16808212,2842143.95656726, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.18,-16.4691100801993,-71.49443728781938,-1949848.42435339,2842151.63706411, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.19,-16.46905314569381,-71.49442284330625,-1949841.91873447,2842154.0222519, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.20,-16.46881925981668,-71.49420620769415,-1949817.18721265,2842181.65164428, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.21,-16.46885312016766,-71.49405377047341,-1949823.09701485,2842198.48703863, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.22,-16.46920400720376,-71.49399600108048,-1949865.05152759,2842200.42706088, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.23,-16.46916449280291,-71.49395479226108,-1949860.93162006,2842205.61744074, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.24,-16.46907009052335,-71.49400515167078,-1949849.20296225,2842201.148674, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.25,-16.46901301299449,-71.49397080984568,-1949842.93269616,2842205.7912984, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.26,-16.46896471642672,-71.49394562554708,-1949837.57796231,2842209.28050477, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.27,-16.46892081054013,-71.49392044147166,-1949832.7390438,2842212.71201788, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.28,-16.46885055987347,-71.49390670249635,-1949824.66007523,2842215.19214491, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.29,-16.46884471093807,-71.49381820735339,-1949825.0944766,2842225.30069431, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.30,-16.46885666925512,-71.49372075157326,-1949827.73445445,2842236.19113283, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.31,-16.46885558626782,-71.49363576058435,-1949828.68436428,2842245.83986698, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.32,-16.46892513548291,-71.49365842809284,-1949836.56777863,2842242.35680535, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.33,-16.46896665064674,-71.49368756978841,-1949841.07567863,2842238.508048, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.34,-16.46902441119789,-71.49372598224247,-1949847.37460211,2842233.39499236, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.35,-16.46910728495377,-71.49378098191392,-1949856.41361742,2842226.07177898, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.36,-16.46916002361389,-71.49379757046806,-1949862.39914954,2842223.49862063, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.37,-16.46920854537406,-71.49383758356831,-1949867.59240056,2842218.32546964, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.38,-16.46918784101181,-71.49369415153335,-1949866.97785995,2842234.85670796, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.39,-16.46913715471698,-71.49365978908868,-1949861.4587015,2842239.41774544, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.40,-16.46909491003881,-71.49362630258437,-1949856.920167,2842243.76861108, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.41,-16.46903068735678,-71.4935698948385,-1949850.09013696,2842251.00648264, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.42,-16.46896983118575,-71.49354785178409,-1949843.22007436,2842254.30458674, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.43,-16.46886837934731,-71.49347113922528,-1949832.27366285,2842264.33319272, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.44,-16.46888613843812,-71.49342265919819,-1949834.97444072,2842269.59559726, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.45,-16.46892757263521,-71.49330191020323,-1949841.37252237,2842282.73940043, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.46,-16.46901312754066,-71.49332487683583,-1949851.13251733,2842279.01217419, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.47,-16.46875098799147,-71.49329379809426,-1949820.72999547,2842285.97836768, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.48,-16.46872692841387,-71.49349579011269,-1949815.34346641,2842263.3966728, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.49,-16.46867755680369,-71.4934918328234,-1949809.59339932,2842264.49373685, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.50,-16.46861171956382,-71.49349315776701,-1949801.84198999,2842265.20827385, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.51,-16.46855220468822,-71.49349712340592,-1949794.79987027,2842265.54041952, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.52,-16.46848381678685,-71.4934944873819,-1949786.79900509,2842266.7374646, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.53,-16.46841415195963,-71.49349449241588,-1949778.61465325,2842267.65188844, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.54,-16.46834574322582,-71.49350242199473,-1949770.47743698,2842267.65148695, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.55,-16.46824944656241,-71.49352620614388,-1949758.86299096,2842266.22009354, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.56,-16.46823303667349,-71.49345346050589,-1949757.85706921,2842274.68205132, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.57,-16.46824823978822,-71.49339403479547,-1949760.39626936,2842281.21885906, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.58,-16.46824190806926,-71.49335045073444,-1949760.2047704,2842286.24270333, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.59,-16.46823304304627,-71.49330026160061,-1949759.79936611,2842292.04857253, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.60,-16.46823937848522,-71.493256682057,-1949761.09596381,2842296.90553453, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.61,-16.46823942120739,-71.49322375290491,-1949761.51830996,2842300.63781987, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.62,-16.46843438237783,-71.49326342130975,-1949783.9198244,2842293.58032851, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.63,-16.46793669294515,-71.49264334829633,-1949733.30920337,2842370.40877662, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.64,-16.46759910776341,-71.49285760476333,-1949690.9337969,2842350.55447321, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.65,-16.46797844161119,-71.49308590207956,-1949732.60516036,2842319.69236862, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.66,-16.46801183861357,-71.49342737974966,-1949732.20102616,2842280.54378546, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.67,-16.46831684348829,-71.49366154923906,-1949765.06560317,2842249.99245062, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.68,-16.46836364073464,-71.49366504163035,-1949770.51912239,2842248.98191812, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.69,-16.46841210600072,-71.4936580785796,-1949776.30110625,2842249.13470034, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.70,-16.4684873019052,-71.49367551484713,-1949784.91420638,2842246.17050239, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.71,-16.46858420938121,-71.49365462053586,-1949796.56377499,2842247.26626982, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.72,-16.46872620180969,-71.49361457392659,-1949813.75268804,2842249.94095838, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.73,-16.46871784764081,-71.49367554720858,-1949811.99848809,2842243.13879549, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.74,-16.46871784449051,-71.49374697488896,-1949811.09288194,2842235.04184693, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.75,-16.46871116036942,-71.49381143380455,-1949809.49071243,2842227.82262452, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.76,-16.46870280613026,-71.49386892481547,-1949807.78064656,2842221.41521563, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.77,-16.46863766015084,-71.49384453433365,-1949800.43636345,2842225.03573767, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.78,-16.46859255623308,-71.49380097629637,-1949795.6895494,2842230.56584559, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.79,-16.46840708920673,-71.49373475117267,-1949774.74003695,2842240.50902338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.80,-16.4683586243099,-71.49372429081423,-1949769.1789098,2842242.33134311, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.81,-16.46825517666465,-71.49382243583032,-1949755.78199598,2842232.56434259, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.82,-16.46832823807337,-71.49386899147171,-1949763.77529885,2842226.32723998, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.83,-16.46840738150669,-71.49388168689266,-1949772.91223278,2842223.84863292, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.84,-16.46846419660751,-71.49390496089723,-1949779.29195338,2842220.46410087, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.85,-16.46850883368535,-71.49393034950693,-1949784.21419164,2842216.9998043, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.86,-16.4685575259256,-71.49395150484835,-1949789.66648042,2842213.96212798, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.87,-16.46851085265881,-71.49415039497328,-1949781.66272636,2842192.02910543, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
