type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.7.43A.1,-16.45416353406969,-71.55913914060893,-1947274.65388755,2835013.9736508, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.2,-16.45412842491141,-71.55924811754969,-1947269.15575875,2835002.08251801, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.3,-16.45419717166464,-71.55928588972444,-1947276.75279223,2834996.90304754, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.4,-16.4542919642672,-71.55926594402784,-1947288.13684132,2834997.92409868, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.5,-16.45440567028961,-71.55931459569437,-1947300.87659994,2834990.92385563, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.6,-16.45434355927875,-71.55951194763182,-1947291.09240112,2834969.37043567, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.7,-16.45427096641242,-71.55948849739119,-1947282.86299892,2834972.97710227, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.8,-16.45421331592866,-71.5594785605126,-1947276.217928,2834974.85696526, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.9,-16.45413924234825,-71.55946316285066,-1947267.7130321,2834977.57040529, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.10,-16.4540751210367,-71.55941827149211,-1947260.74902792,2834983.49619107, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.11,-16.45399999499707,-71.55958131440562,-1947249.86926234,2834966.00104915, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.12,-16.45405053706728,-71.55962888959616,-1947255.20467057,2834959.94865862, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.13,-16.45413494318295,-71.55969413744276,-1947264.29408401,2834951.45072692, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.14,-16.45419904687259,-71.55974085187064,-1947271.23301313,2834945.31858723, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.15,-16.45405968466467,-71.55991081240177,-1947252.72217434,2834927.87933648, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.16,-16.45399188863361,-71.55986572296283,-1947245.32911438,2834933.87557732, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.17,-16.45394305335969,-71.55981182939661,-1947240.27386149,2834940.62168607, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.18,-16.45385798790841,-71.55976597281408,-1947230.86236535,2834946.93064778, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.19,-16.45414937305679,-71.55998973296008,-1947262.25943469,2834917.76287739, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.20,-16.45432595199135,-71.55982077984076,-1947285.12825701,2834934.60136612, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.21,-16.45440142457752,-71.55987786935893,-1947293.27143519,2834927.14481171, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.22,-16.45445813888682,-71.5599089154522,-1947299.54022632,2834922.88494578, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.23,-16.45453282046718,-71.55995897546264,-1947307.67918879,2834916.23537552, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.24,-16.45445833292027,-71.56002135079223,-1947298.14449692,2834910.14039267, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.25,-16.45434121552362,-71.56012564687113,-1947283.07452926,2834899.85196545, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.26,-16.45428816279363,-71.56009317363184,-1947277.2537552,2834904.22567973, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.27,-16.45423160658808,-71.56005132438989,-1947271.13982268,2834909.70775892, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.28,-16.45391125098913,-71.56008606902867,-1947233.0792251,2834909.95845549, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.29,-16.45378223223112,-71.56027146275679,-1947215.58851119,2834890.63490591, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.30,-16.45369283097153,-71.56022345144999,-1947205.69500877,2834897.2446938, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.31,-16.45363580475659,-71.56019203000118,-1947199.39430519,2834901.55114106, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.32,-16.45356634880988,-71.56015966069943,-1947191.64582084,2834906.12750432, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.33,-16.45351451776388,-71.56013075596947,-1947185.92347875,2834910.08082055, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.34,-16.45344424466343,-71.56008217310698,-1947178.28356582,2834916.50532094, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.35,-16.45367472676182,-71.55989883293071,-1947207.66415761,2834934.26975091, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.36,-16.45372534855078,-71.55996451733485,-1947212.78047869,2834926.16405871, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.37,-16.45378595191628,-71.5599966939635,-1947219.49175338,2834921.72524649, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
