type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.8.1-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45330617;-71.51607311;8179249.829;231343.7079;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45314645;-71.51591348;8179267.724;231360.5414;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45256371;-71.51536385;8179332.969;231418.4577;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45240073;-71.51550587;8179350.824;231403.0608;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45288069;-71.51600621;8179297.023;231350.269;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45324679;-71.51637318;8179256.003;231311.5683;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45342587;-71.51620008;8179236.408;231330.3083;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-1;-16.45337013;-71.5161355;8179242.665;231337.1305;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45252606;-71.51478526;8179337.907;231480.2194;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45257847;-71.51483917;8179332.033;231474.5323;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45265038;-71.51486562;8179324.036;231471.806;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45275596;-71.51490555;8179312.295;231467.6855;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45288634;-71.514686;8179298.152;231491.3204;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45264106;-71.51453389;8179325.508;231507.2326;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-2;-16.45253008;-71.51469863;8179337.576;231489.4801;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45231287;-71.51503877;8179361.172;231452.843;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45274761;-71.5154633;8179312.477;231408.0869;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45305033;-71.51576857;8179278.557;231375.8907;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45319886;-71.51559077;8179262.351;231395.0907;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45290961;-71.51534183;8179294.705;231421.2876;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45297909;-71.51523922;8179287.148;231432.3451;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45228141;-71.51456264;8179365.288;231503.6667;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.4521602;-71.51464006;8179378.603;231495.2279;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-3;-16.45202435;-71.51476833;8179393.473;231481.3376;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45308074;-71.51577011;8179275.189;231375.7682;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45308074;-71.51577011;8179275.189;231375.7682;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45348857;-71.51614839;8179229.535;231335.9164;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45381717;-71.51648579;8179192.708;231300.3242;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45406413;-71.51623344;8179165.702;231327.6241;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45460827;-71.51561596;8179106.282;231394.341;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45522066;-71.51498068;8179039.329;231463.0532;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45501078;-71.51468488;8179062.958;231494.3652;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45470833;-71.51517029;8179095.797;231442.091;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45461081;-71.51533613;8179106.373;231424.2399;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.4540484;-71.51595403;8179167.815;231357.4528;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.4537944;-71.51621254;8179195.592;231329.4847;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.1-4;-16.45318948;-71.51564757;8179263.313;231389.0094;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45466695;-71.51342169;8179102.702;231628.8429;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45493907;-71.5137205;8179072.178;231597.2948;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45521401;-71.51398975;8179041.382;231568.908;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45570401;-71.51446162;8178986.508;231519.1715;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45595966;-71.51416625;8178958.598;231551.0792;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45572974;-71.51395956;8178984.327;231572.8439;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45563416;-71.51390174;8178994.985;231578.8888;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45550304;-71.51377793;8179009.666;231591.936;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45541678;-71.51367355;8179019.354;231602.9677;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45538225;-71.5136579;8179023.198;231604.5924;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45508435;-71.51337413;8179056.555;231634.4986;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45490223;-71.51319571;8179076.955;231653.309;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45474642;-71.51301735;8179094.441;231672.1493;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45474213;-71.51301771;8179094.915;231672.1048;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.4547363;-71.51303001;8179095.545;231670.7829;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45464206;-71.5132114;8179105.736;231651.2741;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45462752;-71.51320599;8179107.354;231651.8318;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.45457512;-71.51333164;8179112.988;231638.3365;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-1;-16.4546126;-71.51337689;8179108.778;231633.554;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45467526;-71.51276102;8179102.66;231699.436;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45448359;-71.51267398;8179123.995;231708.4708;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45441122;-71.51262646;8179132.07;231713.4472;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45434071;-71.51265644;8179139.836;231710.1473;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45428658;-71.51272333;8179145.74;231702.9272;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.454646;-71.51309413;8179105.457;231663.808;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45471265;-71.51300601;8179098.194;231673.3136;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45471927;-71.51299855;8179097.471;231674.1197;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.4547769;-71.51283226;8179091.312;231691.9649;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-2;-16.45472177;-71.51277902;8179097.487;231697.5769;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-3; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-3;-16.45410953;-71.51285949;8179165.16;231688.1373;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-3;-16.45455816;-71.51330187;8179114.905;231641.4941;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-3;-16.45463917;-71.5131338;8179106.16;231659.5605;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-3;-16.4542132;-71.51272386;8179153.863;231702.7696;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-4;-16.45421084;-71.51271551;8179154.135;231703.6584;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.45410382;-71.51259464;8179166.144;231716.4238;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.45401027;-71.51246435;8179176.673;231730.2144;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.4538652;-71.51232599;8179192.918;231744.7966;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.4538365;-71.51235888;8179196.052;231741.2428;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.45382648;-71.51237951;8179197.133;231739.0257;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.45376623;-71.51247853;8179203.672;231728.3639;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-4;-16.45409444;-71.51284999;8179166.843;231689.1316;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45402422;-71.51243382;8179175.169;231733.4956;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45410054;-71.51255684;8179166.557;231720.4575;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45417749;-71.51262459;8179157.948;231713.3262;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45424242;-71.51269363;8179150.668;231706.0398;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45437722;-71.51259623;8179135.874;231716.6301;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.4542042;-71.51240242;8179155.286;231737.0975;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45411083;-71.51226767;8179165.802;231751.3652;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45407795;-71.51219984;8179169.532;231758.5662;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45408911;-71.51214309;8179168.372;231764.6447;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.4539897;-71.512011;8179179.553;231778.619;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45392999;-71.51217568;8179185.945;231760.9438;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-5;-16.45388576;-71.51227904;8179190.704;231749.8404;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45407115;-71.51150848;8179171.203;231832.4171;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45390338;-71.51127635;8179190.085;231856.9861;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45379456;-71.51105037;8179202.432;231880.9778;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45374888;-71.51093502;8179207.642;231893.2384;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45366118;-71.51093158;8179217.356;231893.4857;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45355008;-71.51078084;8179229.855;231909.4365;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45340361;-71.51061615;8179246.289;231926.8304;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45332436;-71.51049789;8179255.22;231939.3554;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45316641;-71.5100865;8179273.252;231983.0889;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45323183;-71.51001571;8179266.103;231990.741;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45307762;-71.50976768;8179283.505;232017.0271;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45277987;-71.50987558;8179316.325;232005.0907;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45270805;-71.51018288;8179323.869;231972.1617;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45289178;-71.5102265;8179303.47;231967.7541;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45295394;-71.51022557;8179296.59;231967.9395;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45301404;-71.5101762;8179290.002;231973.2956;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.4530901;-71.51039949;8179281.286;231949.5454;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.4531187;-71.51058902;8179277.868;231929.3365;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45322526;-71.51073142;8179265.882;231914.2703;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.45329912;-71.51080391;8179257.608;231906.6267;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-6;-16.4538868;-71.51173601;8179191.31;231807.8555;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45236885;-71.51023669;8179361.35;231965.9465;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45246693;-71.51018346;8179350.562;231971.7686;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45251809;-71.51022395;8179344.845;231967.5124;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45260339;-71.51015798;8179335.489;231974.6785;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45248378;-71.50999592;8179348.946;231991.8273;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45308959;-71.50959609;8179282.408;232035.3752;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45288546;-71.50896203;8179305.847;232102.8334;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45280062;-71.50898312;8179315.211;232100.4639;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45261366;-71.50942847;8179335.32;232052.6281;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45230909;-71.51013763;8179368.097;231976.4474;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-7;-16.45231796;-71.51014918;8179367.101;231975.2258;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45248052;-71.51023334;8179348.992;231966.4586;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45206774;-71.51046286;8179394.385;231941.3698;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45205528;-71.51059905;8179395.584;231926.8035;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45215832;-71.51090338;8179383.773;231894.4322;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45242172;-71.51072316;8179354.852;231914.0478;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45255607;-71.51059366;8179340.149;231928.0676;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45274048;-71.51038963;8179320.005;231950.1187;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.4526269;-71.51023361;8179332.786;231966.6309;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.2-8;-16.45252598;-71.51028707;8179343.888;231960.7802;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.3-1;-16.45123826;-71.51008794;8179486.714;231980.2843;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.45137874;-71.51020387;8179471.008;231968.0918;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.4516316;-71.50986835;8179443.458;232004.2846;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.4515569;-71.50977385;8179451.854;232014.278;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.45151225;-71.50968586;8179456.914;232023.6167;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.45141198;-71.50969667;8179468.001;232022.3243;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.45099927;-71.50986921;8179513.462;232003.3241;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-1;-16.45109027;-71.51010831;8179503.07;231977.905;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.8.3-2;-16.45139651;-71.50964405;8179469.783;232027.9242;False; ; ;0; ; ; ; ; ; 
TRACK;1.8.3-2;-16.4513918;-71.50958062;8179470.388;232034.6943;False; ; ;0; ; ; ; ; ; 
