type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.8.16.382,-16.43285590795179,-71.53134090934483,8181493.52213014,229684.246156056, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.381,-16.4329320866423,-71.53130891023947,8181485.13112581,229687.770619415, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.380,-16.4330071663041,-71.53128239446014,8181476.85446792,229690.70768591, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.597,-16.4308100840948,-71.53251968029008,8181718.44047989,229555.464938367, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.596,-16.43083171480885,-71.53259653640845,8181715.94299708,229547.283010768, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.590,-16.43111751748006,-71.53249052079161,8181684.44340351,229559.006377045, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.566,-16.43128442056209,-71.53216838919911,8181666.39609374,229593.65643883, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.565,-16.43119929050423,-71.53220265513087,8181675.77506988,229589.877317639, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.564,-16.43111314051754,-71.53223096282038,8181685.27492631,229586.733403735, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.563,-16.43099767651278,-71.53226749804209,8181698.00914995,229582.669798546, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.562,-16.43086446911502,-71.53231602313224,8181712.69172406,229577.300528169, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.561,-16.43076008743623,-71.53233854440916,8181724.21775099,229574.749619526, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.598,-16.4307825739491,-71.5324244543023,8181721.61342822,229565.601500055, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.595,-16.43089353710128,-71.53256777883286,8181709.13707234,229550.441317719, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.594,-16.43095427095614,-71.53255020002298,8181702.43670522,229552.403692438, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
