type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.9.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52788588;-71.77527468;-1953211.516;2809580.519;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52758942;-71.77876766;-1953133.055;2809189.185;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52706095;-71.78198202;-1953030.876;2808832.385;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52652189;-71.78182993;-1952969.556;2808856.578;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52511375;-71.78412938;-1952775.657;2808614.687;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52433957;-71.78547388;-1952668.054;2808472.613;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52392889;-71.78689468;-1952602.13;2808317.196;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52369602;-71.7877108;-1952564.619;2808227.886;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52296818;-71.78892056;-1952464.14;2808100.453;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52221284;-71.79019054;-1952359.686;2807966.563;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52387388;-71.79144259;-1952538.842;2807803.402;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52456281;-71.78964494;-1952642.101;2807997.845;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52585047;-71.7886332;-1952805.76;2808095.618;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52605287;-71.78698588;-1952850.087;2808279.356;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52648141;-71.78568053;-1952916.664;2808421.478;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52742014;-71.78533338;-1953031.099;2808448.585;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.5280665;-71.78529074;-1953107.436;2808445.031;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52822578;-71.78656589;-1953110.173;2808298.709;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52855206;-71.78655098;-1953148.626;2808296.168;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52867688;-71.78893443;-1953133.468;2808024.915;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52900269;-71.79039974;-1953153.36;2807854.928;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52826148;-71.79075978;-1953061.935;2807823.803;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52871887;-71.79192446;-1953101.018;2807686.121;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52936181;-71.79170081;-1953179.214;2807703.091;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.52995858;-71.7932933;-1953229.295;2807515.21;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53086137;-71.79560664;-1953306.256;2807241.822;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53515595;-71.79416873;-1953827.864;2807348.829;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53510559;-71.79168362;-1953853.028;2807630.597;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53474905;-71.79012295;-1953830.728;2807811.763;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53271814;-71.79088486;-1953583.027;2807751.899;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.5320243;-71.78940984;-1953520.098;2807927.751;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53098932;-71.78847995;-1953410.344;2808046.359;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.5302817;-71.78634479;-1953354.052;2808297.075;False; ; ;0; ; ; ; ; ; 
TRACK;1.9.1-1;-16.53068829;-71.78513539;-1953416.86;2808428.62;False; ; ;0; ; ; ; ; ; 
