type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.9.1.1,-16.52911908332695,-71.77548071101002,-1953353.57632348,2809541.21607989, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.2,-16.52933211418508,-71.77595176737665,-1953372.66858238,2809485.16027168, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.3,-16.52926473486242,-71.77604220872939,-1953363.63454066,2809475.80208234, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.4,-16.52920696780513,-71.77608576535758,-1953356.31442297,2809471.62351049, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.5,-16.52936443015339,-71.77649088616882,-1953369.71428582,2809423.74823212, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.6,-16.52925078056936,-71.77692918114833,-1953350.90194869,2809375.63597244, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.7,-16.52921442196006,-71.77705268127735,-1953345.09271634,2809362.13541509, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.8,-16.52922663616711,-71.77720167308152,-1953344.66144705,2809345.12097582, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.9,-16.5292054185581,-71.77734750864404,-1953340.34864799,2809328.8971828, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.10,-16.52919635250775,-71.77748065841711,-1953337.61974233,2809313.9510071, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.11,-16.52915993416699,-71.7776138195899,-1953331.68271988,2809299.35825573, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.12,-16.5291569535177,-71.77776598758979,-1953329.4296672,2809282.18157928, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.13,-16.52920112403961,-71.77793228192714,-1953332.5300001,2809262.79530821, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.14,-16.52921319408835,-71.77811586043057,-1953331.64927547,2809241.8699165, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.15,-16.52914946496689,-71.77828035929582,-1953322.1172285,2809224.08601858, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.16,-16.52919551661614,-71.77841802781742,-1953325.79629995,2809207.91395465, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.17,-16.5291416009397,-71.77853452856003,-1953318.01563601,2809195.43299692, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.18,-16.52914899011158,-71.77862276192246,-1953317.77860925,2809185.35506105, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.19,-16.52916558617443,-71.77874360050163,-1953318.2135678,2809171.46901617, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.20,-16.52916381993165,-71.77893541926819,-1953315.60711282,2809149.79089163, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.21,-16.52914733327377,-71.77910230847188,-1953311.58604704,2809131.12401904, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.22,-16.52919337404928,-71.77928259866172,-1953314.73079235,2809110.13029156, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.23,-16.52918605306492,-71.77937467433873,-1953312.72049699,2809099.80845579, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.24,-16.52911989626285,-71.77949171039364,-1953303.49757747,2809087.42569292, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.25,-16.52924505044525,-71.7797813062854,-1953314.55385015,2809053.04018474, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.26,-16.52945652686363,-71.77978505647963,-1953339.30945779,2809049.87380245, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.27,-16.52952294474906,-71.78036623970058,-1953339.82995503,2808983.26220765, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.28,-16.52916259574959,-71.78057546765237,-1953294.95059179,2808964.26415802, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.29,-16.52988460986874,-71.78114474838893,-1953372.50981433,2808890.49908267, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.30,-16.52961857870108,-71.78081200904457,-1953345.47078116,2808931.59162356, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.31,-16.52944783247918,-71.78079747924767,-1953325.62705582,2808935.44927946, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.32,-16.52914949019272,-71.78080383886228,-1953290.55734039,2808938.59803136, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.33,-16.52915792423645,-71.78090310631039,-1953290.30499048,2808927.25838258, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.34,-16.52914956053137,-71.78099361996384,-1953288.19205541,2808917.126863, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.35,-16.52917479591285,-71.78111331701794,-1953289.65470521,2808903.25815817, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.36,-16.52917763796286,-71.781227187043,-1953288.56390833,2808890.33902354, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.37,-16.52918082221029,-71.7813554183362,-1953287.33364615,2808875.79075078, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.38,-16.52921445350207,-71.78147219248375,-1953289.81755878,2808862.14390003, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.39,-16.52924248874662,-71.78159480822212,-1953291.57210673,2808847.90875014, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.40,-16.52920336516729,-71.78176708539701,-1953284.82910786,2808828.92607477, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.41,-16.52921743361836,-71.78196853843558,-1953283.95969444,2808805.95308891, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.42,-16.52955892406946,-71.78199176053599,-1953323.71968842,2808798.89855729, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.43,-16.52972405625095,-71.78196249817913,-1953343.45254544,2808800.06806958, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.44,-16.52932392096073,-71.78230718199852,-1953292.21361157,2808766.26148785, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.45,-16.52923731005882,-71.78274517151039,-1953276.57848266,2808717.834348, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.46,-16.52925975591277,-71.78289406677902,-1953277.34895543,2808700.69877372, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.47,-16.52952315783751,-71.78341498137459,-1953301.72668885,2808638.3529049, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.48,-16.52922685815366,-71.78343647942546,-1953266.70775047,2808639.76201193, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.49,-16.52925116801842,-71.7836697388671,-1953266.6419421,2808613.05823881, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.50,-16.52929409783042,-71.78386022457798,-1953269.29478255,2808590.9521093, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.51,-16.52926251402036,-71.78413238375185,-1953262.1874064,2808560.57227126, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.52,-16.5292477056732,-71.78441619883526,-1953256.9017665,2808528.65637985, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.53,-16.52925149323288,-71.78458726095158,-1953255.20697916,2808509.25513694, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.54,-16.52929447600246,-71.78492937253206,-1953255.97020739,2808469.99516387, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.55,-16.52998477358494,-71.78557880946721,-1953328.80714786,2808387.57718483, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.56,-16.52983930092218,-71.78631992210259,-1953302.47977434,2808305.62230804, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.57,-16.52965455542312,-71.78642730353158,-1953279.4705332,2808295.86913988, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.58,-16.52939966469367,-71.78644724079442,-1953249.32811392,2808296.91749793, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.59,-16.52952162825592,-71.78709603608046,-1953255.52008135,2808221.93992255, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.60,-16.52937147078464,-71.78744333085112,-1953233.56796248,2808184.59754454, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.61,-16.52934109275484,-71.78761398505718,-1953227.871769,2808165.68560765, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.62,-16.52947849629081,-71.78894138213684,-1953227.39150645,2808013.74057724, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.63,-16.52972859911249,-71.79006997244238,-1953242.61432851,2807882.82654688, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.64,-16.53077403223779,-71.79266498673491,-1953332.78000627,2807575.7201064, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.65,-16.53135048303435,-71.79382800085229,-1953385.84584631,2807436.6875279, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.66,-16.53004923971621,-71.79285790108764,-1953245.36944582,2807563.28861954, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.67,-16.52976489547083,-71.79197764641245,-1953223.02540905,2807666.55083783, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.68,-16.52905737298925,-71.79079144419913,-1953154.87741605,2807809.9078673, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.69,-16.52872912217352,-71.78634929302683,-1953171.91259122,2808316.68932556, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.70,-16.52864966696884,-71.78619361318758,-1953164.54059655,2808335.33101034, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.1.71,-16.52864961895783,-71.78605446864854,-1953166.27463719,2808351.07288296, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
