type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.11.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-1,-16.39270146605686,-71.52838897105461,-1940443.3192547,2839302.70271252,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39327392551306,-71.52839019430193,-1940510.55056628,2839295.09276784,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39324349058198,-71.52749070435458,-1940518.30776827,2839397.48637104,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39245978530114,-71.52745304122122,-1940426.72004581,2839411.9858358,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39219532985092,-71.52745600790999,-1940395.6169378,2839415.10092071,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39207078048471,-71.52748775544039,-1940380.5860861,2839413.12643182,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.391742246157,-71.52766678780778,-1940339.73751681,2839397.11276103,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39116701840164,-71.52788970234268,-1940269.35703804,2839379.34232403,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39125287839332,-71.52813181485156,-1940276.39308487,2839350.76748658,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39173550801148,-71.52812769356106,-1940333.13962626,2839344.93641477,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39224334368793,-71.52814244641689,-1940392.60931808,2839336.63598726,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39257945512912,-71.52816904561374,-1940431.75726343,2839329.23325397,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39258211332309,-71.52797663379099,-1940434.49355401,2839351.01690601,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39262899738526,-71.52800093005307,-1940439.69494305,2839347.64996517,False, , ,0, , , , , , 
TRACK,1.11.1-1,-16.39263754431708,-71.5282622472492,-1940437.40684148,2839317.90663938,False, , ,0, , , , , , 
TRACK,1.11.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-2,-16.3932435852962,-71.52713498744565,-1940522.80061863,2839437.8212925,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.39321346124797,-71.52677129791945,-1940523.84418637,2839479.45477521,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.39270512603691,-71.52698785931335,-1940461.40110462,2839461.53281295,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.3921217115654,-71.5271993810252,-1940390.20203582,2839445.16188326,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.39200915724987,-71.52725564498967,-1940376.27135805,2839440.25081426,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.39209858434224,-71.52741968105094,-1940384.70984107,2839420.48283879,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.39266060180665,-71.52741484223911,-1940450.79132374,2839413.69642919,False, , ,0, , , , , , 
TRACK,1.11.1-2,-16.39324927887691,-71.52744372219674,-1940519.57965096,2839402.73831154,False, , ,0, , , , , , 
TRACK,1.11.1-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-3,-16.39320010431317,-71.52675515963171,-1940522.47846976,2839481.45910741,False, , ,0, , , , , , 
TRACK,1.11.1-3,-16.39317761356048,-71.52652665074014,-1940522.71557471,2839507.66431108,False, , ,0, , , , , , 
TRACK,1.11.1-3,-16.39297622964097,-71.52587504901935,-1940507.26881115,2839584.18119897,False, , ,0, , , , , , 
TRACK,1.11.1-3,-16.39278135916731,-71.52554113378527,-1940488.58440225,2839624.58926243,False, , ,0, , , , , , 
TRACK,1.11.1-3,-16.39271438497273,-71.52545162507774,-1940481.844642,2839635.61336884,False, , ,0, , , , , , 
TRACK,1.11.1-3,-16.3923490263257,-71.52577817434599,-1940434.81083802,2839603.35308444,False, , ,0, , , , , , 
TRACK,1.11.1-3,-16.39294603098362,-71.52683737581916,-1940491.59637635,2839475.45250727,False, , ,0, , , , , , 
TRACK,1.11.1-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-4,-16.39270258267938,-71.52538344662781,-1940481.3172624,2839643.49856169,False, , ,0, , , , , , 
TRACK,1.11.1-4,-16.39245877767023,-71.52508036077707,-1940456.49593648,2839681.04965354,False, , ,0, , , , , , 
TRACK,1.11.1-4,-16.39217487205785,-71.5247479619629,-1940427.33320656,2839722.44829564,False, , ,0, , , , , , 
TRACK,1.11.1-4,-16.39197401573042,-71.52455141248046,-1940406.21469253,2839747.35815091,False, , ,0, , , , , , 
TRACK,1.11.1-4,-16.39161738129809,-71.5249957171898,-1940358.72174094,2839701.630583,False, , ,0, , , , , , 
TRACK,1.11.1-4,-16.39204319500837,-71.52535639752644,-1940404.19852539,2839655.172739,False, , ,0, , , , , , 
TRACK,1.11.1-4,-16.39231035228937,-71.52570703157282,-1940431.16410709,2839611.92516329,False, , ,0, , , , , , 
TRACK,1.11.1-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-5,-16.39248007157529,-71.52618739061931,-1940445.04898958,2839555.23935437,False, , ,0, , , , , , 
TRACK,1.11.1-5,-16.39219121524146,-71.52573207030957,-1940416.85339289,2839610.64091896,False, , ,0, , , , , , 
TRACK,1.11.1-5,-16.39203453453439,-71.52549469721154,-1940401.43862994,2839639.60313704,False, , ,0, , , , , , 
TRACK,1.11.1-5,-16.39156115528036,-71.52507368758936,-1940351.13434043,2839693.52289206,False, , ,0, , , , , , 
TRACK,1.11.1-5,-16.39123788878264,-71.52547758200279,-1940308.07071015,2839651.94196304,False, , ,0, , , , , , 
TRACK,1.11.1-5,-16.3916476883695,-71.52589776509893,-1940350.91671095,2839598.94603931,False, , ,0, , , , , , 
TRACK,1.11.1-5,-16.39224212007857,-71.52645556900175,-1940413.71766545,2839527.93497886,False, , ,0, , , , , , 
TRACK,1.11.1-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-6,-16.39286106728982,-71.5268822744433,-1940481.04992894,2839471.47021147,False, , ,0, , , , , , 
TRACK,1.11.1-6,-16.39272645122537,-71.52658434557607,-1940468.99012859,2839507.01079955,False, , ,0, , , , , , 
TRACK,1.11.1-6,-16.39259815685077,-71.52632486431662,-1940457.1885351,2839538.10920664,False, , ,0, , , , , , 
TRACK,1.11.1-6,-16.39252616960359,-71.52621638608777,-1940450.09886174,2839551.34971711,False, , ,0, , , , , , 
TRACK,1.11.1-6,-16.39227749750246,-71.52650416564943,-1940417.26122204,2839521.9626041,False, , ,0, , , , , , 
TRACK,1.11.1-6,-16.39255037356743,-71.52675835656281,-1940446.1137054,2839489.57703936,False, , ,0, , , , , , 
TRACK,1.11.1-6,-16.3927044269508,-71.52693944520421,-1940461.92895293,2839467.03183638,False, , ,0, , , , , , 
TRACK,1.11.1-7, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-7,-16.39263565075858,-71.52697103949603,-1940453.45169868,2839464.3468761,False, , ,0, , , , , , 
TRACK,1.11.1-7,-16.39255756883805,-71.52683976202778,-1940445.93330992,2839480.25216827,False, , ,0, , , , , , 
TRACK,1.11.1-7,-16.39239717853241,-71.52667520923772,-1940429.16530296,2839501.00502284,False, , ,0, , , , , , 
TRACK,1.11.1-7,-16.39224765011569,-71.5265496817202,-1940413.18155483,2839517.19086608,False, , ,0, , , , , , 
TRACK,1.11.1-7,-16.39181842354889,-71.52702567927331,-1940356.76290267,2839468.81710631,False, , ,0, , , , , , 
TRACK,1.11.1-7,-16.39195385995505,-71.52721447131299,-1940370.29426254,2839445.64139916,False, , ,0, , , , , , 
TRACK,1.11.1-8, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-8,-16.39182307043792,-71.52649053535373,-1940364.05083367,2839529.43931563,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39205583580733,-71.52665638430413,-1940389.30456794,2839507.59482456,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39220852332916,-71.52649260605061,-1940409.30438182,2839524.17365598,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.3916263042759,-71.52596488422176,-1940347.55904773,2839591.61409844,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39117704467265,-71.52555473066026,-1940299.95122741,2839643.9876954,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39102568529386,-71.52575106586127,-1940279.69713659,2839623.69944408,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39123788470552,-71.52607834915936,-1940300.5012257,2839583.81714703,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39148282802861,-71.52646331830314,-1940324.42500498,2839536.9662967,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39178366684447,-71.52695686126177,-1940353.54699627,2839477.07436168,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39203234094936,-71.52668158573241,-1940386.22709259,2839505.04374877,False, , ,0, , , , , , 
TRACK,1.11.1-8,-16.39180988890211,-71.5265127402473,-1940362.22262748,2839527.09341976,False, , ,0, , , , , , 
TRACK,1.11.1-9, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-9,-16.3917728677225,-71.52757709279535,-1940344.46461974,2839406.88408252,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.39202159037758,-71.52746077955759,-1940375.14754273,2839416.82734026,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.39155883911199,-71.5267167879768,-1940330.16078464,2839507.23187118,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.39112692997102,-71.52599658373558,-1940288.49732117,2839594.53717241,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.3910891649393,-71.5260254365227,-1940283.69749171,2839591.75825901,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.39116844696143,-71.52631181004428,-1940289.40298859,2839558.24982526,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.39138860102823,-71.52702775153442,-1940306.24512744,2839474.19177179,False, , ,0, , , , , , 
TRACK,1.11.1-9,-16.3915716946081,-71.52763939920104,-1940320.04777051,2839402.44430087,False, , ,0, , , , , , 
TRACK,1.11.1-10, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-10,-16.39150711726316,-71.52766212136844,-1940312.17558496,2839400.71049125,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.39129576304919,-71.52683158600286,-1940297.81067157,2839497.64771332,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.3911224288041,-71.52625632594315,-1940284.69618003,2839565.1421081,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.39106831722603,-71.52605334033119,-1940280.89692607,2839588.86615958,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.39105640255005,-71.52589827967582,-1940281.4508418,2839606.60499351,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.39099952090497,-71.52576367039401,-1940276.46475435,2839622.61161907,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.39054364215827,-71.52633479358953,-1940215.71664303,2839563.7979283,False, , ,0, , , , , , 
TRACK,1.11.1-10,-16.39122228548428,-71.52777549338369,-1940277.28802544,2839391.57182366,False, , ,0, , , , , , 
TRACK,1.11.1-11, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.11.1-11,-16.39117242726252,-71.52777501204739,-1940271.43721695,2839392.27706572,False, , ,0, , , , , , 
TRACK,1.11.1-11,-16.39091339871379,-71.52727972276782,-1940247.24835933,2839451.82103026,False, , ,0, , , , , , 
TRACK,1.11.1-11,-16.39061712903479,-71.52662650054459,-1940220.67434413,2839529.76032454,False, , ,0, , , , , , 
TRACK,1.11.1-11,-16.39050972036927,-71.52635930001379,-1940211.42306401,2839561.46168819,False, , ,0, , , , , , 
TRACK,1.11.1-11,-16.39028348423805,-71.52648482195913,-1940183.26544142,2839550.18043941,False, , ,0, , , , , , 
TRACK,1.11.1-11,-16.39016224790511,-71.52654736719934,-1940168.23569798,2839544.67019808,False, , ,0, , , , , , 
TRACK,1.11.1-11,-16.39092238173906,-71.52794427093184,-1940239.93204149,2839376.34701481,False, , ,0, , , , , , 
