type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.11.20.10,-16.3804269962782,-71.51225949183895,-1939204.58749002,2841292.0505888, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.22,-16.38054130136927,-71.51188683413544,-1939222.71243708,2841332.82279722, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.41,-16.37954235277805,-71.51207227267666,-1939103.01635578,2841324.83133412, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.27,-16.37978037250333,-71.51173426904845,-1939135.23884949,2841360.05872841, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.48,-16.37929862549425,-71.51190128858868,-1939076.53712226,2841347.40472408, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.83,-16.37962014389226,-71.51242942251223,-1939107.65507419,2841283.31020498, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.42,-16.37943749016114,-71.51202342181152,-1939091.31236144,2841331.74048393, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.31,-16.37970867033245,-71.51138046554698,-1939131.2734933,2841401.12101874, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.44,-16.37900279923494,-71.51225587757629,-1939037.31452777,2841311.05063618, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.49,-16.37933449490362,-71.51184176256497,-1939081.50125311,2841353.68761819, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.62,-16.38032191901024,-71.51299416335061,-1939182.98508771,2841210.10090779, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.71,-16.37988498664624,-71.51275843945851,-1939134.62360223,2841242.53830188, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.84,-16.37957763064139,-71.51251964300181,-1939101.52366642,2841273.63288734, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.121,-16.37958660112098,-71.51353614016104,-1939089.76937106,2841158.23149248, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.1,-16.38083198374467,-71.51216013851196,-1939253.4184713,2841298.03192979, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.2,-16.38076327403016,-71.51226306851947,-1939244.04918644,2841287.25526708, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.3,-16.38065104177435,-71.51216580731493,-1939232.08950301,2841299.75101497, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.4,-16.38057232792588,-71.51222053168841,-1939222.15238228,2841294.57206953, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.5,-16.38062418599277,-71.51231149275164,-1939227.09855233,2841283.57895713, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.6,-16.38068826799117,-71.51237734442955,-1939233.79723466,2841275.27401575, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.7,-16.38051281811857,-71.51244915070379,-1939212.28009323,2841269.42051086, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.8,-16.380458423296,-71.51240307711765,-1939206.47024425,2841275.35589992, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.9,-16.38043434241871,-71.51236969623835,-1939204.06180638,2841279.45606863, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.11,-16.38034222952057,-71.51219486029679,-1939195.44331868,2841300.48717182, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.12,-16.38026348232341,-71.51211192779574,-1939187.2369538,2841310.92075718, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.13,-16.38016236647812,-71.51202715503679,-1939176.42584319,2841321.85505315, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.14,-16.38009255424158,-71.51198673096963,-1939168.73350611,2841327.35098925, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.15,-16.37999764944057,-71.51191661197902,-1939158.46741603,2841336.54228461, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.16,-16.38006776435313,-71.51182526229729,-1939167.85585575,2841345.98734005, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.17,-16.38011409033679,-71.5117430195846,-1939174.33475285,2841354.71006732, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.18,-16.38021081384834,-71.51162095387741,-1939187.23635098,2841367.29138352, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.19,-16.38028126249875,-71.5116835025654,-1939194.72464913,2841359.27787426, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.20,-16.38037772827469,-71.51174908653408,-1939205.23126174,2841350.58050238, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.21,-16.38045267174164,-71.51181259626738,-1939213.23550391,2841342.39933324, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.23,-16.38063050792467,-71.51195540347661,-1939232.32857669,2841323.88162326, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.24,-16.38073644008798,-71.51202200685854,-1939243.93445421,2841314.94508468, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.25,-16.3800498505781,-71.51151424948138,-1939169.67054707,2841381.49433667, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.26,-16.37987687096036,-71.51175929381869,-1939146.26043256,2841355.9609245, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.28,-16.37971470539572,-71.51166683387329,-1939128.37385173,2841368.56401014, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.29,-16.3796645537598,-71.51158614876148,-1939123.49862452,2841378.36949729, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.30,-16.37958831004901,-71.51152829101869,-1939115.27035892,2841385.92663714, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.32,-16.37981387216717,-71.51125948999626,-1939145.15744378,2841413.46808944, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.33,-16.37988187204264,-71.51131685797492,-1939152.42335938,2841406.07408142, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.34,-16.37995387960437,-71.51136690803462,-1939160.25232586,2841399.45771704, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.35,-16.38001533094469,-71.51139075860571,-1939167.17126924,2841395.95054547, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.36,-16.38003581177861,-71.51142124833395,-1939169.19319924,2841392.22522723, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.37,-16.37995394812377,-71.51212618192955,-1939150.69241249,2841313.34464098, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.38,-16.37985494411774,-71.51226040141616,-1939137.36983922,2841299.41464973, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.39,-16.37978167667452,-71.51221151888439,-1939129.37815269,2841305.91496761, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.40,-16.37966312401887,-71.51213803199188,-1939116.37626952,2841315.79687585, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.43,-16.37915264288451,-71.51221549207834,-1939055.42745958,2841313.67507545, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.45,-16.37907351697836,-71.51214186557961,-1939047.05926089,2841323.0581707, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.46,-16.37918467079946,-71.51203519872149,-1939061.4620081,2841333.70484952, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.47,-16.37923581226992,-71.51197672753906,-1939068.20704124,2841339.66877137, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.50,-16.3794417710572,-71.51170982988739,-1939095.76687719,2841367.25037036, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.51,-16.37955790316514,-71.51180818792388,-1939108.17100789,2841354.57926917, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.52,-16.37963394126952,-71.51187929549,-1939116.20815403,2841345.52212422, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.53,-16.37969472367001,-71.51191749479952,-1939122.86769348,2841340.39637796, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.54,-16.37975859314231,-71.51197642126995,-1939129.62872178,2841332.87958938, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.55,-16.37985471252781,-71.51204225249298,-1939140.09154963,2841324.15874305, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.56,-16.38013238259395,-71.51239660605636,-1939168.24770866,2841280.34574379, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.57,-16.38033291980245,-71.51254112864235,-1939189.98616718,2841261.33730387, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.58,-16.38067256259238,-71.51251914532847,-1939230.16523034,2841259.39698213, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.59,-16.38055578841922,-71.51263469872406,-1939214.99020355,2841247.81605708, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.60,-16.38045949455464,-71.51275217871915,-1939202.19699758,2841235.74927436, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.61,-16.3803754055506,-71.51287474106675,-1939190.77362633,2841222.94676137, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.63,-16.38008416908615,-71.51309728229555,-1939153.75435867,2841201.50921004, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.64,-16.37999004719693,-71.51303508893825,-1939143.48039301,2841209.79128785, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.65,-16.37992095235547,-71.512990619382,-1939135.92332347,2841215.736589, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.66,-16.37997513460883,-71.51291722035879,-1939143.21364476,2841223.35377264, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.67,-16.38002895842926,-71.51282193831564,-1939150.73760737,2841233.4574514, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.68,-16.38008657039993,-71.51274109538039,-1939158.5246786,2841241.87409511, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.69,-16.38020582846679,-71.51282426288827,-1939171.48740644,2841230.8851384, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.70,-16.37993392439737,-71.51265953278369,-1939141.6192226,2841253.11685299, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.72,-16.37983813167611,-71.51285004830942,-1939127.96464171,2841232.7602319, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.73,-16.37979664497457,-71.51291030581385,-1939122.33141178,2841226.46774637, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.74,-16.37973389647002,-71.51286749859219,-1939115.49896852,2841232.14168655, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.75,-16.3796669609496,-71.51281342455647,-1939108.31658956,2841239.14808789, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.76,-16.37958482975458,-71.51275356565013,-1939099.42187537,2841247.00891853, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.77,-16.37965426743716,-71.51264629887623,-1939108.93120323,2841258.26807121, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.78,-16.37969167683748,-71.51257473593056,-1939114.22789202,2841265.89597975, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.79,-16.3797412331399,-71.5124966410702,-1939121.03394382,2841274.10614176, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.80,-16.37980141585591,-71.51257014033027,-1939127.17821194,2841264.98477499, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.81,-16.37987332491166,-71.5126254933996,-1939134.92877219,2841257.76837306, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.82,-16.37964645241976,-71.51231684706218,-1939112.16441014,2841295.73439949, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.85,-16.37951042042729,-71.5125963380102,-1939092.66123713,2841265.81190294, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.86,-16.37947794929047,-71.5126760756405,-1939087.84171189,2841257.19240238, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.87,-16.37944867371528,-71.51272628963527,-1939083.76962681,2841251.87957283, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.88,-16.3793811503972,-71.51267034030933,-1939076.54180724,2841259.10633894, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
