type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.10.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.10.1-1;-16.4024255;-71.51509632;-1941753.204;2840683.023;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-1;-16.40235812;-71.51518874;-1941744.121;2840673.423;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-1;-16.40291554;-71.51607695;-1941798.402;2840565.421;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-1;-16.40300085;-71.51596085;-1941809.888;2840577.471;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.10.1-2;-16.40315985;-71.51409142;-1941852.149;2840787.377;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-2;-16.40248231;-71.51502451;-1941760.783;2840690.424;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-2;-16.40305029;-71.51590325;-1941816.423;2840583.357;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-2;-16.40372709;-71.51486798;-1941908.991;2840691.905;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.10.1-3;-16.40381008;-71.51474383;-1941920.306;2840704.899;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-3;-16.40438471;-71.51388855;-1941998.602;2840794.373;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-3;-16.40392268;-71.51306232;-1941954.748;2840894.101;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-3;-16.40322874;-71.51401292;-1941861.232;2840795.378;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.10.1-4;-16.40357448;-71.5133072;-1941910.752;2840870.884;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-4;-16.4030383;-71.51262945;-1941856.313;2840954.746;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-4;-16.40281008;-71.51283706;-1941826.884;2840934.187;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-4;-16.40338574;-71.51353689;-1941885.682;2840847.305;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40336668;-71.5135939;-1941882.723;2840841.089;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.4027712;-71.51286492;-1941821.964;2840931.536;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40263347;-71.51298369;-1941804.285;2840919.868;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40264894;-71.51300777;-1941805.799;2840916.935;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40266363;-71.51307982;-1941806.616;2840908.573;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40265541;-71.51314082;-1941804.881;2840901.764;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40262236;-71.51322608;-1941799.922;2840892.527;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-5;-16.40313651;-71.51387598;-1941852.125;2840812.112;False; ; ;0; ; ; ; ; ; 
TRACK;1.10.1-6; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.10.1-6;-16.40278761;-71.51365199;-1941813.963;2840842.071;False; ; ;0; ; ; ; ; ; 
