type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.10.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.10.1-1,-16.40242550470385,-71.51509631738072,-1941753.20361518,2840683.02316274,False, , ,0, , , , , , 
TRACK,1.10.1-1,-16.40235811913012,-71.51518874322829,-1941744.12149524,2840673.42313534,False, , ,0, , , , , , 
TRACK,1.10.1-1,-16.40291554106536,-71.51607695283309,-1941798.40196341,2840565.4207197,False, , ,0, , , , , , 
TRACK,1.10.1-1,-16.40300084945216,-71.51596085355672,-1941809.88813292,2840577.47088325,False, , ,0, , , , , , 
TRACK,1.10.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.10.1-2,-16.40315984837873,-71.5140914168415,-1941852.14886448,2840787.37691246,False, , ,0, , , , , , 
TRACK,1.10.1-2,-16.40248230949098,-71.51502450730227,-1941760.78269794,2840690.4237302,False, , ,0, , , , , , 
TRACK,1.10.1-2,-16.40305029027534,-71.51590324552726,-1941816.42292516,2840583.35719709,False, , ,0, , , , , , 
TRACK,1.10.1-2,-16.40372709356033,-71.51486798396387,-1941908.99086962,2840691.9048285,False, , ,0, , , , , , 
TRACK,1.10.1-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.10.1-3,-16.40381008309166,-71.51474382683733,-1941920.30649871,2840704.8989024,False, , ,0, , , , , , 
TRACK,1.10.1-3,-16.40438470889795,-71.51388854556446,-1941998.60201046,2840794.37252551,False, , ,0, , , , , , 
TRACK,1.10.1-3,-16.40392268121188,-71.51306232295023,-1941954.74782549,2840894.10083811,False, , ,0, , , , , , 
TRACK,1.10.1-3,-16.40322873520736,-71.51401291521481,-1941861.23185256,2840795.37829478,False, , ,0, , , , , , 
TRACK,1.10.1-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.10.1-4,-16.40357447571283,-71.51330720356398,-1941910.75178276,2840870.88378799,False, , ,0, , , , , , 
TRACK,1.10.1-4,-16.40303829523597,-71.51262944942536,-1941856.31276394,2840954.7462878,False, , ,0, , , , , , 
