type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.10.13A.54,-16.39540619603888,-71.49926613970084,-1941128.28923083,2842569.9599101, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.53,-16.39548104830995,-71.49925500798472,-1941137.22402656,2842570.24369507, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.52,-16.39556716229525,-71.4992287781824,-1941147.67249856,2842572.09250879, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.51,-16.39565513998319,-71.49920141739719,-1941158.35421116,2842574.04521137, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.50,-16.39556040039039,-71.49903913502675,-1941149.27151891,2842593.68841632, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.49,-16.39549052028714,-71.49906518646239,-1941140.73258535,2842591.64758454, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.48,-16.39537216876841,-71.49911050759027,-1941126.25559948,2842588.05511205, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.47,-16.39529841995773,-71.49893288977097,-1941119.83261115,2842609.16310088, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.46,-16.39539803727629,-71.49888256665686,-1941132.17168203,2842613.56779815, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.45,-16.39544174475121,-71.49880938010647,-1941138.230523,2842621.2964594, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.44,-16.39532613275727,-71.49868899533554,-1941126.16674951,2842636.46100902, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.43,-16.39522845556659,-71.49872223601625,-1941114.27120111,2842633.96827826, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.42,-16.39516054840227,-71.49877309018866,-1941105.65101488,2842629.08873737, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.41,-16.39471410938364,-71.49870487100706,-1941054.06020758,2842642.66258199, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.40,-16.39474084093375,-71.4988139798817,-1941055.82385613,2842629.93891108, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.39,-16.39477088209797,-71.49887077827901,-1941058.63654008,2842623.10456885, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.38,-16.39478317072754,-71.49894528332328,-1941059.14002644,2842614.49420471, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.37,-16.39483469765258,-71.49901399163414,-1941064.32674468,2842606.02824338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.36,-16.39485821882144,-71.49907373333168,-1941066.3362549,2842598.94535705, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.35,-16.39491862482325,-71.4991499845367,-1941072.47096988,2842589.50787338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.34,-16.39495271803283,-71.49922283667033,-1941075.55711846,2842580.79991036, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.33,-16.39499819362289,-71.4993156888392,-1941079.72816179,2842569.67491993, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.32,-16.3951808641214,-71.4993175904972,-1941101.16590749,2842567.0709563, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.31,-16.39511286152838,-71.49923397288063,-1941094.23165891,2842577.44317161, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.30,-16.39507274565583,-71.49911265492389,-1941091.04958911,2842591.72641585, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.29,-16.3950380734128,-71.49904365328501,-1941087.84682453,2842600.0052663, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.28,-16.39498888562129,-71.49899306894528,-1941082.70620348,2842606.38518428, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.27,-16.39495873114758,-71.49892551613458,-1941080.01594136,2842614.44066457, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.26,-16.39490099777777,-71.49886368169287,-1941074.01328826,2842622.20820559, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.25,-16.3948982864758,-71.49878409602437,-1941074.69916559,2842631.26954842, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.24,-16.39487046084138,-71.49870675632528,-1941072.40603643,2842640.40453842, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.23,-16.39481680363035,-71.49864432684164,-1941066.88979525,2842648.18628791, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.22,-16.39479087623598,-71.49920931979551,-1941056.71308475,2842584.44882957, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.21,-16.39481203893615,-71.49930079094057,-1941058.04507312,2842573.79832555, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.20,-16.39509933950566,-71.49947688835226,-1941089.57727105,2842550.07078588, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.19,-16.3949056421243,-71.4994925814683,-1941066.62195723,2842550.82344872, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.18,-16.39495837642101,-71.4996109141503,-1941071.32426106,2842536.7138235, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.17,-16.39511528206715,-71.49955937774038,-1941090.40929872,2842540.50719156, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.16,-16.39519784439129,-71.49951260184287,-1941100.69976588,2842544.73262631, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.15,-16.39543540108123,-71.49945672929759,-1941129.31513034,2842547.96324179, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.14,-16.39543383689061,-71.49976801640007,-1941125.20276329,2842512.68057894, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.13,-16.39553903043433,-71.49974588907811,-1941137.84104938,2842513.81470581, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.12,-16.39552090424133,-71.49945366439324,-1941139.39946547,2842547.19291983, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.11,-16.39606948378114,-71.49940038664987,-1941204.52374899,2842546.06258677, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.10,-16.39598978485686,-71.49939378714481,-1941195.24332344,2842547.85309805, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.9,-16.39590575883109,-71.49943454368733,-1941184.85683308,2842544.32953628, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.10.13A.8,-16.39583516322232,-71.49943541361924,-1941176.55167178,2842545.15390362, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
