type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.13.1-1; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44625849;-71.50088136;8180050.204;232957.0458;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44648601;-71.50084248;8180025.066;232961.511;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44647744;-71.500753;8180026.134;232971.0597;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44645606;-71.50072221;8180028.541;232974.32;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44637795;-71.50075668;8180037.143;232970.5302;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44623478;-71.50077658;8180052.967;232968.2078;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44622178;-71.50071238;8180054.491;232975.0492;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44619641;-71.50071718;8180057.293;232974.5019;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44617498;-71.50067426;8180059.723;232979.0578;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44616942;-71.50064225;8180060.381;232982.4699;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44614714;-71.50064335;8180062.846;232982.322;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.4461497;-71.50062161;8180062.591;232984.648;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44613546;-71.50059942;8180064.197;232986.9993;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44590972;-71.50070027;8180089.054;232975.9159;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44592128;-71.50074824;8180087.711;232970.8068;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44586537;-71.50080396;8180093.827;232964.7769;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44593854;-71.50088017;8180085.626;232956.7358;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44577027;-71.50114421;8180103.906;232928.2961;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44580214;-71.50117553;8180100.337;232924.9932;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-1;-16.44610892;-71.50097217;8180066.643;232947.1395;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44549478;-71.50133417;8180134.155;232907.6241;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44536937;-71.50136085;8180148.003;232904.6012;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44538493;-71.50148568;8180146.116;232891.2861;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44555004;-71.5014624;8180127.868;232893.9993;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44554902;-71.50142807;8180128.026;232897.6663;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44557378;-71.50142145;8180125.293;232898.4069;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44557757;-71.50139643;8180124.906;232901.0852;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44566207;-71.50138794;8180115.563;232902.1077;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44567341;-71.50150637;8180114.151;232889.4707;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.4457033;-71.50150167;8180110.849;232890.0135;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44569627;-71.50146472;8180111.676;232893.9519;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44574062;-71.50145609;8180106.777;232894.935;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44573333;-71.50150016;8180107.526;232890.2166;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44580989;-71.50157127;8180098.956;232882.7236;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44603193;-71.50126912;8180074.773;232915.3085;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.4459785;-71.50120191;8180080.777;232922.4164;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44594652;-71.50117235;8180084.357;232925.5311;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44591737;-71.50116379;8180087.595;232926.4058;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.1-2;-16.44586308;-71.50116882;8180093.599;232925.7936;False; ; ;0; ; ; ; ; ; 
