type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.13.55.448,-16.42292190700367,-71.49496390870959,-1944415.39967286,2842697.75132289, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.447,-16.42286794357309,-71.49507895797274,-1944407.60519967,2842685.4124291, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.446,-16.42283177070719,-71.49515703929893,-1944402.36825119,2842677.032394, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.445,-16.42292846999521,-71.49516340007904,-1944413.64876198,2842675.04451487, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.444,-16.42301960064843,-71.49521187203092,-1944423.7426576,2842668.3544826, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.443,-16.42307412273382,-71.49527618661918,-1944429.33523269,2842660.34753834, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.442,-16.42313377710369,-71.49530039104104,-1944436.03785485,2842656.8215569, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.441,-16.42320485360333,-71.49538027406445,-1944443.37853648,2842646.83244272, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.440,-16.42326756252957,-71.49531947756842,-1944451.51460974,2842652.90488943, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.439,-16.4233313268245,-71.49527746275197,-1944459.53724109,2842656.83381078, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.438,-16.42341503251266,-71.495210512386,-1944470.21797288,2842663.32901214, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.437,-16.42331200800851,-71.49511778635636,-1944459.28619292,2842675.19292225, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.436,-16.42321801306688,-71.49501294630383,-1944449.56841133,2842688.31220539, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.435,-16.42316723027744,-71.49493380230985,-1944444.60264352,2842697.95173289, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.434,-16.42309367782373,-71.49487873232762,-1944436.65737698,2842705.15971114, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.433,-16.42298265468272,-71.49481700230072,-1944424.39397257,2842713.61371574, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.432,-16.42331847458842,-71.49438985298581,-1944469.24885013,2842757.65039561, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.431,-16.42324713218141,-71.4944447999613,-1944460.17232304,2842752.35434646, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.430,-16.42319476537671,-71.49449976434477,-1944453.32497921,2842746.80775028, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.429,-16.42311416529169,-71.49455769955542,-1944443.12302438,2842741.29411054, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.428,-16.42323043382413,-71.49461124001034,-1944456.10623357,2842733.69999626, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.427,-16.42328943471015,-71.49466886501325,-1944462.30956797,2842726.39288494, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.426,-16.42331311220119,-71.49475177250399,-1944464.04321246,2842716.68163996, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.425,-16.42335772039152,-71.49482709524975,-1944468.3318404,2842707.55628152, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.424,-16.42341382477655,-71.49488136200831,-1944474.23732388,2842700.66792817, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.423,-16.42349674696926,-71.49493801112526,-1944483.26343502,2842693.15814856, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.422,-16.42355191381678,-71.4950196078793,-1944488.7132443,2842683.18307726, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.421,-16.4236208329968,-71.49492473130469,-1944498.00984457,2842693.03855287, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.420,-16.42368083388608,-71.49485160202723,-1944505.98372925,2842700.54487152, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.419,-16.4237537877265,-71.49479497227726,-1944515.27082966,2842706.01059131, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.418,-16.42381998653594,-71.49468890080041,-1944524.38939314,2842717.17109394, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.417,-16.42373539266558,-71.49461785009288,-1944515.34897174,2842726.33583178, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.416,-16.42366824695372,-71.49454505856141,-1944508.38049319,2842735.46940986, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.415,-16.42357577570919,-71.49446102889635,-1944498.5786606,2842746.20906774, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.414,-16.42349682177387,-71.49438879138268,-1944490.21585005,2842755.43452221, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.413,-16.4234507586471,-71.49428444269356,-1944486.12327714,2842767.87030196, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.412,-16.42380484687918,-71.49398229074984,-1944531.54445367,2842797.49362376, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.411,-16.42372811286951,-71.49404952372184,-1944521.67909595,2842790.87511632, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.410,-16.42364976652149,-71.49412966865211,-1944511.46106895,2842782.81359987, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.409,-16.4237504727385,-71.4941969452743,-1944522.44221633,2842773.86569363, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.408,-16.42383113071277,-71.49425775133929,-1944531.14974534,2842765.91413444, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.407,-16.42390973687349,-71.49434427959615,-1944539.29099547,2842755.0727595, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.406,-16.42397484050363,-71.49445224808005,-1944545.57479015,2842741.97712156, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.405,-16.4240231142521,-71.49454800573244,-1944550.03566806,2842730.48657825, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.404,-16.42413622452956,-71.49444568938267,-1944564.61830786,2842740.60671103, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.403,-16.4242165554925,-71.49435536082262,-1944575.19824312,2842749.79691601, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.402,-16.42431482844828,-71.4943139271963,-1944587.26794871,2842753.2077697, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.401,-16.42436394768039,-71.49425934427235,-1944593.72896567,2842758.7535645, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.400,-16.42427714572578,-71.4941848743903,-1944584.47238329,2842768.3349891, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.399,-16.42420685713373,-71.49410964699382,-1944577.16548867,2842777.78598802, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.398,-16.42410317424191,-71.49402959593078,-1944565.9961593,2842788.22143576, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.397,-16.42402136314893,-71.4939607412806,-1944557.25492803,2842797.10077697, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.396,-16.42393161164338,-71.4938781343696,-1944547.75466736,2842807.64355027, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.395,-16.42393518393611,-71.49343518041739,-1944553.77495709,2842857.82451278, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.394,-16.42388375588947,-71.49334500657423,-1944548.8729198,2842868.72332608, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.393,-16.42383153834403,-71.49327323083209,-1944543.64550042,2842877.54627538, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.392,-16.42371782394206,-71.49335115900088,-1944529.3000829,2842870.1994805, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.391,-16.42364114412811,-71.49341421657348,-1944519.49382511,2842864.05372404, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.390,-16.42354231345724,-71.49349579628151,-1944506.85092606,2842856.09785713, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.389,-16.42348173160567,-71.49355958098427,-1944498.92681322,2842849.65874289, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.388,-16.4234043288633,-71.49362498130066,-1944489.00602681,2842843.25677742, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
