type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.18.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43914087;-71.59105372;-1945108.406;2831593.446;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43860727;-71.59059245;-1945051.556;2831652.675;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43849898;-71.59075223;-1945036.829;2831635.981;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-1;-16.43905428;-71.59124279;-1945095.86;2831573.15;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-2;-16.4391904;-71.59080606;-1945117.339;2831620.865;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43874675;-71.59037226;-1945070.704;2831675.808;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43861494;-71.59056353;-1945052.82;2831655.852;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-2;-16.43912863;-71.59101704;-1945107.431;2831597.763;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43920625;-71.59076778;-1945119.682;2831624.996;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43925784;-71.59058439;-1945128.048;2831645.105;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43928856;-71.59048984;-1945132.844;2831655.419;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43890663;-71.59013209;-1945092.5;2831700.939;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-3;-16.43877576;-71.59035656;-1945074.308;2831677.209;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43808578;-71.58978769;-1945000.448;2831750.671;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.4387639;-71.59032145;-1945073.357;2831681.343;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43888878;-71.59012557;-1945090.485;2831701.911;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43852166;-71.58979864;-1945051.493;2831743.746;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.4383767;-71.58972195;-1945035.435;2831754.326;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43815608;-71.58955724;-1945011.602;2831775.869;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43797503;-71.58944379;-1944991.771;2831791.086;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-4;-16.43784794;-71.58959188;-1944974.985;2831775.961;False; ; ;0; ; ; ; ; ; 
TRACK;1.18.1-5; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
