type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.18.1.1,-16.43905675038356,-71.59110469156936,-1945097.88779632,2831588.76712925, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.2,-16.43898276696046,-71.5910482232072,-1945089.91117495,2831596.13076242, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.3,-16.43889925430017,-71.59097100710505,-1945081.07670009,2831605.96977242, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.4,-16.4388267715876,-71.59090364842001,-1945073.41332547,2831614.54793213, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.5,-16.43874325871515,-71.5908592900026,-1945064.16534465,2831620.66354434, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.6,-16.43865974572134,-71.59080178854109,-1945055.08273263,2831628.2685237, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.7,-16.43859829277016,-71.59075085878183,-1945048.50773662,2831634.84115959, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.8,-16.43856034879618,-71.59070905623254,-1945044.57833764,2831640.07296873, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.9,-16.43867714513441,-71.59054979934908,-1945060.29676603,2831656.59697354, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.10,-16.43873380598216,-71.59057835677955,-1945066.59059489,2831652.6220318, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.11,-16.43881889470561,-71.59062435795363,-1945076.00294882,2831646.29968979, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.12,-16.43888206907273,-71.5906884307976,-1945082.61467524,2831638.21522832, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.13,-16.43898449036923,-71.59078536149377,-1945093.42133843,2831625.89558404, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.14,-16.43904909467508,-71.59083136268848,-1945100.42837358,2831619.840357, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.15,-16.43910109317852,-71.59088229248742,-1945105.89319798,2831613.39099992, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.16,-16.43920981981753,-71.59062436070997,-1945121.90582386,2831641.20188081, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.17,-16.43912157970426,-71.59055864483293,-1945112.37153959,2831649.79938547, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.18,-16.43905224824947,-71.59049785771941,-1945104.99550483,2831657.59180767, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.19,-16.43897503834749,-71.59040749881687,-1945097.06650414,2831668.83803, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.20,-16.43890097971059,-71.5903417831758,-1945089.19741037,2831677.25060504, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.21,-16.43884582975058,-71.59026128171148,-1945083.73466486,2831687.09214862, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.22,-16.43874813462706,-71.59017749314945,-1945073.31756323,2831697.86097121, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.23,-16.43868037861683,-71.59011999199518,-1945066.08514867,2831705.26051705, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.24,-16.43860159259432,-71.59006413376824,-1945057.53689325,2831712.61771856, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.25,-16.43852910951406,-71.59000827565151,-1945049.72873421,2831719.8927232, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.26,-16.43846608079869,-71.58994913187691,-1945043.07206666,2831727.41678182, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.27,-16.43840620352325,-71.58988998815408,-1945036.78544322,2831734.89974566, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.28,-16.43831953887079,-71.58986041613697,-1945026.981259,2831739.38093381, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.29,-16.43824390433742,-71.58978812940629,-1945019.00977462,2831748.55874582, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.30,-16.43817772402063,-71.58974377158039,-1945011.79695795,2831754.44836503, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.31,-16.43810366501061,-71.58969941371727,-1945003.65900672,2831760.44072562, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.32,-16.43803748454199,-71.58964355571541,-1944996.59088475,2831767.6335601, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.33,-16.43796657676248,-71.58957455462409,-1944989.13306247,2831776.37742709, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.34,-16.43754270624886,-71.59013148736075,-1944932.35305936,2831718.79226791, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.35,-16.43763724977013,-71.59012163043978,-1944943.57856305,2831718.67652133, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.36,-16.43772549033482,-71.59011341640382,-1944954.04328892,2831718.45677796, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.37,-16.4378184580482,-71.59010520241772,-1944965.06308409,2831718.17538448, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.38,-16.43790512281976,-71.59011341718308,-1944975.13604246,2831716.1144527, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.39,-16.4379728790205,-71.5900937030052,-1944983.34017137,2831717.46499093, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.40,-16.4380201508176,-71.59007398872906,-1944989.13898817,2831719.08263617, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.41,-16.43807845274048,-71.59004113149597,-1944996.3983716,2831722.04581985, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.42,-16.43835885014152,-71.59009974128134,-1945028.58557946,2831711.74792764, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.43,-16.43823751937242,-71.59011781238537,-1945014.11130997,2831711.28218757, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.44,-16.43819024752815,-71.59016052691096,-1945008.02305729,2831707.05815689, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.45,-16.43810431439639,-71.59023282997357,-1944997.02280199,2831699.98525198, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.46,-16.43800385317565,-71.59028403678543,-1944984.58211268,2831695.49240335, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.47,-16.43791455436558,-71.59031429519627,-1944973.71574317,2831693.22787674, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.48,-16.43782079046778,-71.59031429471412,-1944962.70584015,2831694.45051322, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.49,-16.43773595682935,-71.59029800106708,-1944952.94956508,2831697.40305366, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.50,-16.43765112299305,-71.59032127664135,-1944942.69535026,2831695.87158401, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.1.51,-16.43756182440409,-71.59030265540308,-1944932.44407818,2831699.14609666, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
