type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.25.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43029798;-71.53594092;-1944764.357;2837955.386;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43042233;-71.53576837;-1944781.14;2837973.321;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43046329;-71.53574761;-1944786.214;2837975.139;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43056377;-71.53572283;-1944798.329;2837976.633;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43076456;-71.53567082;-1944822.569;2837979.905;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43077676;-71.53548408;-1944826.358;2838000.914;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43016341;-71.53536318;-1944755.84;2838022.638;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43002558;-71.5361325;-1944729.944;2837937.229;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-1;-16.43022641;-71.53614192;-1944753.414;2837933.536;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43088942;-71.53691979;-1944821.476;2837836.688;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43066948;-71.53680635;-1944797.074;2837852.423;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43052809;-71.53671559;-1944781.611;2837864.56;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43046346;-71.53664927;-1944774.857;2837872.924;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43041119;-71.5365851;-1944769.527;2837880.882;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43036893;-71.53650924;-1944765.52;2837890.033;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43033455;-71.53641248;-1944762.702;2837901.451;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43029773;-71.536273;-1944760.137;2837917.745;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.4302923;-71.53623577;-1944759.97;2837922.036;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43025494;-71.53621859;-1944755.798;2837924.472;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43022682;-71.53619002;-1944752.856;2837928.078;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.4302221;-71.53616951;-1944752.56;2837930.465;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43002613;-71.5361717;-1944729.514;2837932.779;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43001776;-71.53621635;-1944727.967;2837927.826;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43002746;-71.53629784;-1944728.079;2837918.462;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43003604;-71.5363674;-1944728.209;2837910.465;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43004906;-71.53642123;-1944729.059;2837904.192;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43006323;-71.53648556;-1944729.911;2837896.714;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43008041;-71.53653918;-1944731.253;2837890.411;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.430113;-71.53664957;-1944733.688;2837877.471;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43013623;-71.53670568;-1944735.709;2837870.807;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43016421;-71.5367715;-1944738.165;2837862.98;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43020825;-71.53685951;-1944742.227;2837852.427;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43026048;-71.53694066;-1944747.338;2837842.546;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43032869;-71.53701476;-1944754.415;2837833.254;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.4303872;-71.53706799;-1944760.616;2837826.455;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43049198;-71.53714036;-1944772.01;2837816.881;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43059261;-71.5372034;-1944783.035;2837808.418;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-2;-16.43076493;-71.53726176;-1944802.539;2837799.551;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43097636;-71.53641794;-1944838.02;2837892.442;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43054859;-71.53626158;-1944789.747;2837915.76;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43034471;-71.53624294;-1944766.035;2837920.537;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43036236;-71.53637284;-1944766.469;2837905.581;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43038382;-71.53643809;-1944768.167;2837897.904;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43043305;-71.53651438;-1944772.986;2837888.613;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43050098;-71.53660081;-1944779.875;2837877.927;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.4305422;-71.53664981;-1944784.098;2837871.833;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43063473;-71.53672718;-1944793.99;2837861.853;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.1-3;-16.43074966;-71.53680062;-1944806.563;2837852.025;False; ; ;0; ; ; ; ; ; 
