type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.25.30.1,-16.47375610278892,-71.52474424830471,-1950010.38966466,2838655.45532909, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.2,-16.47377017036214,-71.52482737816298,-1950010.9900725,2838645.84926232, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.3,-16.4738194070524,-71.52496674293106,-1950015.00980467,2838629.40855576, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.4,-16.47384988679331,-71.52506209772228,-1950017.38328101,2838618.20174787, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.5,-16.47388974505847,-71.52513544763869,-1950021.13680708,2838609.36588145, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.6,-16.47391788009411,-71.52522591244934,-1950023.2967589,2838598.74404804, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.7,-16.47396008284247,-71.52531148738801,-1950027.17096854,2838588.49192445, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.8,-16.47380299302051,-71.52533593640216,-1950008.40998794,2838587.78115664, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.9,-16.47382409366478,-71.52549241599385,-1950008.90835436,2838569.76979398, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.10,-16.47390146648568,-71.52545085160121,-1950018.52242981,2838573.46579643, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.11,-16.4739647714499,-71.52542395707617,-1950026.29848179,2838575.68367449, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.12,-16.47410779307525,-71.52548019289826,-1950042.38601686,2838567.43451946, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.13,-16.47410544735357,-71.52565623272334,-1950039.88287033,2838547.51383697, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.14,-16.47400228358339,-71.52570268690236,-1950027.17756356,2838543.60189583, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.15,-16.47386395056665,-71.52572713584745,-1950010.61978094,2838542.64512048, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.16,-16.47375609753292,-71.52575892006573,-1949997.5493196,2838540.45726408, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.17,-16.47370686191762,-71.52556821004983,-1949994.17936567,2838562.71708098, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.18,-16.47369748399438,-71.52548752523649,-1949994.09881831,2838571.98449264, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
