type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.24.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44703538;-71.60106087;-1945909.438;2830356.574;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44722004;-71.60134755;-1945927.512;2830321.683;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44761439;-71.60123735;-1945975.201;2830329.028;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44777438;-71.60085788;-1945998.761;2830369.938;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44797513;-71.60054172;-1946026.31;2830403.144;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44775696;-71.60046168;-1946001.7;2830415.058;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44791401;-71.59998247;-1946026.17;2830467.307;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44726798;-71.59952388;-1945956.088;2830527.693;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44740251;-71.5991731;-1945976.298;2830565.685;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44764999;-71.59843866;-1946014.597;2830645.675;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44771782;-71.59821829;-1946025.334;2830669.761;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44773851;-71.59807905;-1946029.516;2830685.267;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44761987;-71.59806502;-1946015.762;2830688.404;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44753096;-71.59838953;-1946001.239;2830652.795;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44749228;-71.59857067;-1945994.418;2830632.774;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44732722;-71.59910019;-1945968.374;2830574.928;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44718887;-71.5994935;-1945947.182;2830532.167;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44701702;-71.59975422;-1945923.722;2830504.866;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44687723;-71.59998194;-1945904.444;2830480.887;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44666207;-71.60026244;-1945875.653;2830451.908;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.4466581;-71.60041183;-1945873.307;2830435.034;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.4467151;-71.60066273;-1945876.843;2830405.862;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.24.1-2;-16.4467506;-71.60011466;-1945887.906;2830467.5;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44694732;-71.59976798;-1945915.366;2830504.215;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44709792;-71.59954088;-1945935.906;2830527.985;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.4472594;-71.59915295;-1945959.747;2830569.834;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44739818;-71.59877665;-1945980.778;2830610.662;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44758792;-71.59800006;-1946012.828;2830696.182;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44648622;-71.59801116;-1945883.333;2830709.291;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44639761;-71.59819158;-1945870.658;2830690.003;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44624372;-71.59831825;-1945850.996;2830677.656;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44594852;-71.5985087;-1945813.938;2830659.926;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44617972;-71.59882245;-1945837.136;2830621.36;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44626065;-71.59895573;-1945844.961;2830605.203;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44634539;-71.59907724;-1945853.382;2830590.33;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44649582;-71.59931647;-1945868.034;2830561.263;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44665227;-71.60022211;-1945875.009;2830456.606;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4463841;-71.59811191;-1945870.074;2830699.207;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4464238;-71.59795829;-1945876.669;2830716.095;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44642847;-71.59766943;-1945880.852;2830748.764;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44641846;-71.59740949;-1945882.947;2830778.349;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4464676;-71.5971231;-1945892.321;2830810.159;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44654553;-71.59680054;-1945905.531;2830845.691;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44664106;-71.59647227;-1945920.88;2830881.642;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44667515;-71.59623473;-1945927.872;2830908.114;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44671974;-71.59594699;-1945936.728;2830940.136;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44642213;-71.59594038;-1945901.867;2830944.766;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44641598;-71.59605155;-1945899.746;2830932.25;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44624977;-71.59603939;-1945880.383;2830935.794;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44623259;-71.59615846;-1945876.867;2830922.527;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44620181;-71.59638904;-1945870.352;2830896.801;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44621393;-71.59648129;-1945870.614;2830886.191;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44624192;-71.59674479;-1945870.584;2830855.968;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4462764;-71.59689016;-1945872.803;2830839.046;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44616937;-71.5970101;-1945858.727;2830826.852;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44611044;-71.59714184;-1945850.15;2830812.693;False; ; ;0; ; ; ; ; ; 
