type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.24.1-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.24.1-1,-16.44703538074693,-71.60106087019146,-1945909.43814745,2830356.57354417,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44722003603143,-71.60134755368107,-1945927.51207558,2830321.68290328,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.447614389968,-71.60123735101672,-1945975.20085478,2830329.02799365,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44777438341622,-71.60085788161364,-1945998.76075128,2830369.93821959,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4479751326402,-71.60054171993023,-1946026.30950552,2830403.14384174,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4477569567679,-71.60046168038385,-1946001.69987796,2830415.05761611,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4479140113765,-71.5999824726203,-1946026.17006395,2830467.30723396,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44726798413077,-71.59952388238133,-1945956.08803526,2830527.69251924,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44740251315015,-71.59917309987658,-1945976.2976346,2830565.6846931,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44764999335442,-71.59843866256658,-1946014.59739149,2830645.67509946,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44771781900718,-71.59821829088233,-1946025.33433229,2830669.76051384,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44773851300185,-71.59807905400045,-1946029.51632604,2830685.2673241,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44761986910042,-71.59806502192156,-1946015.76234586,2830688.40445659,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44753095750316,-71.59838952639719,-1946001.23916514,2830652.7948794,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44749227812374,-71.59857066764489,-1945994.41815509,2830632.77449603,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44732721591036,-71.59910019180826,-1945968.37409773,2830574.92758444,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44718887478817,-71.59949349775518,-1945947.18181885,2830532.16684792,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44701701500431,-71.59975422281416,-1945923.7223932,2830504.86557675,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.4468772267652,-71.59998193508007,-1945904.44409552,2830480.8866952,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44666207327078,-71.60026244326609,-1945875.65267448,2830451.9082354,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44665810208326,-71.60041182882351,-1945873.3068175,2830435.03350341,False, , ,0, , , , , , 
TRACK,1.24.1-1,-16.44671510338591,-71.60066272595533,-1945876.84275393,2830405.86182418,False, , ,0, , , , , , 
TRACK,1.24.1-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.24.1-2,-16.44675059711452,-71.60011465541955,-1945887.90608871,2830467.49952439,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44694731525772,-71.5997679832055,-1945915.36552891,2830504.21521837,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44709791711642,-71.59954087575125,-1945935.90595094,2830527.98456063,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.447259395396,-71.59915295297527,-1945959.74708498,2830569.83367536,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44739818393826,-71.59877665005219,-1945980.77808022,2830610.66202166,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44758791502302,-71.598000055627,-1946012.82801998,2830696.18237504,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44648622273295,-71.59801115660156,-1945883.33303866,2830709.29074112,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44639760804741,-71.5981915800695,-1945870.65796398,2830690.00261713,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44624372356188,-71.59831824934854,-1945850.99568506,2830677.65639467,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44594852038324,-71.59850870229175,-1945813.93792414,2830659.92551527,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44617972096688,-71.5988224545174,-1945837.13637543,2830621.35995017,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44626064785229,-71.59895573144671,-1945844.96137037,2830605.20330999,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.4463453876804,-71.59907724123001,-1945853.38212109,2830590.33029451,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44649581646461,-71.59931646730853,-1945868.03449784,2830561.26255473,False, , ,0, , , , , , 
TRACK,1.24.1-2,-16.44665226774302,-71.60022210894644,-1945875.00886512,2830456.60626628,False, , ,0, , , , , , 
TRACK,1.24.1-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.24.1-3,-16.44638409908196,-71.5981119063283,-1945870.07438234,2830699.20652964,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44642379868139,-71.59795829030472,-1945876.66875886,2830716.09496907,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44642846997746,-71.59766943436858,-1945880.85213658,2830748.76412462,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44641845574324,-71.59740949177261,-1945882.9474185,2830778.34867391,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44646759577288,-71.5971230957737,-1945892.32128421,2830810.1593078,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44654552863417,-71.59680054365524,-1945905.53097312,2830845.69133999,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44664106370219,-71.59647227074242,-1945920.87954788,2830881.64207023,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44667515189011,-71.59623472522489,-1945927.87155768,2830908.11382414,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44671973929424,-71.59594698577521,-1945936.72810425,2830940.136165,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44642212783957,-71.59594037969504,-1945901.86674315,2830944.76594497,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44641598125626,-71.59605154615903,-1945899.7459952,2830932.24977805,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44624977310125,-71.59603939315565,-1945880.38336295,2830935.7943703,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44623258797288,-71.59615845609078,-1945876.86715347,2830922.52739426,False, , ,0, , , , , , 
TRACK,1.24.1-3,-16.44620181424242,-71.59638903973233,-1945870.35198001,2830896.80117118,False, , ,0, , , , , , 
