type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.24.10.1,-16.43491513527064,-71.59833724126835,-1944520.6004772,2830823.17273627, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.2,-16.43477023918219,-71.59838976642514,-1944502.92670368,2830819.10880605, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.3,-16.43467262535981,-71.59841377637571,-1944491.16326385,2830817.66001703, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.4,-16.43428492704589,-71.59838114787917,-1944446.0512804,2830826.40926149, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.5,-16.43392354085892,-71.59876521317025,-1944398.78883575,2830787.59659946, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.6,-16.43381163939515,-71.59811913883767,-1944393.7741075,2830862.26667997, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.7,-16.43344901672682,-71.59796101961355,-1944353.18434597,2830884.90951707, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.8,-16.43347906575311,-71.59809156986839,-1944355.07094395,2830869.72418041, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.9,-16.43350958905682,-71.59824879653496,-1944356.67778324,2830851.50974493, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.10,-16.4335434301119,-71.59838757166978,-1944358.90621895,2830835.34300291, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.11,-16.43357225382975,-71.59849849002306,-1944360.89583457,2830822.39834, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.12,-16.43359545944779,-71.59859420102669,-1944362.4170234,2830811.25016231, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.13,-16.43361774680427,-71.59869114095918,-1944363.81494311,2830799.97469775, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.14,-16.43363414382335,-71.59876421330135,-1944364.82136855,2830791.48062269, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.15,-16.43365851169301,-71.59885829932665,-1944366.49946851,2830780.50146521, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.16,-16.43368152834479,-71.59896020803704,-1944367.9205498,2830768.6534703, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.17,-16.43355800755744,-71.59900276089039,-1944352.88208391,2830765.44085037, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.18,-16.43349315322066,-71.59891133352123,-1944346.41675423,2830776.64623648, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.19,-16.43341772785629,-71.59881340019859,-1944338.79201559,2830788.72661023, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.20,-16.4333495642971,-71.59871644263393,-1944332.00766133,2830800.60180928, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.21,-16.43342487799698,-71.59871185363797,-1944340.90845776,2830800.14054114, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.22,-16.43350178798756,-71.59869582195367,-1944350.14057211,2830800.95513623, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.23,-16.43343049269008,-71.59850331325387,-1944344.19002983,2830823.69886414, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.24,-16.43329565166401,-71.59855135900685,-1944327.75325663,2830820.01129035, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
