type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.23.1-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42626695;-71.63322833;-1943067.006;2826982.228;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42606367;-71.63354002;-1943039.232;2826949.556;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42614306;-71.63381254;-1943045.133;2826917.647;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42607772;-71.63390447;-1943036.309;2826908.08;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42615387;-71.63414119;-1943042.279;2826880.27;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42623671;-71.63424383;-1943050.717;2826867.564;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.4263589;-71.63426041;-1943064.854;2826864.097;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42644887;-71.63419948;-1943076.179;2826869.831;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42639923;-71.63414486;-1943071.037;2826876.665;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42664507;-71.63376759;-1943104.63;2826916.214;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42676369;-71.63384725;-1943117.557;2826905.647;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42689993;-71.6335402;-1943137.402;2826938.666;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.4265189;-71.63308098;-1943098.433;2826995.648;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42643329;-71.63449829;-1943070.602;2826836.178;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42655086;-71.63442348;-1943085.342;2826843.126;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42649073;-71.63423252;-1943080.679;2826865.544;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42633489;-71.63430348;-1943061.494;2826859.529;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42622235;-71.63432045;-1943048.07;2826859.069;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42625324;-71.63448624;-1943049.617;2826839.883;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42665782;-71.63462394;-1943095.385;2826819.024;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.4265966;-71.63444068;-1943090.497;2826840.583;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42645047;-71.63452218;-1943072.32;2826833.248;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42643098;-71.63451997;-1943070.059;2826833.751;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42634998;-71.63451513;-1943060.611;2826835.353;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42624878;-71.63451;-1943048.794;2826837.25;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.4262824;-71.63476834;-1943049.5;2826807.543;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42652757;-71.63475499;-1943078.45;2826805.868;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-4;-16.42602362;-71.63473072;-1943019.594;2826815.168;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4;-16.42606185;-71.63474817;-1943023.862;2826812.694;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4;-16.42608188;-71.63485182;-1943024.914;2826800.69;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4;-16.4262776;-71.63482897;-1943048.177;2826800.736;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4;-16.42627309;-71.63477055;-1943048.38;2826807.413;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4;-16.42623659;-71.63454714;-1943046.897;2826833.2;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-4;-16.42620981;-71.63432602;-1943046.528;2826858.601;False; ; ;0; ; ; ; ; ; 
