type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.23.23.1,-16.42621177704807,-71.67428590023604,-1942546.06547005,2822331.58706124, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.2,-16.42645186448563,-71.67426859972279,-1942574.46058484,2822330.43335971, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.3,-16.42641719649074,-71.67416922763879,-1942571.63538974,2822342.13935773, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.4,-16.42638725043179,-71.67407519590412,-1942569.29756279,2822353.17920032, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.5,-16.42615536772329,-71.67410236937343,-1942541.74182051,2822353.10815678, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.6,-16.42612862870352,-71.67401756683091,-1942539.66487373,2822363.06098384, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.7,-16.42610430861467,-71.67395561212433,-1942537.58587665,2822370.39433989, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.8,-16.426030789466,-71.67410969109058,-1942527.02866239,2822353.89429338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.9,-16.42583815728914,-71.67341218565717,-1942513.14955421,2822435.40308556, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.10,-16.42583261645874,-71.67333233348991,-1942513.49866358,2822444.52031331, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.11,-16.42585266433785,-71.67324752552692,-1942516.91311956,2822453.86707972, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.12,-16.42559299801411,-71.67320979919262,-1942486.90857671,2822461.5079998, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.13,-16.42535957903685,-71.67323681277111,-1942459.17436165,2822461.47497017, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.14,-16.42510795051046,-71.67317177975561,-1942430.45493333,2822472.10480104, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
