type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.28.4-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.28.4-1;-16.5580602;-71.47196743;-1960583.937;2843526.182;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.55863193;-71.47222508;-1960647.819;2843489.432;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.55938686;-71.47233297;-1960735.134;2843467.227;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.55968646;-71.47217853;-1960772.299;2843480.766;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.56050081;-71.4716598;-1960874.583;2843528.776;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.56116306;-71.47069888;-1960964.638;2843628.896;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.56093342;-71.4688563;-1960961.156;2843840.707;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.56044205;-71.46892744;-1960902.521;2843839.144;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-1;-16.55884251;-71.47066564;-1960692.441;2843663.341;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55782617;-71.46782685;-1960609.234;2843998.435;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55849199;-71.46744604;-1960692.314;2844032.781;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55882945;-71.4673494;-1960733.192;2844039.27;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55922251;-71.46680206;-1960786.35;2844096.091;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55929341;-71.46649205;-1960798.634;2844130.28;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55947395;-71.46625828;-1960822.825;2844154.381;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55900812;-71.4661293;-1960769.743;2844175.156;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55836154;-71.4656635;-1960699.721;2844236.485;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55802462;-71.46568985;-1960659.8;2844237.955;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55686449;-71.46575991;-1960522.61;2844245.355;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55640808;-71.46600929;-1960465.808;2844223.133;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55595173;-71.4664029;-1960407.175;2844184.566;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55569915;-71.4671382;-1960368.125;2844104.587;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55657613;-71.46779712;-1960462.754;2844018.33;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55709645;-71.46785039;-1960523.205;2844005.416;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55768436;-71.46815087;-1960588.442;2843963.596;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-2;-16.55785712;-71.46816757;-1960608.526;2843959.419;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55768501;-71.46816612;-1960588.324;2843961.859;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55742422;-71.46805668;-1960559.081;2843977.707;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55709753;-71.46787372;-1960523.034;2844002.758;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55658377;-71.46782118;-1960463.346;2844015.504;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.5556634;-71.46714354;-1960363.857;2844104.454;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55467357;-71.46721731;-1960246.627;2844109.181;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55475429;-71.46761947;-1960250.982;2844062.544;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.5546687;-71.46808767;-1960234.958;2844010.623;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.5542737;-71.4688129;-1960179.306;2843933.668;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55414221;-71.46892138;-1960162.476;2843923.114;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55363397;-71.46940254;-1960096.632;2843875.31;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55352315;-71.46974288;-1960079.274;2843838.211;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55330948;-71.47043001;-1960045.412;2843763.175;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55323054;-71.47069702;-1960032.735;2843733.963;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55322071;-71.47103417;-1960027.283;2843695.89;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55329717;-71.47156695;-1960029.476;2843634.511;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55507858;-71.47168291;-1960237.279;2843597.829;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55538896;-71.47174169;-1960272.994;2843587.066;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55601532;-71.47209266;-1960342.107;2843539.021;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55653445;-71.47245649;-1960398.456;2843490.935;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55698483;-71.47288793;-1960445.868;2843436.097;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55797739;-71.47208651;-1960572.69;2843513.784;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55806229;-71.47191465;-1960584.855;2843532.135;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55815629;-71.47141567;-1960602.26;2843587.43;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55837595;-71.47086302;-1960635.111;2843647.145;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55875717;-71.47031053;-1960686.943;2843704.707;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55883277;-71.4701099;-1960698.383;2843726.44;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55864028;-71.46989401;-1960678.521;2843753.446;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55821263;-71.46945675;-1960633.855;2843808.645;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-3;-16.55787524;-71.46822643;-1960609.904;2843952.51;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.28.4-4;-16.55774922;-71.4737794;-1960524.305;2843324.986;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-4;-16.55839061;-71.4730861;-1960608.493;2843395.063;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-4;-16.55881324;-71.47232729;-1960667.817;2843475.454;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-4;-16.5580249;-71.4720645;-1960578.553;2843515.65;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-4;-16.55695281;-71.47296003;-1960441.187;2843428.351;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-5; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.28.4-5;-16.55764688;-71.47397339;-1960509.809;2843304.358;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-5;-16.55769849;-71.47424609;-1960512.396;2843272.777;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-5;-16.55843218;-71.47491124;-1960590.111;2843187.717;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-5;-16.55895191;-71.47433538;-1960658.508;2843246.095;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-5;-16.55802382;-71.47353979;-1960559.618;2843348.506;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-6; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;1.28.4-6;-16.55656227;-71.47352423;-1960388.114;2843369.585;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-6;-16.55617856;-71.47429902;-1960333.161;2843286.867;False; ; ;0; ; ; ; ; ; 
TRACK;1.28.4-6;-16.55578483;-71.47508509;-1960276.888;2843203.004;False; ; ;0; ; ; ; ; ; 
