UNICODE;P;D;L;V;LATITUDE;LONGITUDE
1.28.1.1;1;28;1;1;-16.56538119;-71.43042119
1.28.1.2;1;28;1;2;-16.56358913;-71.43019039
1.28.1.3;1;28;1;3;-16.56529894;-71.43254656
1.28.1.4;1;28;1;4;-16.56702092;-71.43757331
1.28.1.5;1;28;1;5;-16.56711898;-71.43774159
1.28.1.6;1;28;1;6;-16.56735278;-71.43794537
1.28.1.7;1;28;1;7;-16.56754368;-71.43818544
1.28.1.8;1;28;1;8;-16.56736324;-71.43832308
1.28.1.9;1;28;1;9;-16.56803227;-71.43849363
1.28.1.10;1;28;1;10;-16.56776003;-71.43864301
1.28.1.11;1;28;1;11;-16.56702109;-71.43863271
1.28.1.12;1;28;1;12;-16.56699167;-71.43888217
1.28.1.13;1;28;1;13;-16.56701316;-71.43911148
1.28.1.14;1;28;1;14;-16.56701111;-71.43977692
1.28.1.15;1;28;1;15;-16.56734722;-71.43896763
1.28.1.16;1;28;1;16;-16.56758075;-71.43882688
1.28.1.17;1;28;1;17;-16.5671672;-71.439403
1.28.1.18;1;28;1;18;-16.56731707;-71.43935874
1.28.1.19;1;28;1;19;-16.56734336;-71.43943549
1.28.1.20;1;28;1;20;-16.56736572;-71.43957916
1.28.1.21;1;28;1;21;-16.56764603;-71.43925
1.28.1.22;1;28;1;22;-16.56810566;-71.4394
1.28.1.23;1;28;1;23;-16.56834477;-71.43924431
1.28.1.24;1;28;1;24;-16.56743333;-71.43922507
1.28.1.25;1;28;1;25;-16.56761652;-71.43904722
1.28.1.26;1;28;1;26;-16.56776383;-71.43899131
1.28.1.27;1;28;1;27;-16.56798056;-71.43902741
1.28.1.28;1;28;1;28;-16.56807878;-71.43904365
1.28.1.29;1;28;1;29;-16.56816119;-71.43908242
1.28.1.30;1;28;1;30;-16.56827339;-71.43911747
1.28.1.31;1;28;1;31;-16.56861054;-71.43899785
1.28.1.32;1;28;1;32;-16.56816492;-71.43888271
1.28.1.33;1;28;1;33;-16.56843896;-71.4388516
1.28.1.34;1;28;1;34;-16.56864533;-71.43871184
1.28.1.35;1;28;1;35;-16.56872806;-71.43873459
1.28.1.36;1;28;1;36;-16.56877669;-71.43875
1.28.1.37;1;28;1;37;-16.56884663;-71.43876389
1.28.1.38;1;28;1;38;-16.56899763;-71.43883631
1.28.1.39;1;28;1;39;-16.56887999;-71.43894811
1.28.1.40;1;28;1;40;-16.56871391;-71.4390318
1.28.1.41;1;28;1;41;-16.56800222;-71.43887977
1.28.1.42;1;28;1;42;-16.56776252;-71.43889271
1.28.1.43;1;28;1;43;-16.56777531;-71.43881533
1.28.1.44;1;28;1;44;-16.56788579;-71.43871319
1.28.1.45;1;28;1;45;-16.56830833;-71.43865621
1.28.1.46;1;28;1;46;-16.56845833;-71.43865345
1.28.1.47;1;28;1;47;-16.56853954;-71.43867069
1.28.1.48;1;28;1;48;-16.56839723;-71.43878867
1.28.1.49;1;28;1;49;-16.56864683;-71.43849284
1.28.1.50;1;28;1;50;-16.56897069;-71.43867939
1.28.1.51;1;28;1;51;-16.56907644;-71.43876268
1.28.1.52;1;28;1;52;-16.5691406;-71.43892579
1.28.1.53;1;28;1;53;-16.56892856;-71.43908399
1.28.1.54;1;28;1;54;-16.56910319;-71.43939421
1.28.1.55;1;28;1;55;-16.56895539;-71.43926627
1.28.1.56;1;28;1;56;-16.56883822;-71.43921609
1.28.1.57;1;28;1;57;-16.56875516;-71.43917778
1.28.1.58;1;28;1;58;-16.56849682;-71.43915139
