type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.28.1.1,-16.5653811949291,-71.43042119415105,-1961974.48886645,2848137.16328772, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.2,-16.56358912748745,-71.4301903944921,-1961766.85806948,2848187.07223452, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.3,-16.56529894408141,-71.43254656048173,-1961937.65592503,2847897.39268688, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.4,-16.56702091817115,-71.4375733089601,-1962075.7494838,2847304.92261775, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.5,-16.56711897866968,-71.43774158620211,-1962085.1213148,2847284.55380972, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.6,-16.56735277777778,-71.43794537136574,-1962109.98891105,2847258.3625905, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.7,-16.56754368404147,-71.43818544131362,-1962129.35279068,2847228.62797653, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.8,-16.56736323896887,-71.4383230776063,-1962106.39132645,2847215.42195114, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.9,-16.5680322713495,-71.43849363204477,-1962182.824041,2847187.22943386, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.10,-16.56776003496113,-71.43864301414024,-1962148.92691597,2847173.90877251, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.11,-16.56702109404741,-71.438632705266,-1962062.23210152,2847184.86822711, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.12,-16.56699166666667,-71.43888217434632,-1962055.58649544,2847156.9881063, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.13,-16.56701316293849,-71.43911148076164,-1962055.1821725,2847130.71813482, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.14,-16.56701111111111,-71.43977691680081,-1962046.43811128,2847055.33787792, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.15,-16.56734722222222,-71.43896763438664,-1962096.27264284,2847142.59261726, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.16,-16.56758074513592,-71.43882687667748,-1962125.51056201,2847155.44909663, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
