type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.1.1.1,-16.39090887,-71.52830142,8186141.532,229951.0662, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.2,-16.39075193,-71.52797645,8186159.34,229985.5795, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.3,-16.39063456,-71.52805148,8186172.234,229977.3988, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.4,-16.39056853,-71.52799682,8186179.617,229983.1493, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.5,-16.39051579,-71.52790211,8186185.582,229993.1983, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.6,-16.39046142,-71.52782351,8186191.706,230001.5236, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.7,-16.39042642,-71.52774398,8186195.687,230009.9741, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.8,-16.3903879,-71.52770397,8186200.004,230014.1974, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.9,-16.3903433,-71.52764493,8186205.021,230020.4448, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.10,-16.39028117,-71.52757493,8186211.993,230027.8406, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.11,-16.39022848,-71.52750564,8186217.918,230035.1721, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.12,-16.39018352,-71.52745006,8186222.97,230041.0505, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.13,-16.39014095,-71.5274016,8186227.747,230046.1702, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.14,-16.39010415,-71.52733658,8186231.908,230053.0681, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.15,-16.39007224,-71.52727424,8186235.524,230059.6865, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.16,-16.39002965,-71.52718716,8186240.355,230068.9339, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.17,-16.3899604,-71.52709587,8186248.143,230078.5945, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.18,-16.38993219,-71.52705684,8186251.318,230082.7266, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.19,-16.38989752,-71.52701582,8186255.21,230087.0628, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.20,-16.38986342,-71.52696294,8186259.056,230092.6668, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.21,-16.38981387,-71.52692002,8186264.599,230097.1859, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.22,-16.38977728,-71.52686395,8186268.724,230103.128, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.23,-16.3898835,-71.52678065,8186257.076,230112.1759, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.24,-16.38996944,-71.52670784,8186247.658,230120.0756, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.25,-16.39003771,-71.52685595,8186239.903,230104.3416, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.1.1.26,-16.3900943,-71.52700827,8186233.435,230088.1409, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
