"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.3.99.1,-16.32658934546435,-71.54015436569264,8193246.54477546,228595.37250387, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.2,-16.32641255172619,-71.54001710448482,8193266.30060686,228609.802343011, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.3,-16.32646108197265,-71.53988706555087,8193261.10117975,228623.771174148, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.4,-16.32655894076502,-71.53979030244088,8193250.39622441,228634.250739055, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.5,-16.32663382669801,-71.5396815272903,8193242.2506022,228645.98272877, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.6,-16.32669509664209,-71.53956329349954,8193235.62500837,228658.707089885, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.7,-16.32688117917865,-71.5395207272975,8193215.08055319,228663.514488537, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.8,-16.32684487333623,-71.53981867536193,8193218.7028093,228631.612261864, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.9,-16.32676091025535,-71.53994163859852,8193227.83443941,228618.350968058, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.10,-16.32668375488998,-71.54005041371525,8193236.23129614,228606.615842857, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.11,-16.32708995375128,-71.53938593899881,8193192.14678476,228678.212185563, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.12,-16.32690613830764,-71.5392393321051,8193212.69238487,228693.6314543, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.13,-16.32697421608183,-71.53913292116775,8193205.29731668,228705.101256803, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.14,-16.32706725645761,-71.53904542704639,8193195.1134255,228714.58320459, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.15,-16.32723518450332,-71.53899576636319,8193176.58830341,228720.123924115, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.16,-16.32727376508261,-71.53918730436458,8193172.06178341,228699.700868728, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.17,-16.3271943406886,-71.53929608028841,8193180.70987839,228687.962590026, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.18,-16.32696583777908,-71.53843634048332,8193207.15309686,228779.557501007, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.19,-16.32688237918054,-71.53848852181349,8193216.32326512,228773.863912111, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.20,-16.32679613661457,-71.53841315245738,8193225.97158891,228781.802265087, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.21,-16.32672380436839,-71.53836387281362,8193234.04513974,228786.970699744, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.22,-16.32663617112107,-71.5383087957054,8193243.82038452,228792.737805552, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.23,-16.32655827486878,-71.53826096561578,8193252.50799072,228797.743608314, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.24,-16.32650680645034,-71.53816240462739,8193258.33735608,228808.209262066, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.25,-16.32638857129465,-71.53811892349833,8193271.48507839,228812.694499184, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.26,-16.32621887312815,-71.53827546583676,8193290.06379822,228795.725210197, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
