type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.5.1-1, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.5.1-1,-16.4825686,-71.46883485,8176072.518,236429.8815,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48261695,-71.46883589,8176067.164,236429.8364,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.482703,-71.46883378,8176057.641,236430.1785,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4828199,-71.46878474,8176044.763,236435.5748,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48308173,-71.46890682,8176015.617,236422.89,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48331208,-71.46840052,8175990.777,236477.2816,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48356571,-71.46785783,8175963.408,236535.5915,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48362789,-71.46757816,8175956.89,236565.549,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48353901,-71.46744802,8175966.899,236579.3295,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48330716,-71.46731667,8175992.738,236593.0453,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48299722,-71.46711642,8176027.312,236614.0161,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48289696,-71.4672133,8176038.285,236603.5316,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48308805,-71.46740571,8176016.879,236583.2378,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48341353,-71.46771188,8175980.446,236550.9759,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48329918,-71.46791497,8175992.84,236529.1279,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4829186,-71.46862829,8176034.041,236452.4191,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48284242,-71.46859971,8176042.512,236455.3687,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48241538,-71.4683712,8176090.086,236479.1994,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48233785,-71.46781735,8176099.393,236538.2538,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48195003,-71.46780563,8176142.343,236538.9804,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48190479,-71.46796214,8176147.147,236522.2016,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48242213,-71.46853313,8176089.127,236461.9114,False, , ,0, , , , , , 
TRACK,1.5.1-2, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.5.1-2,-16.48048154,-71.47195719,8176299.487,236093.54,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48057016,-71.47201536,8176289.6,236087.4462,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48060348,-71.47212004,8176285.774,236076.3102,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48108837,-71.47234969,8176231.793,236052.4374,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48088464,-71.47164463,8176255.27,236127.4724,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48083453,-71.47145456,8176261.066,236147.7072,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48098929,-71.47128199,8176244.159,236166.3502,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48113385,-71.47137979,8176228.027,236156.0991,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48155575,-71.47125273,8176181.486,236170.2438,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48184157,-71.47099763,8176150.178,236197.88,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48200449,-71.4708232,8176132.37,236216.7322,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48232343,-71.47053778,8176097.434,236247.6517,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48237347,-71.47032161,8176092.177,236270.8099,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48266281,-71.46979955,8176060.828,236326.9658,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48288226,-71.46966055,8176036.715,236342.1104,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48325276,-71.46934974,8175996.104,236375.8113,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48333763,-71.46914399,8175986.978,236397.9034,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.4834168,-71.46880885,8175978.652,236433.8081,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48358519,-71.46851662,8175960.391,236465.2501,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48372237,-71.46817887,8175945.646,236501.5121,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48377807,-71.46786102,8175939.895,236535.5386,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48370038,-71.46764251,8175948.781,236558.7736,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48356336,-71.4680153,8175963.462,236518.7686,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48339615,-71.46839569,8175981.477,236477.9114,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48322441,-71.46881436,8175999.943,236432.9583,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48302589,-71.46912546,8176021.513,236399.4601,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48276762,-71.46939954,8176049.748,236369.8343,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48253375,-71.46965997,8176075.298,236341.6994,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48211706,-71.47036209,8176120.51,236266.1388,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48193909,-71.47059947,8176139.902,236240.5417,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48165756,-71.47076949,8176170.847,236221.9987,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48144596,-71.47082242,8176194.203,236216.0583,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48124192,-71.47085129,8176216.754,236212.6984,False, , ,0, , , , , , 
