type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.5.9.1,-16.46915203,-71.49486796,8177523.644,233630.7843, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.2,-16.4690749,-71.4947994,8177532.273,233638.0029, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.3,-16.4690263,-71.49476681,8177537.697,233641.4171, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.4,-16.46898001,-71.49473664,8177542.861,233644.5767, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.5,-16.46893488,-71.49470647,8177547.896,233647.7378, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.6,-16.46888975,-71.4946763,8177552.932,233650.8989, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.7,-16.4688481,-71.49464131,8177557.59,233654.5804, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.8,-16.46879024,-71.49461959,8177564.024,233656.8218, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.9,-16.46875553,-71.49453391,8177567.98,233665.9267, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.10,-16.46878794,-71.4944048,8177564.563,233679.7634, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.11,-16.46887868,-71.4944455,8177554.462,233675.5389, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.12,-16.46892478,-71.49446629,8177549.332,233673.3811, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.13,-16.46897031,-71.49450007,8177544.247,233669.8347, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.14,-16.46903385,-71.49453256,8177537.169,233666.4516, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.15,-16.46909988,-71.49459362,8177529.779,233660.0185, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.16,-16.46918335,-71.49465469,8177520.457,233653.6093, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.17,-16.4691824,-71.49449666,8177520.771,233670.4891, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.18,-16.46911008,-71.49443729,8177528.856,233676.7329, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.19,-16.46905315,-71.49442284,8177535.178,233678.1981, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.5.9.20,-16.46881926,-71.49420621,8177561.357,233701.0202, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
