type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,
TRACK,1.7.1-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-1,-16.44668485,-71.56266414,8179920.368,226356.8318,False, , ,0, , , , , , ,
TRACK,1.7.1-1,-16.44644639,-71.56245095,8179947.057,226379.2747,False, , ,0, , , , , , ,
TRACK,1.7.1-1,-16.44608169,-71.56216543,8179987.82,226409.2686,False, , ,0, , , , , , ,
TRACK,1.7.1-1,-16.44595641,-71.56235172,8180001.438,226389.1895,False, , ,0, , , , , , ,
TRACK,1.7.1-1,-16.44657103,-71.56281955,8179932.759,226340.0677,False, , ,0, , , , , , ,
TRACK,1.7.1-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-2,-16.44669938,-71.56264219,8179918.789,226359.1975,False, , ,0, , , , , , ,
TRACK,1.7.1-2,-16.44689349,-71.56242167,8179897.596,226383.0306,False, , ,0, , , , , , ,
TRACK,1.7.1-2,-16.44658807,-71.56214805,8179931.781,226411.8353,False, , ,0, , , , , , ,
TRACK,1.7.1-2,-16.44629666,-71.56190316,8179964.376,226437.5916,False, , ,0, , , , , , ,
TRACK,1.7.1-2,-16.44612369,-71.56211439,8179983.239,226414.7812,False, , ,0, , , , , , ,
TRACK,1.7.1-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-3,-16.44690174,-71.56239035,8179896.726,226386.3878,False, , ,0, , , , , , ,
TRACK,1.7.1-3,-16.44709572,-71.56216453,8179875.555,226410.7875,False, , ,0, , , , , , ,
TRACK,1.7.1-3,-16.44653493,-71.56167278,8179938.308,226462.5393,False, , ,0, , , , , , ,
TRACK,1.7.1-3,-16.44631682,-71.56186457,8179962.196,226441.7427,False, , ,0, , , , , , ,
TRACK,1.7.1-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-4,-16.44730699,-71.56193588,8179852.474,226435.5131,False, , ,0, , , , , , ,
TRACK,1.7.1-4,-16.44691314,-71.5615741,8179896.569,226473.6128,False, , ,0, , , , , , ,
TRACK,1.7.1-4,-16.44672195,-71.5614102,8179917.957,226490.8562,False, , ,0, , , , , , ,
TRACK,1.7.1-4,-16.44656942,-71.56163837,8179934.536,226466.2638,False, , ,0, , , , , , ,
TRACK,1.7.1-4,-16.44687256,-71.5619309,8179900.579,226435.4357,False, , ,0, , , , , , ,
TRACK,1.7.1-4,-16.44711521,-71.56213922,8179873.432,226413.5188,False, , ,0, , , , , , ,
TRACK,1.7.1-5, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-5,-16.44732583,-71.56189559,8179850.443,226439.8432,False, , ,0, , , , , , ,
TRACK,1.7.1-5,-16.44751111,-71.56167696,8179830.227,226463.4623,False, , ,0, , , , , , ,
TRACK,1.7.1-5,-16.44693454,-71.56115871,8179894.761,226518.0235,False, , ,0, , , , , , ,
TRACK,1.7.1-5,-16.44674553,-71.56137506,8179915.395,226494.6431,False, , ,0, , , , , , ,
TRACK,1.7.1-6, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-6,-16.44669307,-71.56132593,8179921.268,226499.819,False, , ,0, , , , , , ,
TRACK,1.7.1-6,-16.44688482,-71.56110972,8179900.332,226523.1882,False, , ,0, , , , , , ,
TRACK,1.7.1-6,-16.44656678,-71.56079591,8179935.968,226556.2696,False, , ,0, , , , , , ,
TRACK,1.7.1-6,-16.44636574,-71.5609762,8179957.982,226536.7258,False, , ,0, , , , , , ,
TRACK,1.7.1-7, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.1-7,-16.44754125,-71.5616635,8179826.908,226464.9421,False, , ,0, , , , , , ,
TRACK,1.7.1-7,-16.44770518,-71.56139561,8179809.121,226493.7941,False, , ,0, , , , , , ,
TRACK,1.7.1-7,-16.44729876,-71.56107421,8179854.553,226527.562,False, , ,0, , , , , , ,
TRACK,1.7.1-7,-16.44724379,-71.56105276,8179860.667,226529.7764,False, , ,0, , , , , , ,
TRACK,1.7.1-7,-16.44704099,-71.56102656,8179883.155,226532.292,False, , ,0, , , , , , ,
TRACK,1.7.1-7,-16.44695169,-71.56113083,8179892.901,226521.0266,False, , ,0, , , , , , ,
TRACK,1.7.2-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.2-1,-16.44775592,-71.56129521,8179803.64,226504.5911,False, , ,0, , , , , , ,
TRACK,1.7.2-1,-16.44797481,-71.56096501,8179779.853,226540.1774,False, , ,0, , , , , , ,
TRACK,1.7.2-1,-16.44759608,-71.56071391,8179822.123,226566.4741,False, , ,0, , , , , , ,
TRACK,1.7.2-1,-16.44745573,-71.56087573,8179837.442,226548.9879,False, , ,0, , , , , , ,
TRACK,1.7.2-1,-16.44734982,-71.56101132,8179848.984,226534.3529,False, , ,0, , , , , , ,
TRACK,1.7.2-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.2-2,-16.44801312,-71.56092619,8179775.664,226544.3783,False, , ,0, , , , , , ,
TRACK,1.7.2-2,-16.44832519,-71.5604512,8179741.756,226595.5633,False, , ,0, , , , , , ,
TRACK,1.7.2-2,-16.44793486,-71.56017798,8179785.34,226624.2076,False, , ,0, , , , , , ,
TRACK,1.7.2-2,-16.44765713,-71.56066654,8179815.428,226571.6208,False, , ,0, , , , , , ,
TRACK,1.7.2-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.2-3,-16.44736972,-71.56017698,8179847.91,226623.5225,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44746586,-71.56024325,8179837.176,226616.5768,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44771527,-71.5603971,8179809.356,226600.4889,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44799087,-71.55990787,8179779.505,226653.1442,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44828251,-71.55975825,8179747.419,226669.5387,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44820054,-71.55971068,8179756.559,226674.5061,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.4481077,-71.5596904,8179766.864,226676.5423,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44794534,-71.55966755,8179784.871,226678.7565,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44784991,-71.55973706,8179795.342,226671.1964,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44796919,-71.55982114,8179782.023,226662.3803,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44789714,-71.55990622,8179789.884,226653.1898,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44767498,-71.5597492,8179814.692,226669.6538,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44749631,-71.56000519,8179834.126,226642.0536,False, , ,0, , , , , , ,
TRACK,1.7.2-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.2-4,-16.44835459,-71.56039928,8179738.572,226601.1524,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44852232,-71.56022856,8179720.233,226619.6268,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44873699,-71.56012708,8179696.604,226630.7697,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.4483594,-71.55977719,8179738.881,226667.6226,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44808825,-71.55987751,8179768.765,226656.525,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44798489,-71.56010648,8179779.898,226631.9171,False, , ,0, , , , , , ,
TRACK,1.7.3-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.3-1,-16.44874217,-71.56009823,8179696.069,226633.8592,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44887909,-71.55994046,8179681.124,226650.9076,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44900029,-71.55979769,8179667.898,226666.3306,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44850095,-71.55942014,8179723.692,226705.9687,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44847613,-71.55946877,8179726.374,226700.7383,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44845597,-71.55965843,8179728.35,226680.4468,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44836276,-71.55976584,8179738.524,226668.8404,False, , ,0, , , , , , ,
TRACK,1.7.3-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.3-2,-16.44788487,-71.55968176,8179791.546,226677.1541,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44795099,-71.55964349,8179784.278,226681.3356,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44822354,-71.55967826,8179754.056,226678.0019,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44831516,-71.55973994,8179743.829,226671.5406,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44838444,-71.5596834,8179736.235,226677.6784,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44819902,-71.55953989,8179756.957,226692.7517,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44798963,-71.55935887,8179780.385,226711.7984,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44778461,-71.55961896,8179802.731,226683.7225,False, , ,0, , , , , , ,
TRACK,1.7.3-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.3-3,-16.44824903,-71.55955147,8179751.405,226691.5837,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44839375,-71.55964893,8179735.251,226681.3747,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44842652,-71.55955474,8179731.75,226691.4837,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44843864,-71.55936564,8179730.664,226711.7038,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44816849,-71.55914309,8179760.874,226735.1026,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44801636,-71.55934186,8179777.449,226713.6532,False, , ,0, , , , , , ,
TRACK,1.7.4-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-1,-16.44747721,-71.5600084,8179836.237,226641.6836,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44761908,-71.55979443,8179820.82,226664.7431,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44738407,-71.55965774,8179847.023,226679.0185,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44720684,-71.5598887,8179866.332,226654.0935,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44713213,-71.56003594,8179874.404,226638.2585,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44734289,-71.56019802,8179850.852,226621.2362,False, , ,0, , , , , , ,
TRACK,1.7.4-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-2,-16.4471766,-71.56102121,8179868.149,226533.0531,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44731558,-71.56098353,8179852.812,226537.2745,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44754864,-71.56070917,8179827.381,226566.914,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44769296,-71.56042915,8179811.782,226597.033,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.4471165,-71.56009538,8179876.055,226631.886,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44693684,-71.56044975,8179895.466,226593.7723,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44681339,-71.56063241,8179908.886,226574.0839,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44673254,-71.56078913,8179917.626,226557.227,False, , ,0, , , , , , ,
TRACK,1.7.4-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-3,-16.44667297,-71.56076908,8179924.247,226559.2851,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44677502,-71.56060024,8179913.178,226577.4674,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44698368,-71.5602416,8179890.561,226616.0773,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44707334,-71.56006802,8179880.87,226634.7485,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44679076,-71.55991096,8179912.367,226651.1324,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44640528,-71.56064086,8179954.058,226572.6087,False, , ,0, , , , , , ,
TRACK,1.7.4-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-4,-16.44709181,-71.56002516,8179878.883,226639.3537,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.4473405,-71.55962415,8179851.892,226682.5453,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.44708884,-71.55943175,8179880.014,226702.7497,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.44691558,-71.55967172,8179898.872,226676.868,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.44681541,-71.55986942,8179909.695,226655.6057,False, , ,0, , , , , , ,
TRACK,1.7.4-5, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-5,-16.44634805,-71.56060512,8179960.442,226576.3474,False, , ,0, , , , , , ,
TRACK,1.7.4-5,-16.44653961,-71.56026321,8179939.697,226613.1454,False, , ,0, , , , , , ,
TRACK,1.7.4-5,-16.4462534,-71.56011127,8179971.59,226628.978,False, , ,0, , , , , , ,
TRACK,1.7.4-5,-16.44609001,-71.56042901,8179989.248,226594.8012,False, , ,0, , , , , , ,
TRACK,1.7.4-6, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-6,-16.44656571,-71.56021523,8179936.872,226618.3083,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44672675,-71.55987701,8179919.5,226654.6706,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44647242,-71.5597299,8179947.856,226670.0309,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.446251,-71.55962763,8179972.509,226680.6473,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44625174,-71.5598862,8179972.077,226653.0223,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44626912,-71.56006618,8179969.91,226633.8176,False, , ,0, , , , , , ,
TRACK,1.7.4-7, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-7,-16.44687233,-71.55965321,8179903.685,226678.7851,False, , ,0, , , , , , ,
TRACK,1.7.4-7,-16.44665296,-71.5594985,8179928.181,226695.0074,False, , ,0, , , , , , ,
TRACK,1.7.4-7,-16.4464718,-71.55967584,8179947.998,226675.8056,False, , ,0, , , , , , ,
TRACK,1.7.4-7,-16.44676691,-71.55984367,8179915.1,226658.2885,False, , ,0, , , , , , ,
TRACK,1.7.4-8, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-8,-16.44662787,-71.55948297,8179930.98,226696.6315,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44635073,-71.55922976,8179962.006,226723.2956,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44605728,-71.55897559,8179994.837,226750.0404,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44600527,-71.55906607,8180000.473,226740.3002,False, , ,0, , , , , , ,
