type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.8.16.382,-16.43285591,-71.53134091,8181493.522,229684.2462, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.381,-16.43293209,-71.53130891,8181485.131,229687.7706, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.380,-16.43300717,-71.53128239,8181476.854,229690.7077, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.597,-16.43081008,-71.53251968,8181718.44,229555.4649, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.596,-16.43083171,-71.53259654,8181715.943,229547.283, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.590,-16.43111752,-71.53249052,8181684.443,229559.0064, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.566,-16.43128442,-71.53216839,8181666.396,229593.6564, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.565,-16.43119929,-71.53220266,8181675.775,229589.8773, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.564,-16.43111314,-71.53223096,8181685.275,229586.7334, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.563,-16.43099768,-71.5322675,8181698.009,229582.6698, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.562,-16.43086447,-71.53231602,8181712.692,229577.3005, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.561,-16.43076009,-71.53233854,8181724.218,229574.7496, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.598,-16.43078257,-71.53242445,8181721.613,229565.6015, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.595,-16.43089354,-71.53256778,8181709.137,229550.4413, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.594,-16.43095427,-71.5325502,8181702.437,229552.4037, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.593,-16.43100299,-71.53253322,8181697.065,229554.2854, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.592,-16.43103758,-71.53251966,8181693.254,229555.7824, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.591,-16.43107915,-71.5325095,8181688.665,229556.9253, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.589,-16.43117817,-71.53247032,8181677.756,229561.2485, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.588,-16.43121965,-71.53245401,8181673.185,229563.049, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.587,-16.43127475,-71.53243558,8181667.11,229565.0941, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.586,-16.43132544,-71.53242099,8181661.517,229566.7232, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.585,-16.43138497,-71.53240415,8181654.949,229568.6055, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.584,-16.4314566,-71.53237618,8181647.057,229571.6934, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.583,-16.43151314,-71.53235285,8181640.828,229574.2644, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.8.16.582,-16.43155682,-71.53233416,8181636.018,229576.3213, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
