type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.9.21.1,-16.44464961,-71.83436679,8179758.321,197322.0059, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.2,-16.44466306,-71.83451272,8179756.613,197306.4323, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.3,-16.44469805,-71.83477932,8179752.339,197277.9967, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.4,-16.44495375,-71.83477652,8179724.029,197278.6928, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.5,-16.44503594,-71.83471291,8179715.023,197285.6187, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.6,-16.44508938,-71.83466237,8179709.181,197291.1023, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.7,-16.44516271,-71.83461701,8179701.129,197296.0629, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.8,-16.44524971,-71.83454315,8179691.605,197304.0912, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.9,-16.44535288,-71.8344654,8179680.298,197312.56, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.10,-16.44547841,-71.83434488,8179666.578,197325.6334, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.11,-16.44564247,-71.8342127,8179648.608,197340.0129, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.12,-16.44564993,-71.83403387,8179648.05,197359.135, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.13,-16.44563129,-71.83386281,8179650.37,197377.3858, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.14,-16.4457705,-71.83389132,8179634.913,197374.555, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.15,-16.4458488,-71.83395741,8179626.144,197367.6137, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.16,-16.44526837,-71.83376172,8179690.709,197387.625, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.17,-16.44525843,-71.83389002,8179691.618,197373.8998, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.18,-16.44526588,-71.83400665,8179690.618,197361.448, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.19,-16.44533175,-71.8341181,8179683.157,197349.6406, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.20,-16.44535785,-71.83423343,8179680.095,197337.3561, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.9.21.21,-16.4452174,-71.83440319,8179695.393,197318.9973, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
