"type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime"
"TRACK,1.11.1-1, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-1,-16.39270146605686,-71.52838897105461,8185942.95832159,229944.183063385,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39327392551306,-71.52839019430193,8185879.57986407,229944.842165832,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39324349058198,-71.52749070435458,8185884.14708092,230040.926705252,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39245978530114,-71.52745304122122,8185970.96096578,230043.870804938,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39219532985092,-71.52745600790999,8186000.23478682,230043.189037613,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39207078048471,-71.52748775544039,8186013.98133854,230039.624459116,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.391742246157,-71.52766678780778,8186050.1149105,230020.03842633,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39116701840164,-71.52788970234268,8186113.50139528,229995.422436636,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39125287839332,-71.52813181485156,8186103.67348894,229969.666561154,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39173550801148,-71.52812769356106,8186050.24720016,229970.772760033,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39224334368793,-71.52814244641689,8185994.00522094,229969.896698165,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39257945512912,-71.52816904561374,8185956.75900208,229967.517765082,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39258211332309,-71.52797663379099,8185956.72093688,229988.084136041,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39262899738526,-71.52800093005307,8185951.49806405,229985.552313556,False, , ,0, , , , , , "
"TRACK,1.11.1-1,-16.39263754431708,-71.5282622472492,8185950.20384709,229957.637614061,False, , ,0, , , , , , "
"TRACK,1.11.1-2, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-2,-16.3932435852962,-71.52713498744565,8185884.61015504,230078.941511587,False, , ,0, , , , , , "
"TRACK,1.11.1-2,-16.39321346124797,-71.52677129791945,8185888.42928123,230117.766657686,False, , ,0, , , , , , "
"TRACK,1.11.1-2,-16.39270512603691,-71.52698785931335,8185944.41862609,230093.922261291,False, , ,0, , , , , , "
