type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.11.20.10,-16.380427,-71.51225949,8187323.259,231651.0812, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.22,-16.3805413,-71.51188683,8187311.098,231691.0651, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.41,-16.37954235,-71.51207227,8187421.444,231669.8783, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.27,-16.37978037,-71.51173427,8187395.54,231706.3281, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.48,-16.37929863,-71.51190129,8187448.653,231687.8183, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.83,-16.37962014,-71.51242942,8187412.36,231631.8147, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.42,-16.37943749,-71.51202342,8187433.118,231674.9555, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.31,-16.37970867,-71.51138047,8187403.946,231744.0423, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.44,-16.3790028,-71.51225588,8187480.935,231649.5166, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.49,-16.37933449,-71.51184176,8187444.761,231694.2292, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.62,-16.38032192,-71.51299416,8187333.921,231572.4201, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.71,-16.37988499,-71.51275844,8187382.604,231597.0142, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.84,-16.37957763,-71.51251964,8187416.947,231622.1142, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.121,-16.3795866,-71.51353614,8187414.61,231513.4892, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.1,-16.38083198,-71.51216014,8187278.555,231662.2542, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.2,-16.38076327,-71.51226307,8187286.026,231651.1596, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.11.20.3,-16.38065104,-71.51216581,8187298.579,231661.4005, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
