type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,,,,,,,,,,,,
TRACK,1.3.78-1, , ,10000000,11015404.5, , , , , , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-1,-16.34655447,-71.55004149,8191022.982,227566.0752,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-1,-16.34652192,-71.54998612,8191026.659,227571.9484,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-1,-16.34636253,-71.54974933,8191044.623,227597.0386,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-1,-16.34620084,-71.54993019,8191062.282,227577.4813,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-1,-16.34646839,-71.55013857,8191032.382,227555.5778,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-2, , ,10000000,11015404.5, , , , , , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-2,-16.34630421,-71.54941009,8191051.534,227633.2215,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-2,-16.34619227,-71.54918521,8191064.229,227657.1042,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-2,-16.3457994,-71.54966476,8191107.081,227605.2976,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-2,-16.3461529,-71.54985448,8191067.691,227585.5084,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-2,-16.34633661,-71.54963793,8191047.642,227608.9114,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-3, , ,10000000,11015404.5, , , , , , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-3,-16.34616201,-71.54915904,8191067.614,227659.8601,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-3,-16.34586106,-71.54890798,8191101.268,227686.2794,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-3,-16.34548578,-71.54941224,8191142.141,227631.8554,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-3,-16.34578707,-71.54963202,8191108.49,227608.7799,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4, , ,10000000,11015404.5, , , , , , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.34570029,-71.54903016,8191118.904,227672.9959,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.34581153,-71.54890314,8191106.758,227686.7277,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.34569256,-71.54889079,8191119.946,227687.8837,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.3455672,-71.54890352,8191133.808,227686.3483,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.34545092,-71.54901027,8191146.539,227674.7757,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.34507253,-71.54872385,8191188.813,227704.8689,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.34487322,-71.54901675,8191210.487,227673.2822,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-4,-16.3454519,-71.5493919,8191145.919,227633.9833,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5, , ,10000000,11015404.5, , , , , , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.34544236,-71.54894875,8191147.568,227681.3401,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.34549969,-71.54891124,8191141.272,227685.43,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.34544001,-71.54877796,8191148.057,227699.594,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.34542851,-71.54867488,8191149.469,227710.5966,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.34535968,-71.54853634,8191157.275,227725.3101,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.3452576,-71.54843562,8191168.71,227735.9351,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-5,-16.34509505,-71.54867528,8191186.386,227710.0913,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,1.3.78-6, , ,10000000,11015404.5, , , , , , , , , , ,,,,,,,,,,,,
