type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.3.99.1,-16.32658935,-71.54015437,8193246.545,228595.3725, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.2,-16.32641255,-71.5400171,8193266.301,228609.8023, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.3,-16.32646108,-71.53988707,8193261.101,228623.7712, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.4,-16.32655894,-71.5397903,8193250.396,228634.2507, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.5,-16.32663383,-71.53968153,8193242.251,228645.9827, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.6,-16.3266951,-71.53956329,8193235.625,228658.7071, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.7,-16.32688118,-71.53952073,8193215.081,228663.5145, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.8,-16.32684487,-71.53981868,8193218.703,228631.6123, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.9,-16.32676091,-71.53994164,8193227.834,228618.351, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.10,-16.32668375,-71.54005041,8193236.231,228606.6158, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.11,-16.32708995,-71.53938594,8193192.147,228678.2122, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.12,-16.32690614,-71.53923933,8193212.692,228693.6315, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.13,-16.32697422,-71.53913292,8193205.297,228705.1013, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.14,-16.32706726,-71.53904543,8193195.113,228714.5832, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.15,-16.32723518,-71.53899577,8193176.588,228720.1239, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.16,-16.32727377,-71.5391873,8193172.062,228699.7009, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.17,-16.32719434,-71.53929608,8193180.71,228687.9626, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.18,-16.32696584,-71.53843634,8193207.153,228779.5575, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.19,-16.32688238,-71.53848852,8193216.323,228773.8639, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.20,-16.32679614,-71.53841315,8193225.972,228781.8023, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.21,-16.3267238,-71.53836387,8193234.045,228786.9707, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.22,-16.32663617,-71.5383088,8193243.82,228792.7378, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.23,-16.32655827,-71.53826097,8193252.508,228797.7436, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.24,-16.32650681,-71.5381624,8193258.337,228808.2093, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.25,-16.32638857,-71.53811892,8193271.485,228812.6945, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.26,-16.32621887,-71.53827547,8193290.064,228795.7252, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.27,-16.32631068,-71.53834794,8193279.803,228788.1044, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.28,-16.32636493,-71.53840446,8193273.722,228782.1362, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.29,-16.32642057,-71.53846679,8193267.479,228775.5502, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.30,-16.32649708,-71.53850737,8193258.955,228771.3172, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.31,-16.3265555,-71.53855085,8193252.429,228766.7494, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.32,-16.3266473,-71.53858999,8193242.213,228762.6925, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.33,-16.32671407,-71.53864072,8193234.754,228757.3614, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.34,-16.32688238,-71.53874942,8193215.975,228745.9725, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.35,-16.32681005,-71.53884509,8193223.855,228735.6457, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.36,-16.32675581,-71.53892336,8193229.757,228727.2033, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.37,-16.32670712,-71.53899728,8193235.048,228719.2335, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.38,-16.32665566,-71.53907555,8193240.641,228710.795, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.39,-16.32650125,-71.5389393,8193257.917,228725.1472, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.40,-16.32644701,-71.53887553,8193264.008,228731.8901, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.41,-16.32638858,-71.53882625,8193270.541,228737.0778, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.42,-16.32629817,-71.53878277,8193280.609,228741.6014, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.43,-16.32623557,-71.53873494,8193287.603,228746.6284, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.44,-16.32618132,-71.53868711,8193293.672,228751.6668, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.45,-16.32607143,-71.53857695,8193305.985,228763.2914, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.46,-16.32614655,-71.53846245,8193297.822,228775.6364, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.47,-16.32620914,-71.53837403,8193291.01,228785.1749, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.48,-16.32619436,-71.53941407,8193291.261,228673.969, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.49,-16.32606855,-71.53895422,8193305.802,228722.9559, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.50,-16.32595962,-71.53907681,8193317.698,228709.6996, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.51,-16.32590588,-71.53916459,8193323.531,228700.241, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.52,-16.32584052,-71.53924481,8193330.66,228691.5753, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.53,-16.32578387,-71.5393341,8193336.812,228681.9508, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.54,-16.32572723,-71.53946881,8193342.904,228667.4724, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.55,-16.32566332,-71.53940978,8193350.058,228673.6943, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.3.99.56,-16.32557762,-71.53938859,8193359.573,228675.8411, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
