type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.7.43A.1,-16.45416353,-71.55913914,8179097.153,226743.9258, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.2,-16.45412842,-71.55924812,8179100.893,226732.2338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.3,-16.45419717,-71.55928589,8179093.231,226728.2947, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.4,-16.45429196,-71.55926594,8179082.763,226730.5585, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.5,-16.45440567,-71.5593146,8179070.109,226725.5202, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.6,-16.45434356,-71.55951195,8179076.718,226704.3487, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.7,-16.45427097,-71.5594885,8179084.787,226706.7523, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.8,-16.45421332,-71.55947856,8179091.183,226707.7331, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.9,-16.45413924,-71.55946316,8179099.405,226709.2743, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.10,-16.45407512,-71.55941827,8179106.564,226713.9804, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.11,-16.45399999,-71.55958131,8179114.661,226696.4562, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.12,-16.45405054,-71.55962889,8179109.001,226691.4442, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.13,-16.45413494,-71.55969414,8179099.568,226684.5917, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.14,-16.45419905,-71.55974085,8179092.408,226679.6908, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.15,-16.45405968,-71.55991081,8179107.607,226661.3374, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.16,-16.45399189,-71.55986572,8179115.174,226666.0595, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.17,-16.45394305,-71.55981183,8179120.653,226671.7489, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.18,-16.45385799,-71.55976597,8179130.133,226676.5288, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.19,-16.45414937,-71.55998973,8179097.571,226653.0315, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.20,-16.45432595,-71.55982078,8179078.25,226671.3295, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.21,-16.45440142,-71.55987787,8179069.817,226665.336, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.22,-16.45445814,-71.55990892,8179063.496,226662.0987, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.23,-16.45453282,-71.55995898,8179055.16,226656.8552, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.24,-16.45445833,-71.56002135,8179063.322,226650.0868, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.25,-16.45434122,-71.56012565,8179076.147,226638.7799, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.26,-16.45428816,-71.56009317,8179082.065,226642.1748, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.27,-16.45423161,-71.56005132,8179088.383,226646.5666, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.28,-16.45391125,-71.56008607,8179123.803,226642.4054, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.29,-16.45378223,-71.56027146,8179137.837,226622.4176, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.30,-16.45369283,-71.56022345,8179147.799,226627.4216, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.31,-16.4536358,-71.56019203,8179154.155,226630.6986, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.32,-16.45356635,-71.56015966,8179161.889,226634.0595, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.33,-16.45351452,-71.56013076,8179167.666,226637.0749, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.7.43A.34,-16.45344424,-71.56008217,8179175.512,226642.1668, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
