type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.13.55.448,-16.42292191,-71.49496391,8182641.551,233557.3977, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.447,-16.42286794,-71.49507896,8182647.374,233545.0312, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.446,-16.42283177,-71.49515704,8182651.276,233536.6389, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.445,-16.42292847,-71.4951634,8182640.562,233536.0912, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.444,-16.4230196,-71.49521187,8182630.409,233531.0363, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.443,-16.42307412,-71.49527619,8182624.289,233524.2387, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.442,-16.42313378,-71.49530039,8182617.653,233521.7338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.441,-16.42320485,-71.49538027,8182609.679,233513.2954, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.440,-16.42326756,-71.49531948,8182602.816,233519.877, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.439,-16.42333133,-71.49527746,8182595.812,233524.4532, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.438,-16.42341503,-71.49521051,8182586.634,233531.7209, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.437,-16.42331201,-71.49511779,8182598.161,233541.4881, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.436,-16.42321801,-71.49501295,8182608.705,233552.562, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.435,-16.42316723,-71.4949338,8182614.432,233560.9492, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.434,-16.42309368,-71.49487873,8182622.647,233566.733, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.433,-16.42298265,-71.494817,8182635.019,233573.1774, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.432,-16.42331847,-71.49438985,8182598.404,233619.2759, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.431,-16.42324713,-71.4944448,8182606.229,233613.3076, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.430,-16.42319477,-71.49449976,8182611.954,233607.3633, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.429,-16.42311417,-71.4945577,8182620.801,233601.0631, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.428,-16.42323043,-71.49461124,8182607.859,233595.5009, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.427,-16.42328943,-71.49466887,8182601.251,233589.4241, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.426,-16.42331311,-71.49475177,8182598.521,233580.5978, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.425,-16.42335772,-71.4948271,8182593.483,233572.6105, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.424,-16.42341382,-71.49488136,8182587.201,233566.8887, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.423,-16.42349675,-71.49493801,8182577.946,233560.9489, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.422,-16.42355191,-71.49501961,8182571.731,233552.3056, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.421,-16.42362083,-71.49492473,8182564.226,233562.537, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.420,-16.42368083,-71.4948516,8182557.68,233570.4327, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.419,-16.42375379,-71.49479497,8182549.678,233576.583, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.418,-16.42381999,-71.4946889,8182542.489,233588.0069, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.417,-16.42373539,-71.49461785,8182551.948,233595.4832, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.416,-16.42366825,-71.49454506,8182559.477,233603.1693, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.415,-16.42357578,-71.49446103,8182569.825,233612.0217, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.414,-16.42349682,-71.49438879,8182578.661,233619.6325, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.413,-16.42345076,-71.49428444,8182583.897,233630.7193, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.412,-16.42380485,-71.49398229,8182545.095,233663.4866, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.411,-16.42372811,-71.49404952,8182553.501,233656.1983, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.410,-16.42364977,-71.49412967,8182562.069,233647.528, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.409,-16.42375047,-71.49419695,8182550.832,233640.4769, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.408,-16.42383113,-71.49425775,8182541.823,233634.0899, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.407,-16.42390974,-71.49434428,8182533.006,233624.9516, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.406,-16.42397484,-71.49445225,8182525.657,233613.5041, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.405,-16.42402311,-71.49454801,8182520.187,233603.3383, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.13.55.404,-16.42413622,-71.49444569,8182507.799,233614.4249, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
