type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.18.4.1,-16.44405666,-71.57730048,8180191.472,224789.3559, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.2,-16.44400561,-71.57739315,8180196.998,224779.3829, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.3,-16.44380327,-71.57733007,8180219.485,224785.8371, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.4,-16.44383352,-71.57723937,8180216.259,224795.57, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.5,-16.44373899,-71.5774602,8180226.425,224771.843, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.6,-16.4439035,-71.57750948,8180208.144,224766.8098, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.7,-16.44356124,-71.57748781,8180246.067,224768.6421, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.8,-16.4435896,-71.57732614,8180243.147,224785.9557, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.9,-16.44345048,-71.57724994,8180258.653,224793.9005, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.10,-16.44344512,-71.5773311,8180259.136,224785.2218, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.11,-16.44341291,-71.57742345,8180262.576,224775.309, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.12,-16.44341829,-71.57750181,8180261.875,224766.9446, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.13,-16.44308775,-71.57764309,8180298.277,224751.3828, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.14,-16.44305284,-71.57755533,8180302.262,224760.7104, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.15,-16.44303127,-71.57747865,8180304.754,224768.873, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.16,-16.44300158,-71.57742683,8180308.111,224774.3676, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.17,-16.44296789,-71.57736225,8180311.93,224781.2198, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.18,-16.44317449,-71.57726119,8180289.193,224792.3089, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.18.4.19,-16.44264884,-71.57740859,8180347.189,224775.8191, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
