type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.28.1.1,-16.56538119,-71.43042119,8166954.642,240643.6491, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.2,-16.56358913,-71.43019039,8167153.33,240665.8903, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.3,-16.56529894,-71.43254656,8166961,240416.6207, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.4,-16.56702092,-71.43757331,8166763.863,239882.2444, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.5,-16.56711898,-71.43774159,8166752.789,239864.4099, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.6,-16.56735278,-71.43794537,8166726.642,239842.9668, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.7,-16.56754368,-71.43818544,8166705.196,239817.5921, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.8,-16.56736324,-71.43832308,8166724.994,239802.6547, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.9,-16.56803227,-71.43849363,8166650.708,239785.3447, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.10,-16.56776003,-71.43864301,8166680.652,239769.0298, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.11,-16.56702109,-71.43863271,8166762.47,239769.137, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.12,-16.56699167,-71.43888217,8166765.404,239742.4626, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.13,-16.56701316,-71.43911148,8166762.727,239718.0093, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.14,-16.56701111,-71.43977692,8166762.091,239646.9605, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.15,-16.56734722,-71.43896763,8166725.932,239733.8164, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.16,-16.56758075,-71.43882688,8166700.262,239749.1585, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.17,-16.5671672,-71.439403,8166745.297,239687.0923, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.18,-16.56731707,-71.43935874,8166728.763,239692.0186, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.19,-16.56734336,-71.43943549,8166725.753,239683.8605, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.20,-16.56736572,-71.43957916,8166723.091,239668.5511, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.21,-16.56764603,-71.43925,8166692.486,239704.0712, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.22,-16.56810566,-71.4394,8166641.408,239688.6744, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.23,-16.56834477,-71.43924431,8166615.139,239705.6184, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.24,-16.56743333,-71.43922507,8166716.065,239706.4472, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.25,-16.56761652,-71.43904722,8166696.016,239725.6813, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.26,-16.56776383,-71.43899131,8166679.781,239731.8486, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.27,-16.56798056,-71.43902741,8166655.741,239728.2861, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.28,-16.56807878,-71.43904365,8166644.846,239726.684, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.29,-16.56816119,-71.43908242,8166635.672,239722.6554, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.30,-16.56827339,-71.43911747,8166623.206,239719.0648, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.31,-16.56861054,-71.43899785,8166586.037,239732.2891, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.32,-16.56816492,-71.43888271,8166635.519,239743.9823, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.33,-16.56843896,-71.4388516,8166605.221,239747.6732, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.34,-16.56864533,-71.43871184,8166582.557,239762.8717, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.35,-16.56872806,-71.43873459,8166573.368,239760.5538, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.36,-16.56877669,-71.43875,8166567.965,239758.9743, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.37,-16.56884663,-71.43876389,8166560.204,239757.5855, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.38,-16.56899763,-71.43883631,8166543.394,239750.0566, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.39,-16.56887999,-71.43894811,8166556.272,239737.9619, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.28.1.40,-16.56871391,-71.4390318,8166574.55,239728.8029, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
