type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.25.1-1, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.25.1-1,-16.43029798,-71.53594092,8181770.559,229189.203,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43042233,-71.53576837,8181757.024,229207.8127,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43046329,-71.53574761,8181752.516,229210.0873,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43056377,-71.53572283,8181741.425,229212.8738,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43076456,-71.53567082,8181719.266,229218.71,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43077676,-71.53548408,8181718.165,229238.6798,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43016341,-71.53536318,8181786.231,229250.7466,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43002558,-71.5361325,8181800.46,229168.355,False, , ,0, , , , , , 
TRACK,1.25.1-1,-16.43022641,-71.53614192,8181778.214,229167.627,False, , ,0, , , , , , 
TRACK,1.25.1-2, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.25.1-2,-16.43088942,-71.53691979,8181703.77,229085.433,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43066948,-71.53680635,8181728.272,229097.2489,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43052809,-71.53671559,8181744.046,229106.75,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43046346,-71.53664927,8181751.29,229113.7472,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43041119,-71.5365851,8181757.163,229120.5313,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43036893,-71.53650924,8181761.944,229128.5777,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43033455,-71.53641248,8181765.88,229138.8685,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43029773,-71.536273,8181770.143,229153.7209,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.4302923,-71.53623577,8181770.793,229157.6912,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43025494,-71.53621859,8181774.953,229159.4748,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43022682,-71.53619002,8181778.104,229162.4884,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.4302221,-71.53616951,8181778.654,229164.6733,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43002613,-71.5361717,8181800.347,229164.1677,False, , ,0, , , , , , 
TRACK,1.25.1-2,-16.43001776,-71.53621635,8181801.214,229159.385,False, , ,0, , , , , , 
