type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.25.30.1,-16.4737561,-71.52474425,8176974.266,230445.6245, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.2,-16.47377017,-71.52482738,8176972.598,230436.7638, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.3,-16.47381941,-71.52496674,8176966.96,230421.9445, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.4,-16.47384989,-71.5250621,8176963.459,230411.8006, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.5,-16.47388975,-71.52513545,8176958.948,230404.0203, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.6,-16.47391788,-71.52522591,8176955.712,230394.3955, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.7,-16.47396008,-71.52531149,8176950.926,230385.3125, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.8,-16.47380299,-71.52533594,8176968.284,230382.4833, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.9,-16.47382409,-71.52549242,8176965.739,230365.7968, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.10,-16.47390147,-71.52545085,8176957.229,230370.344, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.11,-16.47396477,-71.52542396,8176950.256,230373.3046, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.12,-16.47410779,-71.52548019,8176934.347,230367.4954, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.13,-16.47410545,-71.52565623,8176934.372,230348.687, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.14,-16.47400228,-71.52570269,8176945.731,230343.5817, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.15,-16.47386395,-71.52572714,8176961.013,230340.7784, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.16,-16.4737561,-71.52575892,8176972.911,230337.2338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.17,-16.47370686,-71.52556821,8176978.617,230357.5379, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.18,-16.47369748,-71.52548753,8176979.763,230366.1439, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.19,-16.47367404,-71.52539217,8176982.486,230376.2976, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.20,-16.47365294,-71.52526992,8176984.985,230389.3275, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.21,-16.47363653,-71.52518924,8176986.91,230397.9238, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.22,-16.47362949,-71.52513545,8176987.761,230403.6601, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.23,-16.47362949,-71.52507188,8176987.846,230410.4508, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.24,-16.47360605,-71.52498141,8176990.562,230420.0821, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.25,-16.47358729,-71.5248665,8176992.792,230432.3318, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.26,-16.47357322,-71.52476136,8176994.49,230443.5432, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.27,-16.47392023,-71.52450219,8176956.419,230471.7087, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.28,-16.4739445,-71.5244008,8176953.867,230482.5736, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.29,-16.47397733,-71.52432012,8176950.341,230491.238, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.30,-16.47401953,-71.52424677,8176945.767,230499.1319, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.31,-16.47404298,-71.52416119,8176943.285,230508.3058, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.25.30.32,-16.47409456,-71.5240854,8176937.676,230516.4738, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
