type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.24.10.1,-16.43491514,-71.59833724,8181174.821,222528.7017, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.2,-16.43477024,-71.59838977,8181190.791,222522.8834, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.3,-16.43467263,-71.59841378,8181201.565,222520.1792, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.4,-16.43428493,-71.59838115,8181244.534,222523.1144, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.5,-16.43392354,-71.59876521,8181284.018,222481.5632, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.6,-16.43381164,-71.59811914,8181297.294,222550.4375, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.7,-16.43344902,-71.59796102,8181337.658,222566.8172, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.8,-16.43347907,-71.59809157,8181334.152,222552.9106, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.9,-16.43350959,-71.5982488,8181330.557,222536.1542, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.10,-16.43354343,-71.59838757,8181326.62,222521.374, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.11,-16.43357225,-71.59849849,8181323.277,222509.5633, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.12,-16.43359546,-71.5985942,8181320.576,222499.3695, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.13,-16.43361775,-71.59869114,8181317.976,222489.0431, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.14,-16.43363414,-71.59876421,8181316.06,222481.2586, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.15,-16.43365851,-71.5988583,8181313.233,222471.2401, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.16,-16.43368153,-71.59896021,8181310.545,222460.3838, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.17,-16.43355801,-71.59900276,8181324.162,222455.6614, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.18,-16.43349315,-71.59891133,8181331.468,222465.3382, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.19,-16.43341773,-71.5988134,8181339.953,222475.6953, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.20,-16.43334956,-71.59871644,8181347.633,222485.9583, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.21,-16.43342488,-71.59871185,8181339.301,222486.5557, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.22,-16.43350179,-71.59869582,8181330.808,222488.3781, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.23,-16.43343049,-71.59850331,8181338.965,222508.8464, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.24,-16.43329565,-71.59855136,8181353.828,222503.521, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.25,-16.43330119,-71.59844127,8181353.366,222515.2916, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.26,-16.43329747,-71.59832948,8181353.931,222527.2312, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.27,-16.4332954,-71.59821848,8181354.313,222539.089, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.28,-16.43331756,-71.59804574,8181352.097,222557.5784, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.24.10.29,-16.43305735,-71.59820307,8181380.69,222540.3968, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
