type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
WAYPOINT,1.23.23.1,-16.42621178,-71.6742859,8182032.742,214400.6511, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.2,-16.42645186,-71.6742686,8182006.184,214402.8509, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.3,-16.4264172,-71.67416923,8182010.163,214413.4191, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.4,-16.42638725,-71.6740752,8182013.611,214423.4236, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.5,-16.42615537,-71.67410237,8182039.247,214420.1807, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.6,-16.42612863,-71.67401757,8182042.327,214429.2036, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.7,-16.42610431,-71.67395561,8182045.107,214435.7886, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.8,-16.42603079,-71.67410969,8182053.03,214419.2161, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.9,-16.42583816,-71.67341219,8182075.343,214493.4702, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.10,-16.42583262,-71.67333233,8182076.069,214501.9951, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.11,-16.42585266,-71.67324753,8182073.969,214511.087, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.12,-16.425593,-71.6732098,8182102.773,214514.7389, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.13,-16.42535958,-71.67323681,8182128.579,214511.511, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.14,-16.42510795,-71.67317178,8182156.531,214518.0926, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.15,-16.42502976,-71.67334831,8182164.94,214499.1141, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.16,-16.42474906,-71.67347598,8182195.839,214485.0613, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.17,-16.42545049,-71.67298045,8182118.875,214539.0386, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.18,-16.4254566,-71.67295149,8182118.239,214542.1421, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.19,-16.42546513,-71.67289588,8182117.372,214548.0977, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.20,-16.42551235,-71.67283383,8182112.232,214554.7977, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
WAYPOINT,1.23.23.21,-16.42549881,-71.67275733,8182113.839,214562.9525, , , , , , , ,0, , , , , , , , , , , , , , , , , , , 
