type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.28.4-1, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.28.4-1,-16.5580602,-71.47196743,8167710.99,236197.8711,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.55863193,-71.47222508,8167647.357,236171.1405,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.55938686,-71.47233297,8167563.639,236160.6484,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.55968646,-71.47217853,8167530.674,236177.5471,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.56050081,-71.4716598,8167441.202,236234.0427,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.56116306,-71.47069888,8167369.147,236337.5427,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.56093342,-71.4688563,8167396.989,236533.9659,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.56044205,-71.46892744,8167451.294,236525.7014,False, , ,0, , , , , , 
TRACK,1.28.4-1,-16.55884251,-71.47066564,8167626.092,236337.9323,False, , ,0, , , , , , 
TRACK,1.28.4-2, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.28.4-2,-16.55782617,-71.46782685,8167742.334,236639.6562,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55849199,-71.46744604,8167669.122,236681.2212,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55882945,-71.4673494,8167631.89,236691.999,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55922251,-71.46680206,8167589.093,236750.9741,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55929341,-71.46649205,8167581.65,236784.1709,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55947395,-71.46625828,8167561.97,236809.3764,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55900812,-71.4661293,8167613.709,236822.5152,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55836154,-71.4656635,8167685.9,236871.3711,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55802462,-71.46568985,8167723.165,236868.1001,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55686449,-71.46575991,8167851.507,236859.0431,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55640808,-71.46600929,8167901.708,236831.7964,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55595173,-71.4664029,8167951.713,236789.1487,False, , ,0, , , , , , 
TRACK,1.28.4-2,-16.55569915,-71.4671382,8167978.712,236710.2941,False, , ,0, , , , , , 
