"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.28.1.1,-16.5653811949291,-71.43042119415105,8166954.64211762,240643.649050631, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.2,-16.56358912748745,-71.4301903944921,8167153.3297965,240665.890284981, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.3,-16.56529894408141,-71.43254656048173,8166961.00042397,240416.620699664, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.4,-16.56702091817115,-71.4375733089601,8166763.86257974,239882.244397222, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.5,-16.56711897866968,-71.43774158620211,8166752.7887253,239864.4098762, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.6,-16.56735277777778,-71.43794537136574,8166726.64191165,239842.966764835, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.7,-16.56754368404147,-71.43818544131362,8166705.19647798,239817.592079921, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.8,-16.56736323896887,-71.4383230776063,8166724.99419728,239802.654672298, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.9,-16.5680322713495,-71.43849363204477,8166650.70795152,239785.344662627, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.10,-16.56776003496113,-71.43864301414024,8166680.65216463,239769.029797702, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.11,-16.56702109404741,-71.438632705266,8166762.46988615,239769.137019708, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.12,-16.56699166666667,-71.43888217434632,8166765.40418401,239742.462603013, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.13,-16.56701316293849,-71.43911148076164,8166762.72709838,239718.009337536, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.14,-16.56701111111111,-71.43977691680081,8166762.09121099,239646.960503361, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.15,-16.56734722222222,-71.43896763438664,8166725.93163275,239733.81642059, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.16,-16.56758074513592,-71.43882687667748,8166700.26202384,239749.158522999, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.17,-16.56716719684367,-71.43940299824567,8166745.29673414,239687.092269387, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.18,-16.56731706724891,-71.4393587449737,8166728.76273665,239692.018559107, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.19,-16.56734335932349,-71.43943548710803,8166725.75254446,239683.8604644, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.20,-16.56736571664732,-71.43957916063235,8166723.09113347,239668.5510826, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.21,-16.56764603289059,-71.43925,8166692.48565537,239704.071194246, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.22,-16.56810565709379,-71.43940000000001,8166641.40845382,239688.674437639, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.23,-16.56834477299091,-71.43924430955239,8166615.13907225,239705.618376818, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.24,-16.56743333333333,-71.43922506629164,8166716.06487655,239706.4472426, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.25,-16.5676165221372,-71.43904722222223,8166696.01560914,239725.681250447, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.26,-16.56776382730503,-71.43899131260308,8166679.78070757,239731.848553389, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.27,-16.56798055555555,-71.43902740867117,8166655.74102047,239728.286148758, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.28,-16.56807877653596,-71.43904365202896,8166644.84641227,239726.683989308, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.29,-16.56816119117522,-71.43908242339931,8166635.67242815,239722.655362695, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.30,-16.56827338627519,-71.43911746646927,8166623.20643465,239719.064839963, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.31,-16.56861053752276,-71.43899784960817,8166586.03726156,239732.289143967, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.32,-16.56816491626445,-71.43888271499995,8166635.51902038,239743.982344526, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.33,-16.56843896015422,-71.4388515963558,8166605.22137389,239747.673212956, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.34,-16.56864532874591,-71.43871184063897,8166582.55658338,239762.871747079, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.35,-16.56872805956713,-71.43873459318189,8166573.36837467,239760.55380049, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.36,-16.56877668991761,-71.43875,8166567.96477935,239758.97427419, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.37,-16.5688466314002,-71.43876388888889,8166560.20390559,239757.585464924, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.38,-16.56899762515789,-71.43883630843078,8166543.39424903,239750.056609694, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.39,-16.56887998727485,-71.43894811045587,8166556.27235564,239737.961875431, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.40,-16.5687139054024,-71.43903180476337,8166574.54989622,239728.802910384, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.41,-16.56800221652907,-71.43887976574183,8166653.53450105,239744.078463293, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.42,-16.56776251819611,-71.43889270916033,8166680.05349444,239742.374263486, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.43,-16.56777530564272,-71.43881533048852,8166678.73819732,239750.652847585, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.44,-16.56788578523508,-71.43871319204563,8166666.64000419,239761.706267484, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.45,-16.56830833333333,-71.43865620687728,8166619.9357571,239768.358418212, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.46,-16.56845833333333,-71.43865344854099,8166603.33360208,239768.854582647, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.47,-16.5685395377793,-71.43867069095512,8166594.32151669,239767.122868265, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.48,-16.56839723149754,-71.43878866971562,8166609.92253785,239754.335492845, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.49,-16.56864683032835,-71.43849283678807,8166582.67431363,239786.255763909, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.50,-16.56897069362966,-71.43867938615072,8166546.57918469,239766.774215116, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.51,-16.56907644372413,-71.43876268308924,8166534.76412127,239758.023200877, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.52,-16.56914060050166,-71.43892579349982,8166527.45013489,239740.694985185, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.53,-16.5689285605091,-71.4390839908553,8166550.71884389,239723.519904698, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.54,-16.56910318963443,-71.43939421106569,8166530.9841919,239690.634068359, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
