"UNICODE","P","D","L","V","P_TRIAT","I_TRIAT","FECHA","CICLO"
"1.28.3.144",1,28,"3","144",0,"","05/18/09",1
"1.28.3.146",1,28,"3","146",0,"","05/18/09",1
"1.28.3.145",1,28,"3","145",0,"","05/18/09",1
"1.28.3.108",1,28,"3","108",0,"","05/18/09",1
"1.28.3.109",1,28,"3","109",0,"","05/18/09",1
"1.28.3.143",1,28,"3","143",0,"","05/18/09",1
"1.28.3.58",1,28,"3","58",0,"","05/20/09",1
"1.28.3.194",1,28,"3","194",0,"","05/20/09",1
"1.28.3.51",1,28,"3","51",0,"","05/20/09",1
"1.28.3.33",1,28,"3","33",0,"","05/21/09",1
"1.28.3.192",1,28,"3","192",0,"","05/21/09",1
"1.28.3.34",1,28,"3","34",0,"","05/21/09",1
"1.28.3.193",1,28,"3","193",0,"","05/21/09",1
"1.28.3.203",1,28,"3","203",0,"","05/21/09",1
"1.28.3.205",1,28,"3","205",0,"","05/21/09",1
"1.28.3.55",1,28,"3","55",0,"","05/21/09",1
"1.28.3.81",1,28,"3","81",0,"","05/21/09",1
"1.28.3.66",1,28,"3","66",0,"","05/21/09",1
"1.28.3.42",1,28,"3","42",0,"","05/21/09",1
"1.28.3.48",1,28,"3","48",0,"","05/21/09",1
"1.28.3.60",1,28,"3","60",0,"","05/21/09",1
"1.28.3.190",1,28,"3","190",0,"","05/21/09",1
"1.28.3.124",1,28,"3","124",0,"","05/21/09",1
"1.28.3.165",1,28,"3","165",0,"","05/21/09",1
"1.28.3.201",1,28,"3","201",0,"","05/22/09",1
"1.28.3.202",1,28,"3","202",0,"","05/22/09",1
"1.28.3.199",1,28,"3","199",0,"","05/22/09",1
"1.28.3.62",1,28,"3","62",0,"","05/22/09",1
"1.28.3.41",1,28,"3","41",0,"","05/22/09",1
"1.28.3.53",1,28,"3","53",0,"","05/22/09",1
"1.28.3.168",1,28,"3","168",0,"","05/22/09",1
"1.28.3.114",1,28,"3","114",0,"","05/22/09",1
"1.28.3.79",1,28,"3","79",0,"","05/22/09",1
"1.28.3.27",1,28,"3","27",0,"","05/22/09",1
"1.28.3.30",1,28,"3","30",0,"","05/22/09",1
"1.28.3.29",1,28,"3","29",0,"","05/22/09",1
"1.28.3.26",1,28,"3","26",0,"","05/22/09",1
"1.5.3.22",1,5,"3","22",0,"","05/21/09",1
"1.5.3.24A",1,5,"3","24A",0,"","05/21/09",1
"1.5.3.54",1,5,"3","54",0,"","05/21/09",1
"1.5.3.55",1,5,"3","55",0,"","05/21/09",1
"1.5.3.43",1,5,"3","43",0,"","05/21/09",1
"1.5.3.36",1,5,"3","36",0,"","05/21/09",1
"1.5.3.37",1,5,"3","37",0,"","05/21/09",1
"1.5.3.49",1,5,"3","49",0,"","05/21/09",1
"1.5.3.47",1,5,"3","47",0,"","05/21/09",1
"1.5.3.52",1,5,"3","52",0,"","05/21/09",1
"1.5.3.15",1,5,"3","15",0,"","05/21/09",1
"1.5.3.7",1,5,"3","7",0,"","05/21/09",1
"1.5.3.19",1,5,"3","19",0,"","05/21/09",1
"1.5.3.67",1,5,"3","67",0,"","05/21/09",1
"1.5.3.59",1,5,"3","59",0,"","05/21/09",1
"1.5.3.59A",1,5,"3","59A",0,"","05/21/09",1
"1.5.3.62",1,5,"3","62",0,"","05/21/09",1
"1.5.3.53",1,5,"3","53",0,"","05/21/09",1
"1.5.3.57",1,5,"3","57",0,"","05/21/09",1
"1.5.3.50",1,5,"3","50",0,"","05/21/09",1
"1.5.3.16",1,5,"3","16",0,"","05/22/09",1
"1.5.3.29A",1,5,"3","29A",0,"","05/22/09",1
"1.5.3.74",1,5,"3","74",0,"","05/22/09",1
"1.5.3.75",1,5,"3","75",0,"","05/22/09",1
"1.5.3.33",1,5,"3","33",0,"","05/22/09",1
"1.5.3.40",1,5,"3","40",0,"","05/22/09",1
"1.5.3.42",1,5,"3","42",0,"","05/22/09",1
"1.5.3.61",1,5,"3","61",0,"","05/22/09",1
"1.5.3.60",1,5,"3","60",0,"","05/22/09",1
"1.5.3.63",1,5,"3","63",0,"","05/22/09",1
"1.5.3.65",1,5,"3","65",0,"","05/22/09",1
"1.5.3.66",1,5,"3","66",0,"","05/22/09",1
"1.28.3.72",1,28,"3","72",0,"","05/25/09",1
"1.28.3.73",1,28,"3","73",0,"","05/25/09",1
"1.28.3.86",1,28,"3","86",0,"","05/25/09",1
"1.28.3.78",1,28,"3","78",0,"","05/25/09",1
"1.28.3.88",1,28,"3","88",0,"","05/25/09",1
"1.28.3.89",1,28,"3","89",0,"","05/25/09",1
"1.28.3.107",1,28,"3","107",0,"","05/25/09",1
"1.28.3.105",1,28,"3","105",0,"","05/25/09",1
