"","UNICODE","pos_enc","FECHA","LATITUDE","LONGITUDE","TOTAL_C"
"1","1.10.10.100",NA,"",-16.3963243,-71.50278478,NA
"2","1.10.10.101",0,"06/12/2008",-16.39625739,-71.50273646,NA
"3","1.10.10.103",0,"06/12/2008",-16.39655306,-71.50271123,NA
"4","1.10.10.104",1,"06/12/2008",-16.39665932,-71.50284955,NA
"5","1.10.10.105",NA,"",-16.39680235,-71.50309223,NA
"6","1.10.10.106",NA,"",-16.39679712,-71.50294235,NA
"7","1.10.10.107",NA,"",-16.39679584,-71.50284061,NA
"8","1.10.10.108",0,"06/12/2008",-16.39680206,-71.50274909,NA
"9","1.10.10.109",NA,"",-16.39699589,-71.50279503,NA
"10","1.10.10.110",NA,"",-16.39703366,-71.50288514,NA
"11","1.10.10.111",NA,"",-16.39703705,-71.50294769,NA
"12","1.10.10.112",0,"06/12/2008",-16.39705731,-71.50309365,NA
"13","1.10.10.113",NA,"",-16.39698234,-71.50310108,NA
"14","1.10.10.114",NA,"",-16.3968971,-71.50310131,NA
"15","1.10.10.115",NA,"",-16.39692653,-71.50368245,NA
"16","1.10.10.116",1,"06/12/2008",-16.39705656,-71.50368063,NA
"17","1.10.10.117",0,"06/12/2008",-16.39703696,-71.50377665,NA
"18","1.10.10.118",0,"06/12/2008",-16.39706367,-71.5038848,NA
"19","1.10.10.119",NA,"",-16.39698684,-71.50387624,NA
"20","1.10.10.120",NA,"",-16.39702562,-71.50420715,NA
"21","1.10.10.121",NA,"",-16.39702418,-71.50431109,NA
"22","1.10.10.122",0,"06/12/2008",-16.39702225,-71.50438507,NA
"23","1.10.10.123",0,"06/12/2008",-16.39700164,-71.50449437,NA
"24","1.10.10.124",NA,"",-16.39697973,-71.50463045,NA
"25","1.10.10.125",NA,"",-16.39695023,-71.50471765,NA
"26","1.10.10.129",1,"06/12/2008",-16.39677855,-71.50436488,NA
"27","1.10.10.131",NA,"",-16.39681242,-71.50411499,NA
