"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.18.1.1",1,"18","1","1",-16.43905675,-71.59110469,"1","0","0","20/04/2005",2,1,0,0,0,0,0
"1.18.1.1",1,"18","1","1",-16.43905675,-71.59110469,"1","2","3","19/11/2004",1,1,0,0,0,0,0
"1.18.1.10",1,"18","1","10",-16.43873381,-71.59057836,"2","0","0","20/04/2005",2,1,0,0,0,0,0
"1.18.1.10",1,"18","1","10",-16.43873381,-71.59057836,"2","2","5+","22/11/2004",1,1,0,0,0,0,0
"1.18.1.100",1,"18","1","100",-16.4374289,-71.59032626,"11","1","0","24/11/2004",1,1,0,0,0,0,0
"1.18.1.100",1,"18","1","100",-16.4374289,-71.59032626,"11","0","0","25/04/2005",2,1,0,0,0,0,0
"1.18.1.101",1,"18","1","101",-16.43733187,-71.5903155,"11","0","0","25/11/2004",1,1,0,0,0,0,0
"1.18.1.101",1,"18","1","101",-16.43733187,-71.5903155,"11","0","0","06/05/2005",2,0,0,0,1,0,0
"1.18.1.102",1,"18","1","102",-16.43723279,-71.59034348,"11","0","0","07/12/2004",1,0,0,0,1,0,0
"1.18.1.102",1,"18","1","102",-16.43723279,-71.59034348,"11","0","0","25/04/2005",2,1,0,0,0,0,0
"1.18.1.103",1,"18","1","103",-16.43714402,-71.59037576,"11","0","0","24/11/2004",1,1,0,0,0,0,0
"1.18.1.103",1,"18","1","103",-16.43714402,-71.59037576,"11","0","0","06/05/2005",2,0,0,0,1,0,0
"1.18.1.104",1,"18","1","104",-16.43704493,-71.59039298,"11","0","0","06/05/2005",2,0,0,0,1,0,0
"1.18.1.104",1,"18","1","104",-16.43704493,-71.59039298,"11","0","0","25/11/2004",1,1,0,0,0,0,0
"1.18.1.105",1,"18","1","105",-16.43696029,-71.59040159,"11","0","0","26/04/2005",2,1,0,0,0,0,0
"1.18.1.105",1,"18","1","105",-16.43696029,-71.59040159,"11","0","0","25/11/2004",1,1,0,0,0,0,0
"1.18.1.106",1,"18","1","106",-16.43686533,-71.59038652,"11","0","0","30/11/2004",1,1,0,0,0,0,0
"1.18.1.106",1,"18","1","106",-16.43686533,-71.59038652,"11","0","0","25/04/2005",2,1,0,0,0,0,0
"1.18.1.107",1,"18","1","107",-16.4374,-71.59010888,"12","10+","0","24/11/2004",1,1,0,0,0,0,0
"1.18.1.107",1,"18","1","107",-16.4374,-71.59010888,"12","0","0","21/04/2005",2,1,0,0,0,0,0
"1.18.1.108",1,"18","1","108",-16.43730504,-71.59014331,"12","0","0","08/12/2004",1,0,0,0,1,0,0
"1.18.1.108",1,"18","1","108",-16.43730504,-71.59014331,"12","0","0","06/05/2005",2,0,0,0,1,0,0
"1.18.1.109",1,"18","1","109",-16.43721627,-71.59014331,"12","0","0","06/05/2005",2,0,0,0,1,0,0
"1.18.1.109",1,"18","1","109",-16.43721627,-71.59014331,"12","0","0","07/12/2004",1,0,0,0,1,0,0
"1.18.1.11",1,"18","1","11",-16.43881889,-71.59062436,"2","4","10+","19/11/2004",1,1,0,0,0,0,0
"1.18.1.11",1,"18","1","11",-16.43881889,-71.59062436,"2","0","0","20/04/2005",2,1,0,0,0,0,0
"1.18.1.110",1,"18","1","110",-16.4371048,-71.59014116,"12","0","0","25/04/2005",2,1,0,0,0,0,0
"1.18.1.110",1,"18","1","110",-16.4371048,-71.59014116,"12","0","0","24/11/2004",1,1,0,0,0,0,0
"1.18.1.111",1,"18","1","111",-16.43702016,-71.58993454,"13","0","1","26/04/2005",2,1,0,0,0,0,0
"1.18.1.111",1,"18","1","111",-16.43702016,-71.58993454,"13","0","0","24/11/2004",1,1,0,0,0,0,0
"1.18.1.112",1,"18","1","112",-16.43696236,-71.59000556,"13","10+","0","24/11/2004",1,1,0,0,0,0,0
"1.18.1.112",1,"18","1","112",-16.43696236,-71.59000556,"13","0","0","26/04/2005",2,1,0,0,0,0,0
"1.18.1.113",1,"18","1","113",-16.43689011,-71.59007874,"13","0","0","26/04/2005",2,1,0,0,0,0,0
"1.18.1.113",1,"18","1","113",-16.43689011,-71.59007874,"13","1","0","25/11/2004",1,1,0,0,0,0,0
"1.18.1.114",1,"18","1","114",-16.4368096,-71.5901799,"13","0","0","25/11/2004",1,1,0,0,0,0,0
"1.18.1.114",1,"18","1","114",-16.4368096,-71.5901799,"13","0","0","27/04/2005",2,1,0,0,0,0,0
"1.18.1.115",1,"18","1","115",-16.43675592,-71.59012609,"13","10+","5+","24/11/2004",1,1,0,0,0,0,0
"1.18.1.115",1,"18","1","115",-16.43675592,-71.59012609,"13","0","0","26/04/2005",2,1,0,0,0,0,0
