"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.23.1.1",1,"23","1","1",-16.4264192,-71.63337628,"1","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.1",1,"23","1","1",-16.4264192,-71.63337628,"1","0","0","24/01/2006",2,1,0,0,0,0,0
"1.23.1.10",1,"23","1","10",-16.4263525,-71.63448492,"2","0","0","25/07/2005",1,1,0,0,0,0,0
"1.23.1.10",1,"23","1","10",-16.4263525,-71.63448492,"2","0","0","24/01/2006",2,1,0,0,0,0,0
"1.23.1.100",1,"23","1","100",-16.42301082,-71.63526939,"25","0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.100",1,"23","1","100",-16.42301082,-71.63526939,"25","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.101",1,"23","1","101",-16.42324576,-71.63525531,"25","0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.101",1,"23","1","101",-16.42324576,-71.63525531,"25","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.102",1,"23","1","102",-16.42325313,-71.63506751,"25","0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.102",1,"23","1","102",-16.42325313,-71.63506751,"25","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.103",1,"23","1","103",-16.42297189,-71.63508582,"25","0","0","03/08/2005",1,0,0,0,1,0,0
"1.23.1.103",1,"23","1","103",-16.42297189,-71.63508582,"25","0","0","27/01/2006",2,0,0,1,0,0,0
"1.23.1.104",1,"23","1","104",-16.42350715,-71.63505283,"26","0","0","27/01/2006",2,0,0,1,0,0,0
"1.23.1.104",1,"23","1","104",-16.42350715,-71.63505283,"26","0","0","03/08/2005",1,1,0,0,0,0,0
"1.23.1.105",1,"23","1","105",-16.42375415,-71.63496274,"26","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.105",1,"23","1","105",-16.42375415,-71.63496274,"26","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.106",1,"23","1","106",-16.42383078,-71.63526414,"27","0","0","31/01/2006",2,1,0,0,0,0,0
"1.23.1.106",1,"23","1","106",-16.42383078,-71.63526414,"27","0","0","02/08/2005",1,1,0,0,0,0,0
"1.23.1.107",1,"23","1","107",-16.42343204,-71.63548446,"27","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.107",1,"23","1","107",-16.42343204,-71.63548446,"27","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.108",1,"23","1","108",-16.42373,-71.63548768,"18","0","0","27/07/2005",1,1,0,0,0,0,0
"1.23.1.108",1,"23","1","108",-16.42373,-71.63548768,"18","0","0","12/02/2006",2,0,0,0,0,0,0
"1.23.1.109",NA,NA,NA,NA,NA,NA,NA,"0","0","26/07/2005",1,1,0,0,0,0,0
"1.23.1.109",NA,NA,NA,NA,NA,NA,NA,"0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.11",1,"23","1","11",-16.42644386,-71.63464615,"3","0","0","24/01/2006",2,1,0,0,0,0,0
"1.23.1.11",1,"23","1","11",-16.42644386,-71.63464615,"3","0","0","25/07/2005",1,1,0,0,0,0,0
"1.23.1.110",NA,NA,NA,NA,NA,NA,NA,"0","0","03/08/2005",1,0,0,1,0,0,0
"1.23.1.110",NA,NA,NA,NA,NA,NA,NA,"0","0","27/01/2006",2,0,1,0,0,0,0
"1.23.1.111",1,"23","1","111",-16.42402941,-71.63513046,"28","0","0","03/08/2005",1,0,0,1,0,0,0
"1.23.1.111",1,"23","1","111",-16.42402941,-71.63513046,"28","0","0","27/01/2006",2,0,1,0,0,0,0
"1.23.1.112",NA,NA,NA,NA,NA,NA,NA,"0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.112",NA,NA,NA,NA,NA,NA,NA,"0","0","01/08/2005",1,1,0,0,0,0,0
"1.23.1.113",1,"23","1","113",-16.42437112,-71.63512227,"15","0","0","01/08/2005",1,1,0,0,0,0,0
"1.23.1.113",1,"23","1","113",-16.42437112,-71.63512227,"15","0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.114",1,"23","1","114",-16.42432837,-71.63510247,"15","0","0","03/08/2005",1,1,0,0,0,0,0
"1.23.1.114",1,"23","1","114",-16.42432837,-71.63510247,"15","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.115",1,"23","1","115",-16.42470496,-71.63520645,"30","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.115",1,"23","1","115",-16.42470496,-71.63520645,"30","0","0","01/08/2005",1,1,0,0,0,0,0
"1.23.1.116",1,"23","1","116",-16.42476716,-71.63512359,"30","0","0","30/01/2006",2,0,1,0,0,0,0
"1.23.1.116",1,"23","1","116",-16.42476716,-71.63512359,"30","0","0","03/08/2005",1,0,1,0,0,0,0
"1.23.1.117",1,"23","1","117",-16.42478757,-71.63495168,"14","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.117",1,"23","1","117",-16.42478757,-71.63495168,"14","0","0","03/08/2005",1,0,0,1,0,0,0
"1.23.1.118",1,"23","1","118",-16.42462669,-71.6348869,"14","0","0","01/08/2005",1,1,0,0,0,0,0
"1.23.1.118",1,"23","1","118",-16.42462669,-71.6348869,"14","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.119",NA,NA,NA,NA,NA,NA,NA,"0","0","03/08/2005",1,1,0,0,0,0,0
"1.23.1.119",NA,NA,NA,NA,NA,NA,NA,"0","0","30/01/2006",2,0,1,0,0,0,0
"1.23.1.12",1,"23","1","12",-16.4263402,-71.63468244,"3","0","0","25/07/2005",1,1,0,0,0,0,0
"1.23.1.12",1,"23","1","12",-16.4263402,-71.63468244,"3","0","0","24/01/2006",2,1,0,0,0,0,0
"1.23.1.120",1,"23","1","120",-16.42428671,-71.63492205,"29","0","0","01/08/2005",1,1,0,0,0,0,0
"1.23.1.120",1,"23","1","120",-16.42428671,-71.63492205,"29","0","0","27/01/2006",2,1,0,0,0,0,0
"1.23.1.121",1,"23","1","121",-16.4239303,-71.63486769,"31","0","0","30/01/2006",2,1,0,0,0,0,0
"1.23.1.121",1,"23","1","121",-16.4239303,-71.63486769,"31","0","0","03/08/2005",1,1,0,0,0,0,0
"1.23.1.122",1,"23","1","122",-16.42402564,-71.63481876,"31","0","0","27/07/2005",1,1,0,0,0,0,0
