type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.3.78-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.3.78-1,-16.34655446793557,-71.5500414860736,8191022.98217759,227566.075196401,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.34652192266914,-71.5499861194098,8191026.65947773,227571.948446887,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.3463625303566,-71.54974933237834,8191044.62318744,227597.038606172,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.34620083632814,-71.54993019172352,8191062.28216776,227577.481277211,False, , ,0, , , , , , 
TRACK,1.3.78-1,-16.34646839211386,-71.55013857158897,8191032.38162371,227555.577797081,False, , ,0, , , , , , 
TRACK,1.3.78-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.3.78-2,-16.34630421453877,-71.54941008535779,8191051.53384796,227633.22149821,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34619226847175,-71.54918521007757,8191064.22870679,227657.104240294,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34579940311414,-71.54966476045311,8191107.08079631,227605.297593014,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34615289998095,-71.54985447596035,8191067.69068615,227585.508403152,False, , ,0, , , , , , 
TRACK,1.3.78-2,-16.34633661185417,-71.54963792603957,8191047.64189772,227608.911421767,False, , ,0, , , , , , 
TRACK,1.3.78-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.3.78-3,-16.3461620113514,-71.54915903638303,8191067.61355506,227659.860105061,False, , ,0, , , , , , 
TRACK,1.3.78-3,-16.34586106457162,-71.54890797910643,8191101.26786724,227686.279449748,False, , ,0, , , , , , 
TRACK,1.3.78-3,-16.34548577745727,-71.54941224356061,8191142.14082331,227631.855359231,False, , ,0, , , , , , 
TRACK,1.3.78-3,-16.34578707287264,-71.54963202337068,8191108.48974355,227608.779924964,False, , ,0, , , , , , 
TRACK,1.3.78-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.3.78-4,-16.34570029151528,-71.54903015974932,8191118.90355119,227672.995917117,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34581153323581,-71.54890314303924,8191106.75799841,227686.727700018,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34569256276552,-71.5488907853775,8191119.94586563,227687.883659514,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34556719825855,-71.5489035223668,8191133.80801435,227686.34825178,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34545091621564,-71.54901027449219,8191146.53872715,227674.775654107,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34507253321138,-71.54872384514727,8191188.81339438,227704.86885785,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34487322327949,-71.54901674940331,8191210.48691228,227673.282227827,False, , ,0, , , , , , 
TRACK,1.3.78-4,-16.34545189503835,-71.54939189686472,8191145.91922849,227633.983323635,False, , ,0, , , , , , 
TRACK,1.3.78-5, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.3.78-5,-16.34544236051491,-71.54894875371775,8191147.56832745,227681.340075856,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34549968633118,-71.54891123670898,8191141.27198345,227685.429984009,False, , ,0, , , , , , 
TRACK,1.3.78-5,-16.34544001491616,-71.54877795851265,8191148.0567375,227699.594046622,False, , ,0, , , , , , 
