type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.4.289-1, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-1,-16.3529583,-71.56742162,8190290.632,225717.1659,False, , ,0, , , , , , 
TRACK,1.4.289-1,-16.35226179,-71.56804405,8190366.905,225649.6598,False, , ,0, , , , , , 
TRACK,1.4.289-1,-16.3527789,-71.56863158,8190308.862,225587.5793,False, , ,0, , , , , , 
TRACK,1.4.289-1,-16.35344311,-71.56802108,8190236.149,225653.7659,False, , ,0, , , , , , 
TRACK,1.4.289-2, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-2,-16.35351498,-71.56796109,8190228.273,225660.2791,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35369468,-71.56778285,8190208.619,225679.5832,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35420741,-71.56731687,8190152.482,225730.1097,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35368857,-71.56672523,8190210.723,225792.6257,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35302044,-71.56736047,8190283.836,225723.7894,False, , ,0, , , , , , 
TRACK,1.4.289-3, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-3,-16.35500819,-71.56660542,8190064.786,225807.2766,False, , ,0, , , , , , 
TRACK,1.4.289-3,-16.3544611,-71.5660609,8190126.09,225864.7169,False, , ,0, , , , , , 
TRACK,1.4.289-3,-16.35374793,-71.5666763,8190204.216,225797.9386,False, , ,0, , , , , , 
TRACK,1.4.289-3,-16.35425783,-71.56727714,8190146.954,225734.4267,False, , ,0, , , , , , 
TRACK,1.4.289-4, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-4,-16.35440621,-71.56599552,8190132.255,225871.6288,False, , ,0, , , , , , 
TRACK,1.4.289-4,-16.35376327,-71.56533038,8190204.333,225941.8286,False, , ,0, , , , , , 
TRACK,1.4.289-4,-16.35311579,-71.56588406,8190275.271,225881.7399,False, , ,0, , , , , , 
TRACK,1.4.289-4,-16.35370371,-71.56661103,8190209.201,225804.8541,False, , ,0, , , , , , 
TRACK,1.4.289-5, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-5,-16.35365175,-71.56666609,8190214.879,225798.8957,False, , ,0, , , , , , 
TRACK,1.4.289-5,-16.35305942,-71.56595772,8190281.412,225873.7873,False, , ,0, , , , , , 
TRACK,1.4.289-5,-16.35234092,-71.56658394,8190360.114,225805.845,False, , ,0, , , , , , 
TRACK,1.4.289-5,-16.35295517,-71.56730276,8190291.14,225729.8668,False, , ,0, , , , , , 
TRACK,1.4.289-6, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-6,-16.35289717,-71.56736561,8190297.476,225723.0681,False, , ,0, , , , , , 
TRACK,1.4.289-6,-16.35228542,-71.56661553,8190366.216,225802.3908,False, , ,0, , , , , , 
TRACK,1.4.289-6,-16.35160813,-71.56724554,8190440.35,225734.1005,False, , ,0, , , , , , 
TRACK,1.4.289-6,-16.35221208,-71.56796639,8190372.513,225657.8914,False, , ,0, , , , , , 
TRACK,1.4.289-7, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-7,-16.35220065,-71.5665679,8190375.666,225807.3639,False, , ,0, , , , , , 
TRACK,1.4.289-7,-16.351318,-71.56550652,8190474.818,225919.5855,False, , ,0, , , , , , 
TRACK,1.4.289-7,-16.35069674,-71.56612514,8190542.764,225852.5913,False, , ,0, , , , , , 
TRACK,1.4.289-7,-16.35154224,-71.56715144,8190447.773,225744.0672,False, , ,0, , , , , , 
TRACK,1.4.289-8, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-8,-16.3522929,-71.56649662,8190365.549,225815.1121,False, , ,0, , , , , , 
TRACK,1.4.289-8,-16.35298675,-71.56589072,8190289.549,225880.8478,False, , ,0, , , , , , 
TRACK,1.4.289-8,-16.35209639,-71.56484331,8190389.534,225991.5652,False, , ,0, , , , , , 
TRACK,1.4.289-8,-16.35176083,-71.56587045,8190425.3,225881.3016,False, , ,0, , , , , , 
TRACK,1.4.289-9, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-9,-16.35307108,-71.56581589,8190280.313,225888.9646,False, , ,0, , , , , , 
TRACK,1.4.289-9,-16.35368144,-71.5652628,8190213.485,225948.9385,False, , ,0, , , , , , 
TRACK,1.4.289-9,-16.35258662,-71.56413978,8190336.208,226067.4511,False, , ,0, , , , , , 
TRACK,1.4.289-9,-16.35208576,-71.56465998,8190390.959,226011.1469,False, , ,0, , , , , , 
TRACK,1.4.289-10, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-10,-16.35196611,-71.56410247,8190404.957,226070.5731,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35199678,-71.56408988,8190401.577,226071.9624,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35201561,-71.56451857,8190398.915,226026.1647,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35206644,-71.56458838,8190393.193,226018.7731,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35250315,-71.56407041,8190345.543,226074.7504,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35189838,-71.56347581,8190413.299,226137.4646,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35165406,-71.56429943,8190439.238,226049.0843,False, , ,0, , , , , , 
TRACK,1.4.289-10,-16.35197495,-71.56444939,8190403.51,226033.5028,False, , ,0, , , , , , 
TRACK,1.4.289-11, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-11,-16.35171923,-71.56582181,8190429.971,225886.4431,False, , ,0, , , , , , 
TRACK,1.4.289-11,-16.35200337,-71.56470379,8190400.02,226006.3483,False, , ,0, , , , , , 
TRACK,1.4.289-11,-16.35184415,-71.56451005,8190417.91,226026.8359,False, , ,0, , , , , , 
TRACK,1.4.289-11,-16.35160941,-71.56439671,8190444.051,226038.623,False, , ,0, , , , , , 
TRACK,1.4.289-11,-16.35136364,-71.56538199,8190469.932,225932.961,False, , ,0, , , , , , 
TRACK,1.4.289-12, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-12,-16.35129857,-71.5652346,8190477.335,225948.6244,False, , ,0, , , , , , 
TRACK,1.4.289-12,-16.35153571,-71.56437357,8190452.242,226040.9942,False, , ,0, , , , , , 
TRACK,1.4.289-12,-16.35111175,-71.5642352,8190499.365,226055.1935,False, , ,0, , , , , , 
TRACK,1.4.289-12,-16.35089181,-71.56511138,8190522.535,225961.2278,False, , ,0, , , , , , 
TRACK,1.4.289-13, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-13,-16.35124032,-71.56537184,8190483.599,225933.8729,False, , ,0, , , , , , 
TRACK,1.4.289-13,-16.35086422,-71.56522303,8190525.438,225949.2551,False, , ,0, , , , , , 
TRACK,1.4.289-13,-16.35062832,-71.56607723,8190550.404,225857.6166,False, , ,0, , , , , , 
TRACK,1.4.289-13,-16.35118696,-71.56547724,8190489.364,225922.5323,False, , ,0, , , , , , 
TRACK,1.4.289-14, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-14,-16.35055717,-71.5659829,8190558.408,225867.6008,False, , ,0, , , , , , 
TRACK,1.4.289-14,-16.35075347,-71.56517433,8190537.765,225954.3056,False, , ,0, , , , , , 
TRACK,1.4.289-14,-16.35037427,-71.5650469,8190579.919,225967.3982,False, , ,0, , , , , , 
TRACK,1.4.289-14,-16.350214,-71.56556856,8190596.959,225911.4121,False, , ,0, , , , , , 
TRACK,1.4.289-15, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-15,-16.35048169,-71.56433533,8190568.985,226043.6099,False, , ,0, , , , , , 
TRACK,1.4.289-15,-16.35041602,-71.56432786,8190576.267,226044.3172,False, , ,0, , , , , , 
TRACK,1.4.289-15,-16.349996,-71.56467909,8190622.295,226006.1866,False, , ,0, , , , , , 
TRACK,1.4.289-15,-16.34970033,-71.56494446,8190654.671,225977.4072,False, , ,0, , , , , , 
TRACK,1.4.289-15,-16.35016467,-71.56549848,8190602.516,225918.8342,False, , ,0, , , , , , 
TRACK,1.4.289-16, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-16,-16.35078697,-71.56508002,8190534.184,225964.4334,False, , ,0, , , , , , 
TRACK,1.4.289-16,-16.35101132,-71.56422482,8190510.499,226056.1624,False, , ,0, , , , , , 
TRACK,1.4.289-16,-16.35063258,-71.56407981,8190552.625,226071.134,False, , ,0, , , , , , 
TRACK,1.4.289-16,-16.35039266,-71.56495111,8190578.012,225977.6625,False, , ,0, , , , , , 
TRACK,1.4.289-17, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-17,-16.35156386,-71.56428715,8190449.241,226050.2714,False, , ,0, , , , , , 
TRACK,1.4.289-17,-16.35178186,-71.56349253,8190426.177,226135.5145,False, , ,0, , , , , , 
TRACK,1.4.289-17,-16.35172058,-71.56347687,8190432.983,226137.1036,False, , ,0, , , , , , 
TRACK,1.4.289-17,-16.35176711,-71.56331936,8190428.043,226154.0049,False, , ,0, , , , , , 
TRACK,1.4.289-17,-16.35145599,-71.56301432,8190462.899,226186.1776,False, , ,0, , , , , , 
TRACK,1.4.289-17,-16.35114501,-71.56417008,8190495.771,226062.1999,False, , ,0, , , , , , 
TRACK,1.4.289-18, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-18,-16.35105235,-71.56413769,8190506.073,226065.5332,False, , ,0, , , , , , 
TRACK,1.4.289-18,-16.35136565,-71.56291176,8190473.039,226197.0145,False, , ,0, , , , , , 
TRACK,1.4.289-18,-16.35108226,-71.56263399,8190504.788,226226.3109,False, , ,0, , , , , , 
TRACK,1.4.289-18,-16.35104944,-71.56262842,8190508.429,226226.8606,False, , ,0, , , , , , 
TRACK,1.4.289-18,-16.35066139,-71.56401043,8190549.529,226078.5914,False, , ,0, , , , , , 
TRACK,1.4.289-19, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-19,-16.35170368,-71.56150757,8190437.506,226347.5836,False, , ,0, , , , , , 
TRACK,1.4.289-19,-16.35139498,-71.56140219,8190471.825,226358.4181,False, , ,0, , , , , , 
TRACK,1.4.289-19,-16.35112111,-71.56243305,8190500.757,226247.8439,False, , ,0, , , , , , 
TRACK,1.4.289-19,-16.35137917,-71.56273507,8190471.78,226215.9204,False, , ,0, , , , , , 
TRACK,1.4.289-20, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-20,-16.35189343,-71.56305995,8190414.408,226181.9104,False, , ,0, , , , , , 
TRACK,1.4.289-20,-16.3522754,-71.56168938,8190373.965,226328.9468,False, , ,0, , , , , , 
TRACK,1.4.289-20,-16.35179167,-71.56153288,8190427.73,226345.0014,False, , ,0, , , , , , 
TRACK,1.4.289-20,-16.3514882,-71.56281305,8190459.604,226207.7363,False, , ,0, , , , , , 
TRACK,1.4.289-21, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-21,-16.35203882,-71.56340606,8190397.845,226145.116,False, , ,0, , , , , , 
TRACK,1.4.289-21,-16.35239427,-71.56257568,8190359.611,226234.374,False, , ,0, , , , , , 
TRACK,1.4.289-21,-16.35249334,-71.5623714,8190348.918,226256.348,False, , ,0, , , , , , 
TRACK,1.4.289-21,-16.35295699,-71.56187869,8190298.25,226309.6614,False, , ,0, , , , , , 
TRACK,1.4.289-21,-16.35235411,-71.56168768,8190365.253,226329.238,False, , ,0, , , , , , 
TRACK,1.4.289-21,-16.35192454,-71.56327363,8190410.675,226159.1126,False, , ,0, , , , , , 
TRACK,1.4.289-22, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-22,-16.35339372,-71.56303413,8190248.343,226186.7634,False, , ,0, , , , , , 
TRACK,1.4.289-22,-16.3531545,-71.56187278,8190276.391,226310.5683,False, , ,0, , , , , , 
TRACK,1.4.289-22,-16.35279375,-71.56217181,8190315.928,226278.1022,False, , ,0, , , , , , 
TRACK,1.4.289-22,-16.35252754,-71.56253611,8190344.909,226238.7893,False, , ,0, , , , , , 
TRACK,1.4.289-22,-16.35224713,-71.56331665,8190374.903,226154.9646,False, , ,0, , , , , , 
TRACK,1.4.289-23, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-23,-16.35261166,-71.56402978,8190333.585,226079.245,False, , ,0, , , , , , 
TRACK,1.4.289-23,-16.35354591,-71.56380753,8190230.451,226104.3053,False, , ,0, , , , , , 
TRACK,1.4.289-23,-16.35342383,-71.56311948,8190244.894,226177.6819,False, , ,0, , , , , , 
TRACK,1.4.289-23,-16.35220953,-71.56341677,8190378.931,226144.2101,False, , ,0, , , , , , 
TRACK,1.4.289-23,-16.35217948,-71.56356031,8190382.064,226128.8244,False, , ,0, , , , , , 
TRACK,1.4.289-24, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-24,-16.35355058,-71.56390376,8190229.805,226094.0262,False, , ,0, , , , , , 
TRACK,1.4.289-24,-16.35269656,-71.56409565,8190324.096,226072.3219,False, , ,0, , , , , , 
TRACK,1.4.289-24,-16.35295567,-71.5643915,8190295.011,226041.0595,False, , ,0, , , , , , 
TRACK,1.4.289-25, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-25,-16.35378435,-71.56520483,8190202.169,225955.2783,False, , ,0, , , , , , 
TRACK,1.4.289-25,-16.35449927,-71.56454857,8190123.904,226026.4258,False, , ,0, , , , , , 
TRACK,1.4.289-25,-16.35393599,-71.5637911,8190187.286,226106.6067,False, , ,0, , , , , , 
TRACK,1.4.289-25,-16.35339168,-71.56407484,8190247.166,226075.5165,False, , ,0, , , , , , 
TRACK,1.4.289-25,-16.35302376,-71.56442262,8190287.43,226037.8282,False, , ,0, , , , , , 
TRACK,1.4.289-26, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-26,-16.35471666,-71.56569705,8190098.288,225903.966,False, , ,0, , , , , , 
TRACK,1.4.289-26,-16.3549625,-71.56506899,8190071.917,225971.4441,False, , ,0, , , , , , 
TRACK,1.4.289-26,-16.35455296,-71.56458655,8190117.908,226022.4401,False, , ,0, , , , , , 
TRACK,1.4.289-26,-16.353807,-71.56525575,8190199.593,225949.8672,False, , ,0, , , , , , 
TRACK,1.4.289-26,-16.35447256,-71.56594098,8190124.983,225877.5508,False, , ,0, , , , , , 
TRACK,1.4.289-27, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-27,-16.35503363,-71.56655281,8190062.04,225812.9359,False, , ,0, , , , , , 
TRACK,1.4.289-27,-16.35516125,-71.56643282,8190048.073,225825.9396,False, , ,0, , , , , , 
TRACK,1.4.289-27,-16.35513546,-71.56604443,8190051.452,225867.4188,False, , ,0, , , , , , 
TRACK,1.4.289-27,-16.35515832,-71.56571395,8190049.368,225902.7765,False, , ,0, , , , , , 
TRACK,1.4.289-27,-16.35497839,-71.56553672,8190069.527,225921.4692,False, , ,0, , , , , , 
TRACK,1.4.289-27,-16.35454144,-71.56599389,8190117.286,225871.9921,False, , ,0, , , , , , 
TRACK,1.4.289-28, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-28,-16.35516401,-71.56563165,8190048.848,225911.5814,False, , ,0, , , , , , 
TRACK,1.4.289-28,-16.3552057,-71.56494885,8190045.154,225984.6257,False, , ,0, , , , , , 
TRACK,1.4.289-28,-16.35511738,-71.56497461,8190054.897,225981.7487,False, , ,0, , , , , , 
TRACK,1.4.289-28,-16.35497881,-71.56546928,8190069.572,225928.6791,False, , ,0, , , , , , 
TRACK,1.4.289-29, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-29,-16.35513575,-71.56410288,8190054.039,226074.9544,False, , ,0, , , , , , 
TRACK,1.4.289-29,-16.35460851,-71.56454604,8190111.813,226026.8484,False, , ,0, , , , , , 
TRACK,1.4.289-29,-16.35497928,-71.56495227,8190070.217,225983.9436,False, , ,0, , , , , , 
TRACK,1.4.289-30, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-30,-16.35458001,-71.56448761,8190115.047,226033.0543,False, , ,0, , , , , , 
TRACK,1.4.289-30,-16.35512601,-71.56398547,8190055.275,226087.4913,False, , ,0, , , , , , 
TRACK,1.4.289-30,-16.35513844,-71.56350792,8190054.543,226138.5547,False, , ,0, , , , , , 
TRACK,1.4.289-30,-16.35400363,-71.56380661,8190179.778,226105.0432,False, , ,0, , , , , , 
TRACK,1.4.289-31, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.4.289-31,-16.3536374,-71.56376151,8190220.384,226109.3522,False, , ,0, , , , , , 
TRACK,1.4.289-31,-16.35511222,-71.5634509,8190057.522,226144.6122,False, , ,0, , , , , , 
TRACK,1.4.289-31,-16.35513789,-71.56271547,8190055.671,226223.2597,False, , ,0, , , , , , 
