type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.4.289-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-1,-16.35295830344039,-71.56742162338189,8190290.63237679,225717.165906213,False, , ,0, , , , , , 
TRACK,1.4.289-1,-16.35226178878418,-71.56804404524354,8190366.90502291,225649.659824199,False, , ,0, , , , , , 
TRACK,1.4.289-1,-16.3527788974392,-71.56863158230964,8190308.86158069,225587.579294099,False, , ,0, , , , , , 
TRACK,1.4.289-1,-16.35344310807131,-71.56802108299324,8190236.1494761,225653.765885855,False, , ,0, , , , , , 
TRACK,1.4.289-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-2,-16.35351498205852,-71.5679610906374,8190228.27312473,225660.279098113,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35369467528269,-71.5677828466965,8190208.61947522,225679.583221446,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35420741488224,-71.56731686532126,8190152.48183948,225730.109699385,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35368856933224,-71.56672522929334,8190210.72271809,225792.625745929,False, , ,0, , , , , , 
TRACK,1.4.289-2,-16.35302043911849,-71.56736047170007,8190283.83572215,225723.789417336,False, , ,0, , , , , , 
TRACK,1.4.289-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-3,-16.35500819325662,-71.56660541855258,8190064.78592276,225807.276635015,False, , ,0, , , , , , 
TRACK,1.4.289-3,-16.35446109995867,-71.56606089746317,8190126.09040577,225864.716899171,False, , ,0, , , , , , 
TRACK,1.4.289-3,-16.35374793480141,-71.56667630269705,8190204.21624907,225797.938573223,False, , ,0, , , , , , 
TRACK,1.4.289-3,-16.35425783189955,-71.5672771379962,8190146.95367302,225734.42670118,False, , ,0, , , , , , 
TRACK,1.4.289-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-4,-16.35440621090062,-71.56599551765756,8190132.25548115,225871.628772987,False, , ,0, , , , , , 
TRACK,1.4.289-4,-16.3537632743227,-71.5653303789328,8190204.33340157,225941.828599021,False, , ,0, , , , , , 
TRACK,1.4.289-4,-16.35311579114722,-71.5658840612371,8190275.27092755,225881.739864309,False, , ,0, , , , , , 
TRACK,1.4.289-4,-16.35370370870418,-71.56661102793665,8190209.20068309,225804.854131665,False, , ,0, , , , , , 
TRACK,1.4.289-5, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-5,-16.35365175309499,-71.56666609112934,8190214.8785126,225798.89570596,False, , ,0, , , , , , 
TRACK,1.4.289-5,-16.35305942345253,-71.56595772268412,8190281.41216444,225873.787270341,False, , ,0, , , , , , 
TRACK,1.4.289-5,-16.3523409230989,-71.56658394353734,8190360.11417122,225805.845033814,False, , ,0, , , , , , 
TRACK,1.4.289-5,-16.35295517065405,-71.56730276329871,8190291.13961488,225729.866792763,False, , ,0, , , , , , 
TRACK,1.4.289-6, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-6,-16.35289716885461,-71.56736560777632,8190297.47631609,225723.068112526,False, , ,0, , , , , , 
TRACK,1.4.289-6,-16.35228542342549,-71.56661553261725,8190366.21604515,225802.390838635,False, , ,0, , , , , , 
TRACK,1.4.289-6,-16.35160813208825,-71.56724554439803,8190440.35044412,225734.100462382,False, , ,0, , , , , , 
TRACK,1.4.289-6,-16.35221207850765,-71.56796638734967,8190372.51338088,225657.891418685,False, , ,0, , , , , , 
TRACK,1.4.289-7, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.4.289-7,-16.35220065184013,-71.56656790093085,8190375.66554714,225807.363884773,False, , ,0, , , , , , 
TRACK,1.4.289-7,-16.35131799665889,-71.56550651850159,8190474.81765921,225919.58545445,False, , ,0, , , , , , 
TRACK,1.4.289-7,-16.35069673746439,-71.56612513771594,8190542.76433851,225852.591322368,False, , ,0, , , , , , 
TRACK,1.4.289-7,-16.35154223905751,-71.56715144332038,8190447.7725772,225744.067156784,False, , ,0, , , , , , 
TRACK,1.4.289-8, , ,10000000,11015404.4991538, , , , , , , , , , 
