type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.5.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.5.1-1,-16.48256860422259,-71.46883485456996,8176072.51781139,236429.881491496,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48261695453042,-71.46883588975899,8176067.16377776,236429.836398335,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48270300016471,-71.46883377795494,8176057.64074823,236430.178501103,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48281989918754,-71.46878474025795,8176044.7633732,236435.574759755,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48308173311998,-71.46890681548264,8176015.61720369,236422.889959271,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48331208411796,-71.46840051953689,8175990.77745279,236477.281599399,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4835657136501,-71.46785783397949,8175963.40803769,236535.59153835,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4836278864926,-71.46757815878854,8175956.89042092,236565.548959451,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48353901409204,-71.46744801796764,8175966.89911359,236579.329532223,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48330715986,-71.46731667248682,8175992.73833596,236593.04526373,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48299722219542,-71.46711641501587,8176027.31184565,236614.016144884,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48289695671159,-71.46721330165428,8176038.28533262,236603.531555509,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48308805104001,-71.46740571353405,8176016.87874625,236583.237837334,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48341353086585,-71.46771187557272,8175980.44626123,236550.975941363,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48329918208022,-71.46791496896798,8175992.84009883,236529.127870603,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48291860281839,-71.46862829442586,8176034.04068313,236452.419122315,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48284242180066,-71.46859971480905,8176042.51173816,236455.368677851,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48241538061805,-71.46837119764297,8176090.08641067,236479.199411217,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48233785307479,-71.46781734792894,8176099.39266938,236538.253795193,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48195002599468,-71.46780563030583,8176142.34282367,236538.980414553,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.48190478600263,-71.46796214004316,8176147.1467477,236522.201580105,False, , ,0, , , , , , 
TRACK,1.5.1-1,-16.4824221334732,-71.46853313382387,8176089.12726328,236461.911374274,False, , ,0, , , , , , 
TRACK,1.5.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.5.1-2,-16.48048153997577,-71.47195718802573,8176299.48681244,236093.540020617,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48057015976144,-71.47201536269321,8176289.59992609,236087.44618633,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48060347983439,-71.4721200390715,8176285.77423532,236076.310247647,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48108836826785,-71.47234969031548,8176231.79348197,236052.437356168,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48088464356414,-71.47164463296383,8176255.26951118,236127.472411056,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48083453036919,-71.47145456057305,8176261.06597859,236147.707222818,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48098928864755,-71.4712819904012,8176244.15895167,236166.350230579,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48113385151768,-71.47137979489432,8176228.02699737,236156.099131684,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48155575188931,-71.47125272757305,8176181.48611576,236170.243810478,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48184157264762,-71.47099762584156,8176150.17756048,236197.880021593,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.482004490907,-71.47082319953347,8176132.3695729,236216.73222504,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48232342774427,-71.47053777900462,8176097.43445854,236247.651690201,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48237347061733,-71.47032160692834,8176092.17704215,236270.80992004,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48266280967568,-71.46979954637654,8176060.82788156,236326.965783717,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48288225791438,-71.46966054587753,8176036.71527459,236342.110386624,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48325276145829,-71.46934973615122,8175996.10445071,236375.811295945,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48333762942771,-71.4691439856519,8175986.97793945,236397.903365944,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48341679646544,-71.46880884805935,8175978.65161498,236433.808082146,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48358519400076,-71.46851662107908,8175960.39079709,236465.250133852,False, , ,0, , , , , , 
TRACK,1.5.1-2,-16.48372237223646,-71.46817887326729,8175945.64558051,236501.512120659,False, , ,0, , , , , , 
