type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.8.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.8.1-1,-16.45330616948391,-71.51607310951205,8179249.82900191,231343.707911958,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.45314645139307,-71.51591348332863,8179267.72352719,231360.541366645,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.45256371108137,-71.51536385492226,8179332.96898041,231418.45773313,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.45240073112364,-71.51550587318586,8179350.82359772,231403.06078634,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.45288068693705,-71.51600620851357,8179297.02284917,231350.268972901,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.45324679433964,-71.51637318027599,8179256.00337169,231311.568306905,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.4534258678426,-71.51620007812571,8179236.40844438,231330.308278045,False, , ,0, , , , , , 
TRACK,1.8.1-1,-16.45337012818145,-71.51613550122322,8179242.66521521,231337.130481935,False, , ,0, , , , , , 
TRACK,1.8.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.8.1-2,-16.45252605562461,-71.51478526289681,8179337.90677972,231480.219411937,False, , ,0, , , , , , 
TRACK,1.8.1-2,-16.4525784670882,-71.51483917168656,8179332.03270451,231474.532276742,False, , ,0, , , , , , 
TRACK,1.8.1-2,-16.45265038426572,-71.51486561780943,8179324.03566146,231471.805963681,False, , ,0, , , , , , 
TRACK,1.8.1-2,-16.45275595724466,-71.5149055477616,8179312.29468892,231467.685468352,False, , ,0, , , , , , 
TRACK,1.8.1-2,-16.45288634253745,-71.51468599899242,8179298.15159877,231491.320355038,False, , ,0, , , , , , 
TRACK,1.8.1-2,-16.45264106285556,-71.51453389405383,8179325.50844939,231507.232613907,False, , ,0, , , , , , 
TRACK,1.8.1-2,-16.45253008120417,-71.51469863208003,8179337.57623416,231489.480107019,False, , ,0, , , , , , 
TRACK,1.8.1-3, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.8.1-3,-16.45231286946921,-71.5150387656013,8179361.17156137,231452.842988609,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.45274761400698,-71.51546330044084,8179312.47702788,231408.086854407,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.4530503324028,-71.51576856939083,8179278.55746213,231375.89069872,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.45319885502709,-71.51559076680194,8179262.35100054,231395.090698582,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.4529096053537,-71.5153418266102,8179294.70455095,231421.287564027,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.45297908886257,-71.51523922034822,8179287.14846693,231432.345131707,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.45228140640126,-71.51456263619393,8179365.28754726,231503.666723275,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.45216020330843,-71.51464006364435,8179378.60296335,231495.22789993,False, , ,0, , , , , , 
TRACK,1.8.1-3,-16.45202435154393,-71.51476832975702,8179393.47256334,231481.337563114,False, , ,0, , , , , , 
TRACK,1.8.1-4, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.8.1-4,-16.45308074330707,-71.51577010805598,8179275.18864581,231375.768213869,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45308074330707,-71.51577010805598,8179275.18864581,231375.768213869,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45348856975009,-71.51614839287829,8179229.53548345,231335.916419789,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45381716823797,-71.5164857861117,8179192.70788267,231300.324212705,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45406413324554,-71.51623343586577,8179165.70213007,231327.62407468,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45460826889057,-71.51561595934611,8179106.28225698,231394.341006307,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45522066338998,-71.51498068255222,8179039.32899877,231463.053245479,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45501077742387,-71.51468488366005,8179062.95847706,231494.365237104,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45470833106337,-71.51517029158656,8179095.79691054,231442.091001604,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45461080562604,-71.51533612698778,8179106.37343539,231424.239917966,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45404840455048,-71.51595402578616,8179167.81498145,231357.452801454,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45379439826258,-71.51621254082652,8179195.59210466,231329.484669038,False, , ,0, , , , , , 
TRACK,1.8.1-4,-16.45318948156938,-71.51564756831223,8179263.31321722,231389.009447384,False, , ,0, , , , , , 
TRACK,1.8.2-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.8.2-1,-16.45466694923464,-71.51342168829969,8179102.70182989,231628.84287572,False, , ,0, , , , , , 
TRACK,1.8.2-1,-16.45493907498237,-71.51372049777136,8179072.17806089,231597.294760399,False, , ,0, , , , , , 
TRACK,1.8.2-1,-16.45521401319931,-71.51398975240427,8179041.38213544,231568.908035206,False, , ,0, , , , , , 
TRACK,1.8.2-1,-16.45570401345498,-71.51446162346313,8178986.5075445,231519.171504065,False, , ,0, , , , , , 
TRACK,1.8.2-1,-16.45595965597293,-71.51416624861122,8178958.59807978,231551.079207464,False, , ,0, , , , , , 
