type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,KM.48, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,KM.48,-16.52788587623124,-71.77527467866578,8170629.21774719,203763.379678576,False, , ,0, , , , , , 
TRACK,KM.48,-16.52758942357812,-71.77876765844397,8170656.89547153,203389.834334314,False, , ,0, , , , , , 
TRACK,KM.48,-16.52706094973701,-71.78198202007495,8170710.66998201,203045.691731252,False, , ,0, , , , , , 
TRACK,KM.48,-16.52652189350748,-71.7818299320862,8170770.58424124,203061.111624102,False, , ,0, , , , , , 
TRACK,KM.48,-16.52511374687374,-71.78412938392876,8170923.11230449,202813.342940301,False, , ,0, , , , , , 
TRACK,KM.48,-16.52433957187934,-71.78547387970924,8171006.84995485,202668.545500798,False, , ,0, , , , , , 
TRACK,KM.48,-16.52392889162276,-71.78689468273252,8171050.22404153,202516.153324068,False, , ,0, , , , , , 
TRACK,KM.48,-16.52369601881651,-71.78771079518641,8171074.80304728,202428.623196107,False, , ,0, , , , , , 
TRACK,KM.48,-16.52296817574474,-71.78892056022205,8171153.60752599,202298.285332714,False, , ,0, , , , , , 
TRACK,KM.48,-16.52221283802961,-71.7901905425046,8171235.36670992,202161.472063831,False, , ,0, , , , , , 
TRACK,KM.48,-16.52387388130333,-71.79144259295961,8171049.58406817,202030.283396396,False, , ,0, , , , , , 
TRACK,KM.48,-16.52456280796388,-71.78964493845368,8170975.96078939,202223.357522797,False, , ,0, , , , , , 
TRACK,KM.48,-16.52585047417361,-71.7886332031519,8170834.87430058,202333.40125664,False, , ,0, , , , , , 
TRACK,KM.48,-16.52605286843505,-71.78698588395507,8170814.9003354,202509.668225991,False, , ,0, , , , , , 
TRACK,KM.48,-16.52648140725429,-71.78568053383241,8170769.37837712,202649.754297355,False, , ,0, , , , , , 
TRACK,KM.48,-16.5274201445034,-71.78533337773376,8170665.94493742,202688.273835155,False, , ,0, , , , , , 
TRACK,KM.48,-16.52806650483305,-71.78529074027534,8170594.43629549,202693.818641703,False, , ,0, , , , , , 
TRACK,KM.48,-16.52822578038839,-71.78656589366572,8170574.91409144,202557.860458436,False, , ,0, , , , , , 
TRACK,KM.48,-16.52855206098915,-71.78655097930657,8170538.80696716,202559.953784996,False, , ,0, , , , , , 
TRACK,KM.48,-16.52867688188254,-71.78893443351383,8170521.45868835,202305.562801628,False, , ,0, , , , , , 
TRACK,KM.48,-16.52900268504063,-71.79039974247013,8170483.21254388,202149.549734761,False, , ,0, , , , , , 
TRACK,KM.48,-16.52826148415064,-71.79075977675977,8170564.75296989,202109.955385511,False, , ,0, , , , , , 
TRACK,KM.48,-16.52871886949096,-71.79192446183117,8170512.38072443,201986.254704258,False, , ,0, , , , , , 
TRACK,KM.48,-16.52936180740603,-71.79170080839806,8170441.51910899,202011.131403802,False, , ,0, , , , , , 
TRACK,KM.48,-16.52995857859502,-71.79329329615607,8170373.07753456,201841.95136725,False, , ,0, , , , , , 
TRACK,KM.48,-16.53086136708849,-71.79560664450956,8170269.67915825,201596.246539538,False, , ,0, , , , , , 
TRACK,KM.48,-16.53515594701244,-71.79416873170111,8169796.26923345,201756.437201103,False, , ,0, , , , , , 
TRACK,KM.48,-16.53510559384288,-71.79168362033815,8169805.53025912,202021.792529465,False, , ,0, , , , , , 
TRACK,KM.48,-16.53474905328888,-71.79012294942682,8169847.32301744,202187.9387141,False, , ,0, , , , , , 
TRACK,KM.48,-16.53271813917884,-71.79088485676161,8170071.07885995,202103.440141988,False, , ,0, , , , , , 
TRACK,KM.48,-16.53202430338876,-71.78940983677354,8170150.09271632,202259.922286424,False, , ,0, , , , , , 
TRACK,KM.48,-16.53098931630034,-71.78847995211616,8170266.07423892,202357.655489133,False, , ,0, , , , , , 
TRACK,KM.48,-16.53028169569961,-71.78634478548401,8170347.58879026,202584.629841667,False, , ,0, , , , , , 
TRACK,KM.48,-16.53068829139018,-71.78513539058034,8170304.3547355,202714.430103321,False, , ,0, , , , , , 
TRACK,KM.48,-16.53064847972756,-71.78097784456682,8170314.90530843,203158.440375967,False, , ,0, , , , , , 
TRACK,KM.48,-16.53060861906859,-71.77982209926302,8170321.02489733,203281.825376234,False, , ,0, , , , , , 
TRACK,KM.48,-16.52972989270431,-71.77863615091601,8170420.07574273,203407.153631561,False, , ,0, , , , , , 
TRACK,KM.48,-16.52966490578498,-71.77560207736981,8170431.74433298,203731.126707067,False, , ,0, , , , , , 
TRACK,KM.48,-16.52946886121505,-71.77292187408162,8170457.39909231,204017.102188588,False, , ,0, , , , , , 
TRACK,KM.48,-16.52832288011775,-71.77277384318487,8170584.51067582,204031.165018037,False, , ,0, , , , , , 
TRACK,KM.48,-16.52828060554511,-71.77288932942651,8170589.02174555,204018.765268325,False, , ,0, , , , , , 
TRACK,1.9.4.1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.9.4.1,-16.50865516794686,-71.82133865010769,8172690.27627567,198813.282384477,False, , ,0, , , , , , 
TRACK,1.9.4.1,-16.50892497140219,-71.82083911024003,8172661.14737607,198867.064537138,False, , ,0, , , , , , 
TRACK,1.9.4.1,-16.5066783057414,-71.81960913333597,8172911.76646857,198994.976157619,False, , ,0, , , , , , 
TRACK,1.9.4.1,-16.50537577410881,-71.82187165221778,8173052.61612816,198751.258032076,False, , ,0, , , , , , 
