,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.10.38-2, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.10.38-2,-16.40750893,-71.51304156,8184324.021,231604.6388,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40733482,-71.51260077,8184343.88,231651.5016,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40722289,-71.51227639,8184356.702,231686.0117,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40715368,-71.51218722,8184364.482,231695.4453,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.40700153,-71.51224786,8184381.246,231688.7564,False, , ,0, , , , , , 
TRACK,1.10.38-2,-16.407211,-71.51314088,8184356.874,231593.6159,False, , ,0, , , , , , 
TRACK,1.10.38-1, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.10.38-1,-16.40771752,-71.51377922,8184299.951,231526.0989,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40754925,-71.51326794,8184319.258,231580.5028,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.4074963,-71.51308198,8184325.366,231600.3016,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40720399,-71.51317085,8184357.609,231590.4043,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40756021,-71.5144361,8184316.496,231455.6893,False, , ,0, , , , , , 
TRACK,1.10.38-1,-16.40795017,-71.51428236,8184273.528,231472.6539,False, , ,0, , , , , , 
TRACK,1.10.38-3, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.10.38-3,-16.41048945,-71.51320447,8183993.836,231591.3219,False, , ,0, , , , , , 
TRACK,1.10.38-3,-16.40955178,-71.51114068,8184100.378,231810.5668,False, , ,0, , , , , , 
TRACK,1.10.38-3,-16.40719661,-71.51217888,8184359.74,231696.3949,False, , ,0, , , , , , 
TRACK,1.10.38-3,-16.4079813,-71.5142706,8184270.097,231473.9531,False, , ,0, , , , , , 
TRACK,1.10.38-4, , ,10000000,11015404.5, , , , , , , , , , 
TRACK,1.10.38-4,-16.41066642,-71.5130887,8183974.397,231603.9353,False, , ,0, , , , , , 
TRACK,1.10.38-4,-16.41048478,-71.51133848,8183996.824,231790.7101,False, , ,0, , , , , , 
TRACK,1.10.38-4,-16.40985,-71.51160809,8184066.743,231761.0295,False, , ,0, , , , , , 
TRACK,1.10.38-4,-16.41055325,-71.51314956,8183986.845,231597.2763,False, , ,0, , , , , , 
